title,brand,price,url,img,description,source,sold
Chopard Silver Bracelet Watch 'Bold Geometry',Chopard,1800,https://www.avocadovintagewatches.com/watches/p/chopard-vintage-silver-70s-rare-geometry-bracelet-square,https://images.squarespace-cdn.com/content/v1/60462f53bb9d8579565897b8/1cabe8fb-1f76-42a5-91a3-e4b791ca50cb/WhatsApp%2BImage%2B2026-04-30%2Bat%2B11.27.25%2B%25282%2529.jpg,"A Chopard featuring a 30x30 mm square case in solid silver, paired with a bold integrated bracelet, also in solid sterling silver. The watch comfortably fits wrists from 16 to 19 cm, thanks to two practical adjustment options. Its design clearly channels the bold geometry of the 1970s, echoing iconic pieces like the Rolex Cellini Midas. Inside, it houses a manual-wind movement signed L.U.C. (Louis",Avocado Vintage,False
Doxa 'Stop Second',Doxa,1800,https://www.avocadovintagewatches.com/watches/p/doxa-stop-second-vintage-steel-silver-rare-unique-,https://images.squarespace-cdn.com/content/v1/60462f53bb9d8579565897b8/4d9716d6-8113-4e88-bbc0-f60c2d3cb4ad/DSC08607.jpg,"Vintage ⏱️ Precision A refined Doxa “Stop Second” Anti-Magnetic in stainless steel, featuring a beautiful silver dial with applied arrow indexes and blued steel hands. Powered by a manual-wind 21-jewel Doxa movement, this clever mid-century design allows the central seconds hand to be stopped by pressing the crown. Housed in a waterproof, shock-protected case, it is a watch that combines real tech",Avocado Vintage,False
Rolex Ref. 4891 'Twisted Lug',Rolex,15800,https://www.avocadovintagewatches.com/watches/p/rolex-rare-unpolished-vintage-18k-twisted-lug-gold,https://images.squarespace-cdn.com/content/v1/60462f53bb9d8579565897b8/c4ff6b5c-0d98-485b-a760-e4a438418b2f/DSC04172.png,"Twisted Lug 💎 Perfection A most impressive and very rare 1951 Rolex ref. 4891. Housed in a large 36mm, 18k yellow gold case made by Orac SA, case maker n126. Powered by a highly finished Rolex manual wound movement, this piece comes in outstanding unpolished condition with super sharp edges, paired with an attractive grene white dial adorned with lapped indices—an exquisite example of Rolex’s post",Avocado Vintage,False
Patek Philippe Calatrava Ref. 3796J 'Frozen Dial',Patek Philippe,13800,https://www.avocadovintagewatches.com/watches/p/patek-philippe-calatrava-reference-3796j-frozen-dial,https://images.squarespace-cdn.com/content/v1/60462f53bb9d8579565897b8/73936ec8-d4fc-497f-babb-10561581b41b/DSC01280.jpg,"Patek Philippe Calatrava reference 3796J in 18k yellow gold, featuring the beautifully textured Frozen Ivory dial. Classic 31mm case with perfectly balanced proportions, manually wound movement, and fitted with its original Patek Philippe yellow gold buckle. Preserved in exceptional, crisp condition throughout. Delivered as a complete full set with original box and papers, with the Frozen Ivory di",Avocado Vintage,False
Rolex 1002 'True NOS',Rolex,5800,https://www.avocadovintagewatches.com/watches/p/rolex-1002-nos,https://images.squarespace-cdn.com/content/v1/60462f53bb9d8579565897b8/aff8e2c6-723d-4933-b5dc-e849a8c8fff0/67A26034-7636-4301-8312-A9146A96D767_1_102_o.jpg,"A Truly NOS Rolex. A perfect and flawless Rolex Oyster Perpetual Ref. 1002 from the 1974 with a 3.6M serial in absolutely untouched and unworn conditions still with intact sticker on the caseback. A true safe queen and coming with its original box, this one is for the true quality collector. Probably one of the last few examples left in the whole world this wild condition. Available now, only @avo",Avocado Vintage,False
Patek Philippe Ref.3945/1 J 'Perpetual Calendar',Patek Philippe,58000,https://www.avocadovintagewatches.com/watches/p/patek-philippe-perpetual-calendar-vintage-gold-silver,https://images.squarespace-cdn.com/content/v1/60462f53bb9d8579565897b8/4ab3b256-1a22-42b3-8925-783134fbccf6/DSC03422.png,"Perpetual 👑 Excellence Patek Philippe Perpetual Calendar reference 3945/1 J, sold on June 14th 1988, executed in solid 18k yellow gold with an opaline silver dial. This reference features an ultra-thin perpetual calendar movement and the distinctive integrated oblique “beads of rice” bracelet, a hallmark of refined Patek design and comfort. An exceptional and complete example, offered in outstandi",Avocado Vintage,False
Piaget Beta 21 Ref. 14101 'Tiger Eye',Piaget,28800,https://www.avocadovintagewatches.com/watches/p/piaget-beta-vintage-18k-gold-yg-quartz,https://images.squarespace-cdn.com/content/v1/60462f53bb9d8579565897b8/e4bb6243-7b52-48bc-8dfd-b93b80d1c529/DSC05174.jpg,"Tiger 🐅 Eye A most impressive Piaget Beta 21 ref. 14101, crafted in solid 18k yellow gold and defined by its bold, oversized stepped case architecture. Measuring approximately 33.5 41 mm, this reference was designed around the revolutionary Beta 21 quartz movement, resulting in a massive, sculptural presence. Fitted with a flawless tiger’s eye dial displaying deep natural striations and exceptiona",Avocado Vintage,False
Omega Flightmaster Ref. ST145.026 'Tropical Patina',Omega,5850,https://www.avocadovintagewatches.com/watches/p/omega-flightmaster-vintage-mexico-steel-patina-unpolished-grey-box-papers-,https://images.squarespace-cdn.com/content/v1/60462f53bb9d8579565897b8/54b80bde-97d7-4d94-8eaf-14bfe0d34610/Screenshot%2B2026-04-22%2Balle%2B13.25.09.png,"Tropical GMT from Mexico 🇲🇽 An Omega Flightmaster second generation, reference ST145.026, featuring a manual-winding chronograph with GMT function, powered by the calibre 911, an evolution of the legendary 861. The dial has developed a beautiful tropical patina on the sub-registers, while the base retains a very attractive dark grey tone. The watch comes complete with tag, booklet, warranty, warra",Avocado Vintage,False
Girard-Perregaux Ferrari Ref. 8030 'Racing Dial',Girard-Perregaux,1950,https://www.avocadovintagewatches.com/watches/p/girard-perregaux-ferrari-vintage-steel-racing-glossy-black-rare,https://images.squarespace-cdn.com/content/v1/60462f53bb9d8579565897b8/2820cd6e-1cda-4043-8bd6-3740c2ac03c1/DSC00024.png,"Racing 🐎 Dial A distinctive oversize, 37mm Girard-Perregaux Ferrari ref. 8030 in stainless steel, featuring a glossy black dial with applied Arabic numerals, triangular lume plots, and the iconic prancing horse logo at 12. The design is completed by a small seconds at 6 and bold giving the watch a clear motorsport inspiration. Powered by a manual-wind Girard-Perregaux movement and housed in a robu",Avocado Vintage,False
Chaumet Ref. 13A-297 'UFO',Other,8800,https://www.avocadovintagewatches.com/watches/p/chaumet-ufo-18k-white-gold-vintage-automatic-rare,https://images.squarespace-cdn.com/content/v1/60462f53bb9d8579565897b8/598c23b2-77cb-4eae-a969-d6473e7dcf46/DSC04385.png,"Unicorn 🌙 Design An impossible to find Chaumet Automatic ref.13A-297, in 18k White Gold featuring the unmistakable UFO-inspired design by the French jeweller Chaumet. Large 35mm case houses a precise automatic movement, paired with a beautiful cream dial with blue printing. Extremely rare in white gold, showcasing Chaumet’s bold yet refined approach to watchmaking. A superbly preserved example, hi",Avocado Vintage,False
