title,brand,price,url,img,description,source,date,sold
1970's Bulova 'Royal Oak' 4423901,Bulova,2100,https://www.belmontwatches.com/products/1970s-bulova-royal-oak-4423901,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/1970_sBulova_RoyalOak_4423901.png?v=1775854094,"The 1970s Bulova “Royal Oak” 4423901 is a vintage piece that channels the bold, integrated-bracelet design language that defined the era, drawing clear inspiration from Gérald Genta’s iconic Royal Oak aesthetic. Featuring a stainless steel case with sharp angles and a seamlessly integrated bracelet, this model captures that unmistakable 1970s sport-luxury vibe at a far more accessible entry point.",Belmont Watches,2026-04-14,False
1996 Omega Speedmaster Moonwatch 3592.50 Hesalite Sandwich,Omega,6250,https://www.belmontwatches.com/products/1996-omega-speedmaster-moonwatch-3592-50-hesalite-sandwich,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/1996OmegaSpeedmasterMoonwatch3592.50HesaliteSandwich.jpg?v=1775331318,"The Omega Speedmaster Professional 3592.50 is a highly regarded variant of the iconic ""Moonwatch,"" blending the classic design and history of the Speedmaster with modern touches. Produced during the late 1980s to mid-1990s, this model features a hesalite crystal on the front and a sapphire case back, allowing a view of its beautifully decorated Caliber 863 manual-winding movement, a step up from t",Belmont Watches,2026-04-07,False
Rolex Datejust 16233 White Roman Dial,Rolex,7650,https://www.belmontwatches.com/products/rolex-datejust-16233-white-roman-dial-1,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/RolexDatejust16233WhiteRomanDial.jpg?v=1775146213,"The Rolex Datejust Ref. 16233 White Roman Dial is one of the cleanest and most refined variations of the classic two-tone Datejust, offering a more understated alternative to the champagne dial while keeping all the iconic Rolex design cues. Produced from the late 1980s through the mid-2000s , this reference features a 36 mm Oyster case in Rolesor (stainless steel and 18k yellow gold) , paired wit",Belmont Watches,2026-04-07,False
Rolex Datejust 16233 Champagne Dial,Rolex,7025,https://www.belmontwatches.com/products/rolex-datejust-16233-champagne-dial-1,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/RolexDatejust16233ChampagneDial_3a893e09-e4d3-496e-964d-0a0cb03c29df.jpg?v=1774972391,"The Rolex Datejust Ref. 16233 with Champagne Dial is one of the most iconic and recognizable configurations in the entire Datejust lineup, embodying the classic two-tone Rolex aesthetic that defined luxury watches throughout the late 1980s and 1990s. Produced roughly from the late 1980s to early 2000s , the 16233 features a 36 mm Oyster case crafted in Rolesor (stainless steel and 18k yellow gold)",Belmont Watches,2026-03-31,False
Breitling Navitimer A11022 “Japan Special”,Breitling,5250,https://www.belmontwatches.com/products/breitling-navitimer-a11022-japan-special,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/BreitlingNavitimerA11022_JapanSpecial.jpg?v=1774551621,"The Breitling Navitimer Ref. A11022 “Japan Special” is a highly collectible and relatively under-the-radar variant of the iconic Navitimer, produced in the mid-to-late 1990s specifically for the Japanese market. These models were released in small limited runs of 250 pieces making them far rarer than standard Navitimers from the same era. Visually, the A11022 retains the core Navitimer DNA—41–42 m",Belmont Watches,2026-03-31,False
1976 Rolex Cellini 4127 18k Yellow Gold Burl Wood Dial,Rolex,15500,https://www.belmontwatches.com/products/1976-rolex-cellini-4127-18k-yellow-gold-burl-wood-dial,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/1976RolexCellini412718kYellowGoldBurlWoodDial.jpg?v=1774305382,"Information: Serial: 4,355,XXX Case Year: 1976 Reference: 4127 Dial: Burl Wood Dial Case: 33mm x 24mm x 6mm thickness - 18k Yellow Gold Bracelet: Brown leather strap (Aftermarket) Movement: Rolex 1601 - Manual Glass: Acrylic Accessories: No box or papers - watch only Functions: Hours, Minutes, Second Bracelet size: 7.5” Condition: Dial has no cracks and is free of wear which is very rare for any w",Belmont Watches,2026-03-24,False
1954 Omega Seamaster 2846-1 SC,Omega,1850,https://www.belmontwatches.com/products/1954-omega-seamaster-2846-1-sc,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/1954OmegaSeamaster2846-1SC.jpg?v=1773954348,"Information: Reference: 2846-1 SC Circa: 1954 Serial: 14,821,XXX Dial: Silver - Luminova Hands: Luminova Bracelet: Brown Leather Strap Case: 34.5mm x 11mm Thickness x 42mm Lug to lug - Stainless Steel Lug Width: 18mm Case Back: 2846 1 SC Stamped Movement: Omega 501 - Automatic Functions: HMS Box and Papers: No box or papers - watch only Crystal: Plexiglass Bracelet size: 7.5” Condition: Watch seem",Belmont Watches,2026-03-24,False
1968 Omega Speedmaster Moonwatch 145.012 - 67,Omega,9000,https://www.belmontwatches.com/products/1968-omega-speedmaster-moonwatch-145-012-67,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/1968OmegaSpeedmasterMoonwatch145.012-67.jpg?v=1773945574,"The 1968 Omega Speedmaster Professional Ref. 145.012-67 is one of the most historically significant vintage Speedmasters, representing the final reference to house the legendary Calibre 321 movement before Omega transitioned to the Calibre 861. Produced in the late 1960s , this reference features the classic 42 mm asymmetrical stainless steel case with crown guards , a design introduced to improve",Belmont Watches,2026-03-24,False
Rolex Datejust White Dial 69173,Rolex,5500,https://www.belmontwatches.com/products/rolex-datejust-white-dial-69173,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/RolexDatejustWhiteDial69173.jpg?v=1773942804,"The Rolex Datejust Ref. 69173 with White Dial is a classic ladies’ two-tone Datejust , combining Rolex’s timeless design with elegant proportions suited for everyday wear. Produced primarily from the 1980s through the late 1990s , the 69173 features a 26 mm Oyster case crafted from stainless steel and 18k yellow gold (Rolesor) , paired with a signature yellow gold fluted bezel . The white dial off",Belmont Watches,2026-03-24,False
1963 Omega Speedmaster 2998-6,Omega,15500,https://www.belmontwatches.com/products/1963-omega-speedmaster-2998-6,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/1963OmegaSpeedmaster2998-6.jpg?v=1772825681,"The 1963 Omega Speedmaster Ref. 2998-6 is one of the most historically important early references in the Speedmaster lineage and a cornerstone for collectors of vintage chronographs. Introduced as part of the second generation of Speedmasters (1959–1963) , the 2998 series marked several key design evolutions from the original 1957 reference. The 2998-6 , produced around 1962–1963 , features a 39mm",Belmont Watches,2026-03-10,False
