title,brand,price,url,img,description,source,sold
Vintage Rolex Submariner Ref 5513 Glossy Feet First Dial,Rolex,10995,https://www.bobswatches.com/vintage-rolex-submariner-ref-5513-glossy-feet-first-dial.html,https://www.bobswatches.com/images/zUsed-Rolex-Submariner-5513-SKU188273.jpg,1980s,Bob's Watches,False
Pre-Owned Silver Dial Rolex OysterDate ref 6694 Jubilee Bracelet,Rolex,4995,https://www.bobswatches.com/pre-owned-silver-dial-rolex-oysterdate-ref-6694-jubilee-bracelet.html,https://www.bobswatches.com/images/zUsed-Rolex-OysterDate-6694-SKU186153.jpg,1960s,Bob's Watches,False
Used Stainless Steel Rolex Oysterdate Ref 6694 Silver Dial,Rolex,4595,https://www.bobswatches.com/used-stainless-steel-rolex-oysterdate-ref-6694-silver-dial.html,https://www.bobswatches.com/images/zUsed-Rolex-OysterDate-6694-SKU187329.jpg,1960s,Bob's Watches,False
Used Rolex Date Stainless Steel 1500 Silver Dial,Rolex,4595,https://www.bobswatches.com/used-rolex-date-stainless-steel-1500-silver-dial.html,https://www.bobswatches.com/images/zUsed-Rolex-Date-1500-SKU187310.jpg,1970s,Bob's Watches,False
Vintage Rolex Date Ref 1503 Silver Sigma Dial,Rolex,12995,https://www.bobswatches.com/vintage-rolex-date-ref-1503-silver-sigma-dial.html,https://www.bobswatches.com/images/zUsed-Rolex-Date-1503-SKU187914.jpg,1970s,Bob's Watches,False
Pre-Owned Rolex Datejust 36 ref 16014 Silver Dial,Rolex,6595,https://www.bobswatches.com/pre-owned-rolex-datejust-36-ref-16014-silver-dial.html,https://www.bobswatches.com/images/z188019-Used-Rolex-Datejust-36-16014-SKU188019-Silver-Dial.jpg,1980s,Bob's Watches,False
Pre-Owned Rolex Oyster Super Precision ref 6427 Stainless Steel,Rolex,3495,https://www.bobswatches.com/pre-owned-rolex-oyster-super-precision-ref-6427-stainless-steel.html,https://www.bobswatches.com/images/zUsed-Rolex-Oyster-Super-Precision-6427-SKU184129-Silver-Dial.jpg,1960s,Bob's Watches,False
Pre-Owned Rolex OysterDate Silver Dial ref 6694,Rolex,4294,https://www.bobswatches.com/pre-owned-rolex-oysterdate-silver-dial-ref-6694.html,https://www.bobswatches.com/images/zUsed-Rolex-OysterDate-6694-SKU187706-Silver-Dial.jpg,1960s,Bob's Watches,False
Vintage Rolex Submariner Ref 5512 Exclamation Dial,Rolex,19995,https://www.bobswatches.com/vintage-rolex-submariner-ref-5512-exclamation-dial.html,https://www.bobswatches.com/images/z186704-Used-Rolex-Submariner-5512-SKU186704.jpg,1960s,Bob's Watches,False
Vintage Rolex Submariner 5512,Rolex,17995,https://www.bobswatches.com/vintage-rolex-submariner-5512.html,https://www.bobswatches.com/images/z149378-Used-Rolex-Submariner-5512-SKU149378.jpg,1970s,Bob's Watches,False
"Vintage Rolex GMT-Master 1675 Glossy Gilt Dial ""Pepsi""",Rolex,19995,https://www.bobswatches.com/vintage-rolex-gmt-master-1675-glossy-gilt-dial-pepsi.html,https://www.bobswatches.com/images/zVintage-Rolex-GMT-Master-1675-147043.jpg,1960s,Bob's Watches,False
Vintage Rolex Sea-Dweller 1665 Double Red,Rolex,41995,https://www.bobswatches.com/vintage-rolex-sea-dweller-1665-double-red.html,https://www.bobswatches.com/images/zUsed-Rolex-Sea-Dweller-1665-SKU141402.jpg,1970s,Bob's Watches,False
Vintage Rolex GMT Reference 1675,Rolex,21995,https://www.bobswatches.com/vintage-rolex-gmt-reference-1675.html,https://www.bobswatches.com/images/zUsed-Rolex-GMT-Master-1675-SKU187283.jpg,1970s,Bob's Watches,False
"Vintage Rolex GMT-Master 1675 Glossy Dial ""Pepsi""",Rolex,21995,https://www.bobswatches.com/vintage-rolex-gmt-master-1675-glossy-dial-pepsi.html,https://www.bobswatches.com/images/zUsed-Rolex-GMT-Master-1675-SKU143505.jpg,1960s,Bob's Watches,False
Pre-Owned Rolex Oysterdate ref 6694 Silver Index Dial,Rolex,4294,https://www.bobswatches.com/pre-owned-rolex-oysterdate-ref-6694-silver-index-dial.html,https://www.bobswatches.com/images/z185746-Used-Rolex-OysterDate-6694-SKU185746-Silver-Dial.jpg,1970s,Bob's Watches,False
Pre-Owned Rolex OysterDate 6694 Steel,Rolex,4295,https://www.bobswatches.com/pre-owned-rolex-oysterdate-6694-steel.html,https://www.bobswatches.com/images/zUsed-Rolex-OysterDate-6694-Silver-Index-Dial-SKU163211.jpg,1960s,Bob's Watches,False
