title,brand,price,url,img,description,source,date,sold
Rolex Oysterdate Precision 6494 w/Waffle Dial,Rolex,4900,https://collectorscornerny.com/products/rolex-oysterdate-precision-6494-w-waffle-dial,https://cdn.shopify.com/s/files/1/0733/8603/3428/files/rolex-oysterdate-precision-6494-roulette-date-waffle-dial-hero-vintage-watches-collectors-corner-ny.jpg?v=1788883727,"The Rolex Oysterdate Precision was one of the brand’s longest-running and most understated models, remaining in production from the early 1960s through the late 1980s. Particularly popular in Europe, it never achieved the same prominence in the United States as Rolex’s more prestigious sports and dress models. What makes the 6694 especially intriguing is its manual-wind movement—a rarity among mod",Collectors Corner NY,2026-09-09,False
Rolex Oyster Precision 6424 w/Non-Luminous Silver Dial,Rolex,6300,https://collectorscornerny.com/products/rolex-oyster-precision-6424-w-non-luminous-silver-dial,https://cdn.shopify.com/s/files/1/0733/8603/3428/files/rolex-oyster-precision-6242-non-luminous-silver-dial-hero-vintage-watches-collectors-corner-ny.jpg?v=1788883920,"On offer is an interesting Oyster Precision, circa 1955. This piece is 36mm in width but boasts a slim case profile, aided by its manually wound movement. The case is also very sleek due to its lack of lug holes on both sides. Most notably, it offers a fantastic, clean and monochromatic look due to its non-luminous silver dial/hands and minimal dial text. It has remained in strong vintage conditio",Collectors Corner NY,2026-09-09,False
Tudor Ranger Date 7996/0 - *Unpolished*,Tudor,10900,https://collectorscornerny.com/products/tudor-ranger-date-7996-0-unpolished,https://cdn.shopify.com/s/files/1/0733/8603/3428/files/tudor-ranger-date-7996-0-unpolished-hero-vintage-watches-collectors-corner-ny.jpg?v=1788884557,"The Tudor Ranger was initially brought to market in the 1960s, emerging as a durable field watch sharing design elements of its not too distant cousin, the Rolex explorer. Today, the model holds a significant place in the brand's legacy, having been re-released in 2014, 22 and again in '25. Production of the original Ranger only spanned from the 60's to the 80's and today it is one of the most dif",Collectors Corner NY,2026-09-09,False
Rolex Oyster Perpetual 1022 w/Florentine Case - Rare,Rolex,7900,https://collectorscornerny.com/products/rolex-oyster-perpetual-1022-w-florentine-case-rare,https://cdn.shopify.com/s/files/1/0733/8603/3428/files/rolex-oyster-perpetual-1022-florentine-case-rare-hero-vintage-watches-collectors-corner-ny.jpg?v=1788884478,"The Rolex Oyster Perpetual remains one of the brands most refined and ""no frills"" designs to this day. Going back several decades is without a doubt one of Rolex' most beautiful, yet simple creations. Anyone with an average sized wrist will find that the 34mm vintage case on this reference is an elegant on bracelet as it is on a strap. This four digit example ref. 1002 features ""champagne"" dial an",Collectors Corner NY,2026-09-09,False
Rolex Speedking 4220 w/Salmon Dial - Very Rare,Rolex,8900,https://collectorscornerny.com/products/rolex-speedking-4220-w-salmon-dial-very-rare,https://cdn.shopify.com/s/files/1/0733/8603/3428/files/rolex-speedking-4220-salmon-dial-hero-vintage-watches-collectors-corner-ny_6ae09868-4d81-4a3d-badb-c3244a953981.jpg?v=1788917289,"The Rolex Speedking was a compact 30mm manual-winding sports watch produced from the mid-1930s until around 1970. The model was named in honor of British racing driver Sir Malcolm Campbell, famously known as the “King of Speed,” who set a land-speed record of over 300 mph at the Bonneville Salt Flats in 1935 while wearing a Rolex. Introduced as a tribute to Campbell’s achievements, the Speedking a",Collectors Corner NY,2026-09-09,False
Piaget Protocole 90805 - Pave w/Black Onyx Dial - Rare,Piaget,8900,https://collectorscornerny.com/products/piaget-protocole-90805-pave-w-black-onyx-dial,https://cdn.shopify.com/s/files/1/0733/8603/3428/files/piaget-protocole-90805-pave-black-onyx-dial-hero-vintage-watches-collectors-corner-ny.jpg?v=1788883660,"Founded in 1874, Piaget occupies a rare position at the crossroads of high jewellery and fine watchmaking. Unlike most jewellery watch brands, Piaget operates a fully integrated manufacture and has historically supplied movements to elite maisons such as Cartier and Audemars Piguet, cementing its credibility as a serious movement maker. Coupled with its distinctive, design-led approach, this techn",Collectors Corner NY,2026-09-08,False
"Tudor Submariner 9411/0 ""Snowflake"" - Box & Papers - Rare",Tudor,13900,https://collectorscornerny.com/products/tudor-submariner-9411-0-snowflake-box-papers-rare,https://cdn.shopify.com/s/files/1/0733/8603/3428/files/tudor-submariner-9411-0-snowflake-box-papers-rare-hero-vintage-watches-collectors-corner-ny.jpg?v=1788884045,"The Tudor Submariner or ""Snowflake"" as its affectionately referred to by collectors was introduced in the late 60's with the ref. 7016/0 (no date) and 7021/0 (date). In the early 70s they were updated to the ref. 9401/0 (no date) and 9411/0 (quickset date). The nickname came from their distinctive squared indices and ""Snowflake"" like hour/seconds hands. This additional luminous material aided it i",Collectors Corner NY,2026-09-08,False
"Rolex GMT-Master II - 1675 ""Pepsi"" - Box & Papers - Rare",Rolex,27000,https://collectorscornerny.com/products/rolex-gmt-master-ii-1675-pepsi-box-papers-rare,https://cdn.shopify.com/s/files/1/0733/8603/3428/files/rolex-gmt-master-II-1675-pepsi-box-papers-rare-hero-vintage-watches-collectors-corner-ny.jpg?v=1788884179,"Introduced in 1954, the now cult classic Rolex GMT was initially designed as a pilots and travelers watch with its roots tied to Pan Am. The first examples featured a ""Pepsi"" bezel insert which provided ease of use for deciphering day/night in an alternate time-zone and remains in production to this day. Over the decades, various iterations of the GMT have been released from the ""Root Beer"" to the",Collectors Corner NY,2026-09-08,False
Blancpain Villeret Ultra-Slim 0021 - Stainless Steel,Blancpain,3600,https://collectorscornerny.com/products/blancpain-villeret-ultra-slim-0021-stainless-steel-1,https://cdn.shopify.com/s/files/1/0733/8603/3428/files/blancpain-villerete-ultra-slim-0021-stainless-steel-hero-vintage-watches-collectors-corner-ny.jpg?v=1788321303,"Blancpain is the oldest watchmaking company, dating back to 1735. The brand has weathered centuries and has a rich history of heritage, craftsmanship, and innovation. Credited with what we know as the modern dive watch, their now iconic Fifty-Fathoms just celebrated its 70th anniversary, having been released the same year as the Rolex Submariner in 1953. Although Blancpain might not be the first n",Collectors Corner NY,2026-09-08,False
"Rolex Daytona 116519LN ""White Gold - Ghost Dial - Oysterflex"" - Full Set/*Unpolished*",Rolex,48000,https://collectorscornerny.com/products/rolex-daytona-116519ln-white-gold-ghost-dial-oysterflex-full-set-unpolished,https://cdn.shopify.com/s/files/1/0733/8603/3428/files/rolex-daytona-116519LN-white-gold-ghost-dial-oysterflex-full-set-unpolished-hero-vintage-watches-collectors-corner-ny_e05e8b6e-8d2d-4b3b-aca3-aad581a376f7.jpg?v=1789003963,"The Rolex Daytona debuted in the early 1960s as a purpose-built chronograph for professional racing drivers, taking its name from Daytona International Speedway after Rolex became the track’s official timekeeper in 1962. Its association with Paul Newman helped cement its legendary status, while explosive collector demand emerged in the late 1990s and early 2000s. Today, the Daytona remains a corne",Collectors Corner NY,2026-09-08,False
