title,brand,price,url,img,description,source,date,sold
"1990s Cartier Must de Cartier Ladies Tank 'Vermeil' W/ Blue ""Lapis"" Lacquer Dial",Cartier,1950,https://craftandtailored.com/products/1980s-cartier-must-de-cartier-ladies-tank-vermeil-blue-lapis-lacquer-dial,https://cdn.shopify.com/s/files/1/1104/9180/files/Img043815_e9917034-8468-4c3f-9d9b-7ad9ba707812.jpg?v=1778893212,"The Cartier Tank has become one of the most iconic watch designs of all time, and has remained relatively the same over its long run of production. It was originally designed in 1917—inspired by the Renault FT-17 tank used by the French Military in the First World War—and became commercially available in 1919. It's the perfect example of excellent design transcending generations. It moved through the early 20th century only to become more relevant during the mid-century design era, and is once again seeing a massive resurgence amongst the watch-collecting community today. The Must de Cartier line was released as a diffusion, or a more attainable and affordable version of the classic Tank. They're often featured in Vermeil or ""silver gilt” cases, which are comprised of gold-plated sterling silver. That, combined with the inky black, marker-less dial, makes this model both striking and classy, and a great way to dip your toes into the world of the Tank. SPECS Stock # CTRMDC-2 Brand Cartier Must de Cartier Style Tank 'Manual Wind' Model N/A Serial 309XXXX Size Women's Material Vermeil Dial Black ""Lapis"" Lacquer Millimeters 23 x 30 Bracelet 2pc Black Alligator Leather Strap W/ Cartier Gold Plaque Tang Buckle CASE & BRACELET The classic tank-style vermeil case is in exceptional, likely-unpolished condition, showing minimal wear and no loss to the gold plating. The watch retains its original blue sapphire cabochon crown, though this does show some tarnish to the gold plating due to use. The back of the case retains all of the factory engravings in deep and crisp condition. The watch comes supplied on a two-piece black alligator leather strap with a gold plaque Cartier tang buckle. DIAL & HANDS The original, beautiful, and well-preserved blue lacquer dial features a gold speckle to emulate the aesthetic of lapis lazuli stone. The lacquer does exhibit some spider cracking, which is expected for the age of the watch, though chips or actual damage to the dial is present. The original gold-plated hands are also in perfect condition. ACCESSORIES None. The watch is keeping time, but the service history is unknown. A movement service can be purchased upon request.",Craft & Tailored,2026-05-15,False
"1930s Movado ""UFO"" Dress Watch 18K YG (Ref. 1794) 'Cal. 150MN'",Movado,2950,https://craftandtailored.com/products/1930s-movado-ufo-dress-watch-18k-yg-ref-1794-cal-150mn,https://cdn.shopify.com/s/files/1/1104/9180/files/Img043314.jpg?v=1778719885,"In the world of vintage watches, few brands better illustrate the contrast between past prestige and modern perception than Movado. During the early-to-mid 20th century, Movado stood shoulder to shoulder with the likes of Rolex and Patek Philippe, competing not only in technical innovation but also in design excellence. The brand’s influence on modern watchmaking remains undeniable, and pieces such as this 1930s Movado “UFO” Dress Watch perfectly capture the refined creativity and manufacturing prowess that once defined the maison. With its sculptural, rounded case and elegant proportions, the ref. 1794 embodies the bold yet restrained Art Deco-inspired styling that made Movado one of the era’s most respected manufacturers. Housed in an elegant 18K yellow gold case, this ref. 1794 was manufactured by the famed casemaker Favre & Perret of La Chaux-de-Fonds, one of the most prestigious case manufacturers of the period. Favre & Perret would later go on to produce cases for some of the most celebrated watches ever made, including the Rolex “Padellone” ref. 8171, early Patek Philippe ref. 3940 models, and even the early cases for the ref. 3700 Nautilus. That pedigree is immediately evident here, with the watch’s beautifully executed “UFO” case profile offering an unmistakably sophisticated wrist presence that feels decades ahead of its time. Powering the watch is Movado’s in-house Cal. 150MN movement, a testament to the brand’s commitment to producing reliable, high-grade calibers entirely under their own roof. Altogether, this remarkable timepiece serves as a compelling reminder that vintage Movado was once among the very best in Swiss watchmaking. SPECS Stock # MOVUFO1794 Brand Movado Style Dress Watch ""UFO"" Model 1794 Serial 15XXXX Size Men's/ Unisex Material 18K Yellow Gold Dial Silver ""Aged"" Millimeters 32 Strap 2pc Handmade Leather Strap CASE & BRACELET The charming, nearly perfectly circular 18K yellow gold case is in wonderful condition, showing some gentle wear and light evidence of past polishing. The crown is believed to be an early replacement, but it matches the overall aesthetic of the watch perfectly. The fixed strap bars remain in excellent condition. The watch comes supplied on a dark brown leather strap. Please note that due to the fixed strap bars, the strap is also fixed to the watch and can only be replaced with another permanent-style strap. DIAL & HANDS The original cream colored dial with raised markers provides a fantastic vintage aesthetic through its earm wear and patina, showing some light marks and a speckeled staining throughout, but with no major damage present. Completing the watch, the blued steel hands offer a welcomed cool-contrast to the overall warm-toned watch, and remain in excellent condition. ACCESSORIES None. The watch is keeping time, but the service history is unknown. A movement service can be purchased upon request.",Craft & Tailored,2026-05-15,False
"2008 Seiko ""Think The Earth"" Quartz Watch (Ref. WN-2) Blue W/ Box & Papers",Seiko,2050,https://craftandtailored.com/products/2000s-seiko-think-the-earth-quartz-watch-ref-wn-2-blue-w-box-papers,https://cdn.shopify.com/s/files/1/1104/9180/files/Img041732.jpg?v=1778707158,"Created in 2001 through a collaboration between Seiko and the Japanese NPO Think the Earth Project, the Think the Earth WN-2 is one of the most unconventional and imaginative watch designs of the modern era. Conceived as a literal “wearable piece of the planet,” the WN-2 was designed to shift the wearer’s perspective toward a broader, global scale by blending horology, industrial design, and environmental philosophy into a single object. At the center of the watch sits a miniature 1/580 million scale model of the Earth’s northern hemisphere beneath a domed Hardlex crystal. The globe rotates once every 24 hours, mirroring the Earth’s actual rotation, while time is displayed via a silver hook-shaped hour indicator and a small orange minute marker along a 24-hour scale. Further adding to its uniquely functional design, the watch’s removable titanium and aluminum core module can also be placed into a display stand and used as a standalone desk clock. Equal parts timepiece, conversation piece, and design object, the Think the Earth WN-2 remains unlike anything else produced in modern watchmaking. SPECS Stock # SKOTTEWM2B Brand Seiko Style ""Think The Earth"" Model WN-2 Serial 87XXXX Size Men's Material Titanium / Aluminum / Stainless Steel Dial Blue ""Earth"" Millimeters 45 Strap Seiko Black Strap W/ Stainless Steel Deployant Clasp CASE & BRACELET The titanium and aluminum outer case remains in relatively untouched condition, showing no notable wear or signs of use. The Hardlex crystal is free of blemishes. The internal case module is also in excellent condition, with only minor wear present on the case back. The watch comes supplied on its original black strap, which is in lightly worn condition, and its original stainless steel deployant clasp. DIAL & HANDS The dial, comprised of a domed 1/580 million scale model of Earth's northern hemisphere, is in perfect condition. The red dot hour hand and white prong minutes hand are original and in perfect condition. ACCESSORIES The watch is a complete set, with its original box, instruction booklets, and desk clock display. PLEASE NOTE: This set is missing its secondary silver bezel. The watch is keeping time, and it just received a new battery.",Craft & Tailored,2026-05-13,False
*Unpolished* 1982 Rolex Submariner (Ref. 16800) Matte Dial,Rolex,14250,https://craftandtailored.com/products/1982-rolex-submariner-ref-16800-matte-dial-10,https://cdn.shopify.com/s/files/1/1104/9180/files/Img043732.jpg?v=1778620601,"Beloved by both the vintage enthusiast and neo-vintage aficionados, the reference 16800 Submariner is one of the most important Rolex dive watches produced. The transitional foundation of the ref. 16800 makes this watch special, as it is both the last of the truly vintage Submariners and the platform for the modern Submariner we see today. Introduced in late 1979, the ref. 16800 brought us a litany of improvements to the Submariner line. First of which is a sapphire crystal, which helped bring the depth rating from 660ft to an impressive 1000ft. The unidirectional click-spring bezel made its first appearance on the Submariner line as well, making the Submariner a more secure and safe timing apparatus for divers. Along with these external enhancements, the movement was drastically upgraded to the Cal. 3035, which featured a quickset function for the first time in the Submariner line. The first iteration of the ref. 16800 featured a matte black dial similar to that of the acrylic crystal Submariner ref. 1680 that preceded it. These early matte dial examples were only produced for a brief period, about 4 years total until early 1984. In late 1984, Rolex switched the dial design to the more recognizable, by modern standards, glossy dial with white gold surround markers. Both executions are cherished by collectors, but it is the earlier matte dial version that offers a vintage aesthetic with modern functionality that is the most desirable amongst this transitional reference. SPECS Stock # RLXSUB1680082-7 Brand Rolex Style Submariner Model 16800 Serial 72XXXXX Size Men's Material Stainless Steel Dial Matte Black Millimeters 40 Bracelet Rolex 93150 Oyster Bracelet W/ 593 End Pieces CASE & BRACELET The impressive case is believed to remain unpolished, featuring crisp factory chamfers and dimensions throughout the thick and symmetrical lugs. The original bezel insert is in exceptional condition, remaining deep black in color with almost no wear present, and the original pearl has achieved a caramel color. The case back retains its original factory finish with light wear present. The original Rolex 93150 Oyster bracelet with 593 end pieces has a ""G"" date code, and retains 12 links that show almost no stretch and will fit up to a 7.5-inch wrist. DIAL & HANDS The original matte black dial is in virtually flawless condition, with no imperfections present. The tritium lume plots have achieved a vivid golden yellow patina and exhibit no notable degradation when inspected under UV light. The original tritium hands feature some oxidation on the steel, and the lume has aged to match the dial perfectly, while exhibiting no degradation under UV light inspection. The white date wheel is original with ""open"" 6 and 9 numerals. ACCESSORIES None. The watch was recently serviced and is keeping time perfectly, backed by a one-year warranty",Craft & Tailored,2026-05-12,False
Omega Seamaster 300 (Ref. 166.024) WatchCo,Omega,6850,https://craftandtailored.com/products/omega-seamaster-300-ref-166-024-watchco-3,https://cdn.shopify.com/s/files/1/1104/9180/files/Img043746.jpg?v=1778626342,"The Omega Seamaster 300 ref. 166.024 remains one of the most celebrated vintage dive watches ever produced, but finding an original example capable of modern daily wear, especially in the water, has become increasingly difficult. Enter the “WatchCo” Seamaster 300. WatchCo, once an Omega-authorized service center based in Australia, accumulated a substantial inventory of genuine Omega service components before Omega transitioned most restoration work in-house. With access to these factory parts, WatchCo began assembling Seamaster 300 watches using authentic Omega service cases, bezels, crowns, dials, and hands, paired with period-correct vintage Omega movements that were fully restored and serviced. While not original 1960s watches in the traditional sense, WatchCo Seamaster 300s offer something uniquely compelling: the closest experience possible to purchasing a brand-new Seamaster 300 in the 1960s. These watches combine the unmistakable proportions and charm of Omega’s legendary dive watch with the practicality of fresh factory components, functioning luminous material, and true everyday usability. The result is a watch that captures the spirit of the original while remaining robust enough for regular wear, swimming, and travel. Now firmly regarded as cult favorites among collectors and enthusiasts alike, WatchCo Seamaster 300s have become some of the most sought-after modern-vintage Omega offerings on the market. Their blend of authenticity, utility, and value makes them incredibly versatile. Equally at home on vacation, in the ocean, or paired with a tailored jacket in the boardroom. SPECS Stock # OMSM300WC-10 Brand Omega Style Seamaster 300 ""WatchCo"" Model 166.024 Serial 23XXXXXX Size Men's Material Stainless Steel Dial Matte Black Millimeters 42 Bracelet Omega 1171 Bracelet W/ 633 End Pieces CASE & BRACELET The excellent, asymmetrical case with twisted lugs is in exceptional unpolished condition, showing crisp edges and finishing, with minimal signs of use present. The luminova bezel is in perfect condition, showing no cracks or notable wear. The case back remains unpolished like the case, retaining its factory engravings in deep and crisp condition. The Omega 1171 bracelet with 633 end pieces is in great condition and retains 20 links that show minimal stretch and will fit up to a 7 1/2-inch wrist. DIAL & HANDS The matte black dial is in flawless condition, and the luminova lume plots have a pale ivory coloration. The original sword hands are also in perfect condition, and the luminova lume features an ever-so-subtle green color. ACCESSORIES None. The watch is keeping time perfectly, backed by a 1-year warranty of accurate timekeeping.",Craft & Tailored,2026-05-12,False
"1988 Rolex Submariner (Ref. 168000) ""Triple 0""",Rolex,9650,https://craftandtailored.com/products/1988-rolex-submariner-ref-168000-triple-0,https://cdn.shopify.com/s/files/1/1104/9180/files/Img043725.jpg?v=1778630743,"The Rolex Submariner ref. 168000 is both very rare and transitional, combining the best elements of both the vintage and modern Rolex Submariner into one complete package. The Rolex Submariner ref. 168000 was only produced for about 7-9 months between 1987 and 1988, making it a very rare reference. The ref. 168000 is one of the most undervalued Rolex Submariners in the transitional range. The ref. 168000 model is considered to be a very rare variant of the Rolex ref. 16800 model due to a very short period of production and simple but substantial improvements. Hence, the extra ""0"" was added to the reference to differentiate this short-lived model. The main difference would be the improvement in the quality of the stainless steel, which was upgraded from grade 316L to grade 904L. After only about 9 months of production, the ref. 168000 was replaced with 16610, which is a very similar watch upgraded with the new Cal. 3135 movement. SPECS Stock # RLXSUB87168000-6 Brand Rolex Style Submariner Model 168000 Serial R8XXXXX Size Men's Material Stainless Steel Dial Black Glossy Millimeters 40 Bracelet Rolex 93150 Oyster Bracelet W/ 593 End Pieces CASE & BRACELET The extremely crisp and well-preserved case boasts sharp factory finishing and chamfers with light evidence of prior polishing present and signs of honest use. The original unidirectional click spring bezel insert remains deep black in color, with light wear present, and the tritium pearl intact, which has achieved a rich caramel color. The original Rolex 93150 Oyster bracelet with 593 end pieces retains 11 links that show minimal stretch and will fit up to a 7.25-inch wrist. DIAL & HANDSc The original glossy dial with white gold surround markers is in virtually perfect condition, showing no damage or age. The tritium lume plots feature a subtle ivory color and exhibit no degradation under UV light inspection. The original tritium hands match the dial perfectly and show no degradation when inspected under UV light. The white date wheel is original with ""open"" 6 and 9 numerals. ACCESSORIES None. The watch is keeping time, but the service history is unknown. A movement service can be purchased upon request.",Craft & Tailored,2026-05-12,False
"1978 Rolex Daytona (Ref. 6265) Black ""Floating Big Red"" Dial W/ Box & Extensive Documentation",Rolex,82000,https://craftandtailored.com/products/1978-rolex-daytona-ref-6265-black-floating-big-red-dial-w-box-extensive-documentation,https://cdn.shopify.com/s/files/1/1104/9180/files/Img043293copy2_3defa5bd-686e-450a-9b34-e42dabdb3905.jpg?v=1778190990,"Rolex first introduced the Cosmograph in 1963 in steel, 14k, and 18k yellow gold with a design that was solely focused on automobile racing. The Units Per Hour bezel allowed for the tracking and measuring of average speed and lap times, making for a truly useful tool for racing drivers in the 20th century. Rolex, being the same marketing powerhouse back then as they are today, knew the American market would be their most effective demographic as racing in America was on the rise in the 60s-70s. Effectively, in 1964, the Rolex Cosmograph was branded “Daytona” after the famous race, the 24 Hours of Daytona, and the rest is history. The Daytona saw its first major update in late 1969 when Rolex decided to bring its Oyster technology to the Cosmograph. Accompanying the ""Oyster"" text on the dial, the case crown was upgraded to a 7mm trip-lock crown, and the most significant upgrade was the introduction of the screw-down chronograph pushers, which is a function we still see today in the modern Daytona offering from Rolex. While the case size of this new model was the same as its predecessor at 36mm, the larger crown and more robust pushers greatly increase the watch's wrist presence. We love a watch with provenance, and this specific Daytona may be one of the most well-documented examples we've ever had. Remaining in a very attractive and presentable condition, and ready for daily wear. SPECS Stock # RLXDT6265-78/5 Brand Rolex Style Daytona Model 6265 Serial 55XXXXX Size Men's Material Stainless Steel Dial Matte Black ""Floating Big Red Millimeters 36 Bracelet Rolex 62510H Jubilee Bracelet W/ 574 End Pieces CASE & BRACELET The wonderful case exhibits full and even lugs that exhibit some evidence of light polishing in the past, and wear. The stainless steel “UPH” bezel remains in excellent condition, showing light use and no loss to the black enamel inlay. The Mk III screw-down pushers are OEM Rolex service units. The later Rolex 62510H Jubilee bracelet with 574 is an OEM service unit and retains 22 links that show light stretch and will fit up to an 8.25-inch wrist. DIAL & HANDS The original matte black ""Floating Big Red"" dial is in wonderful vintage condition, showing no age or damage to the dial itself. The silver sub-dials exhibit some wear, expected for the age of the watch. The tritium lume plots have achieved a lovely creamy yellow patina. Under UV light inspection, the 3 o'clock plot features slight degradation, while the 6 o'clock plot is mostly missing, and the rest of the plots remain fully intact. The hands are OEM Rolex luminova service units. ACCESSORIES The watch comes with its original inner and outer boxes, original sales receipt, blank Rolex guarantee paper, informational and instruction booklets, and extensive documentation ranging from Rolex services, independent services, and appraisals. The watch is keeping time perfectly, backed by a 1-year warranty on accurate timekeeping.",Craft & Tailored,2026-05-07,False
1980 Rolex Datejust 18K YG (Ref. 16018) Onyx Stone Dial,Rolex,40500,https://craftandtailored.com/products/1980-rolex-datejust-18k-yg-ref-16018-onyx-stone-dial,https://cdn.shopify.com/s/files/1/1104/9180/files/Img043660.jpg?v=1778096973,"The Rolex Datejust is one of the most iconic and beloved models made by Rolex. Launched in 1945, it remains a timeless classic and is instantly recognizable as an item of superior quality and functional design. The Datejust can be worn just as easily with a suit as it can be in jeans and a t-shirt. The Datejust would make a great start for a new vintage collector and is always a great addition to an expanding collection. The Rolex Datejust ref. 16018 is a transitional reference as it retains tritium lume but features a sapphire crystal and the Rolex cal. 3035 “quick-set date” movement. On an extremely limited basis, Rolex manufactured timepieces featuring exotic materials. Such as dials made from various minerals, woods, and stones, including black onyx, burl wood, lapis lazuli, birch, fossil, coral, aventurine, and ferrite, among others… These exotic variants are always strikingly vivid with a minimalist design, and each exotic variant was produced in very limited numbers. With rarity varying between materials, the rarer the material was, the fewer Rolex produced. The Datejust stone dials are elusive, as Rolex stone dials are most commonly seen in the Day-Date references. The onyx stone pairs perfectly with the gold Datejust, creating depth in the dial that is rarely seen in a wristwatch and is loved by collectors. SPECS Stock # RLXDJ16018ONX Brand Rolex Style Datejust Model 16018 Serial 64XXXXX Size Men's Material 18K Yellow Gold Dial Onyx Stone Millimeters 36 Strap 2pc Handmade Leather Strap CASE & BRACELET The exceptional 18k yellow gold case boasts full factory dimensions and original finishing, while featuring subtle sleeve polish from wear, with no evidence of actual polishing in the past. The case does exhibit some honest signs of light wear. The 18K yellow gold fluted bezel is just as crisp as the case, with minimal signs of previous use present. The case back retains its original dimensions and finish with light wear present. The watch comes supplied on a 2pc handmade leather strap. DIAL & HANDS The original deep black Onyx stone dial is simply incredible with no cracks or damage present whatsoever. The solid yellow gold hands are in excellent condition. The metallic gold date wheel is original with ""open"" 6 and 9 numerals. ACCESSORIES None. The watch is keeping time perfectly, backed by a 1-year warranty on accurate timekeeping.",Craft & Tailored,2026-05-06,False
1982 Rolex Day-Date 18K WG (Ref. 18039) Onyx Stone Dial,Rolex,295000,https://craftandtailored.com/products/1982-rolex-day-date-18k-wg-ref-18039-onyx-stone-dial,https://cdn.shopify.com/s/files/1/1104/9180/files/finalcopy.jpg?v=1778113322,"In 1977, Rolex introduced the Day-Date reference 18039, ushering in a new era for the iconic “President” line through a series of meaningful technical refinements. Most notably, the reference debuted the sapphire crystal and the upgraded Cal. 3055 movement, which introduced the convenience of a quick-set date function via the second crown position. This advancement earned the reference the nickname “Single-Quick” Day-Date and marked a significant evolution in both functionality and modernity for Rolex’s flagship dress watch. On an extremely limited basis, Rolex produced timepieces featuring exotic materials, crafting dials from a wide array of minerals, woods, and stones such as black onyx, burl wood, lapis lazuli, birch, fossil, coral, aventurine, and ferrite, among others. Each exotic variant was strikingly vivid in appearance while maintaining a minimalist elegance, and production numbers varied greatly depending on the rarity and difficulty of sourcing the material itself; the rarer the material, the fewer examples Rolex produced. Today, well-preserved examples of these exotic Rolex Day-Date references have become exponentially harder to find, fueled by a devoted cult following and limited market circulation, as collectors rarely part with them due to the individuality, artistry, and coveted value each unique dial retains. As a result, whenever one surfaces for sale, it is regarded as something truly special. On an even more exclusive, perhaps even finite, basis, Rolex fitted these exotic stone dials into white metal references such as 18K white gold and platinum. Regarded by many collectors as the ultimate “holy grails” of stone dial collecting, some of these production runs are believed to consist of only a handful of examples. These exceptionally elusive, near-mythical executions transform the character of the stone dial entirely, pairing the organic depth of the material with the cool, restrained elegance of white metal to create a sharper, more refined aesthetic rarely seen within Rolex’s traditionally warm-toned luxury pedigree. This particular example, fitted with its original black onyx stone dial, represents one of the most desirable configurations within the entire stone dial Day-Date lineage. Preserved in remarkable collector-worthy condition, the watch retains a flawless dial and an impressively strong case, further elevated by its proximity in serial sequence to another known example previously sold through Phillips in 2017. The cool restraint of white gold paired against the deep, uninterrupted black surface of the onyx creates a uniquely sharp and sophisticated aesthetic, one far more understated and architectural than its yellow gold counterparts, while remaining unmistakably luxurious, underscoring both the rarity and significance of this extraordinary reference. SPECS Stock # RLXDD18039ONX Brand Rolex Style Day-Date Model 18039 Serial 730XXXX Size Men's Material 18K White Gold Dial Onyx Stone Millimeters 36 Bracelet Rolex 83",Craft & Tailored,2026-05-06,False
"1976 Seiko Automatic Chronograph (Ref. 6139-6002) ""Pogue""",Seiko,1500,https://craftandtailored.com/products/1976-seiko-automatic-chronograph-ref-6139-6002-pogue,https://cdn.shopify.com/s/files/1/1104/9180/files/Img041868_7a89e99e-9ef7-42e2-9b73-6d071e232b81.jpg?v=1777937885,"The first automatic chronograph is a heavily disputed claim, as multiple watch companies debuted what they claimed as ""the first"" automatic chronograph in the year 1969. However, the Seiko 6139-6000 was the first automatic chronograph that was available for purchase in May of 1969, exclusively to the Japanese market. Not only was the ref. 6139, the first production automatic chronograph, but the watch also features a quickset day and date complication that is operated through the pushing of the button-style crown. The Seiko refs. 6139 with a yellow dial and an inner yellow rotating ring are commonly nicknamed “Pogue”. In 1973, NASA Astronaut Col. Pogue wore his personal Seiko 6139-6002 during the NASA Skylab 4 mission, subsequently making Seiko the first automatic chronograph to be used in space. Pogue purchased the Seiko chronograph from a PX for $71 in 1972 to use during his flight training, as NASA Astronauts were not issued their Omega Speedmasters until much closer to the launch dates. Due to Pogue's familiarity with the Seiko chronograph over the Omega Speedmaster, he hid his personal Seiko 6139-6002 in his flight suit before launching into space so that he could use his Seiko in conjunction with his Omega Speedmaster for the duration of the Skylab 4 mission. (Col. Pogue during the Skylab 4 mission, wearing his personal Seiko 6139-6002 on his left wrist and his NASA-issued Omega Speedmaster on his right) Stock # SKO61396002-3 Brand Seiko Style Automatic Chronograph Model 6139-6002 Serial 65XXXX Size Men's Material Stainless Steel Dial Gold Millimeters 45 Bracelet 2pc Handmade Leather Strap CASE & BRACELET The impressive case remains in very well-preserved condition, showing only light signs of use, with the original case geometry fully present, and no notable evidence of being polished in the past. The original ""Pepsi"" tachymeter bezel remains bright in color with minimal signs of use present. The case retains its original button crown and pump pushers. The case back retains all of its original factory markings in deep and crisp condition. The watch comes supplied on a 2pc handmade leather strap. DIAL & HANDS The original gold sunburst dial is in exceptional overall condition with only gentle age around the bottom sub-dial, with no actual damage present. The inner rotating bezel retains its matching bright gold color. The luminous material on the dial and hands remains bright white in color, and niether exhibit degradation when inspected under UV light. ACCESSORIES None. The watch is keeping time, but the service history is unknown. A movement service can be purchased upon request.",Craft & Tailored,2026-05-04,False
