title,brand,price,url,img,description,source,sold
Audemars Piguet Calatrava YG P2499 w Box 1958,Audemars Piguet,13500,https://www.db1983.com/the-collection/collection-for-sale/audemars-piguet-automatic-18k-yellow-gold-1958,https://image10.photobiz.com/8495/28_20240613113251_7062435_xlarge.jpg,"Audemars Piguet 18K Yellow Gold Calatrava, Automatic, w/ box
Serial: 12293 / Mvt 68773
Circa: 1958
Reference: N/A",DB1983,False
Audemars Piguet Royal 5402BA 1978,Audemars Piguet,75000,https://www.db1983.com/the-collection/collection-for-sale/audemars-piguet-royal-oak-5402ba-ap-down-1978,https://image8.photobiz.com/8585/28_20250722061413_7297350_xlarge.jpg,"Audemars Piguet Royal Oak 5402BA Jumbo, 18K Yellow Gold, AP Down Grey Dial
Serial: No 342 / B28728 / mvt 196662
Circa: 1978
Reference: 5402BA",DB1983,False
Audemars Piguet Royal 14790SA 1998,Audemars Piguet,17500,https://www.db1983.com/the-collection/collection-for-sale/audemars-piguet-royal-oak-14790sa-1998,https://image5.photobiz.com/8905/28_20260108030816_7400922_xlarge.jpg,"Audemars Piguet Royal Oak 14790SA, Grey Dial
Serial: No 1653 / E3231 / 459252
Circa: 1998
Reference: 14790SA",DB1983,False
Audemars Piguet Royal 25572SA Day Date OWL 1985,Audemars Piguet,18500,https://www.db1983.com/the-collection/collection-for-sale/audemars-piguet-royal-oak-25572sa-owl-1985,https://image8.photobiz.com/8585/28_20250715095226_7292683_xlarge.jpg,"Audemars Piguet Royal Oak 25572SA Day Date Owl, Steel & Gold
Serial: No 234 / B88105 / Mvt 268240
Circa: 1985
Reference: 25572SA",DB1983,False
Audemars Piguet 5205BC Turler 18K White Gold Automatic 1964,Audemars Piguet,8800,https://www.db1983.com/the-collection/collection-for-sale/audemars-piguet-5205bc-turler-white-gold-1964,https://image14.photobiz.com/10152/28_20250418150112_7248747_xlarge.jpg,"Audemars Piguet 5205BC, Turler Double Signed, Tonneau 18K White Gold, Automatic
Serial: 33033 / mvt 94863
Circa: 1964
Reference: 5205BC",DB1983,False
Gerald Genta Retro MOP Diamond Bezel Papers '00,Gerald Genta,6500,https://www.db1983.com/the-collection/collection-for-sale/gerald-genta-retro-mop-diamond-bezel-papers-00,https://image12.photobiz.com/7732/28_20250506101729_7259112_xlarge.jpg,"Gerald,Genta,Retro,MOP,Dial,Papers,00,G36347,Diamond, Bezel,Tritium,Mother,of,Pearl",DB1983,False
Omega Speedmaster CK 2998-1 Tropical Lollipop 1960,Omega,115000,https://www.db1983.com/the-collection/collection-for-sale/omega-speedmaster-ck-2998-1-tropical-19603,https://image14.photobiz.com/10152/28_20260108092639_7400947_xlarge.jpg,"OMEGA Speedmaster CK 2998-1 Lollipop Tropical Dial, Circa 1960
Serial: 17761184
Circa: 1960
Reference No.: CK 2998-1",DB1983,False
Omega Speedmaster CK 2998-61 1962,Omega,17500,https://www.db1983.com/the-collection/collection-for-sale/omega-speedmaster-ck-2998-61-1962,https://image14.photobiz.com/10152/28_20251022025311_7346940_xlarge.jpg,"OMEGA Speedmaster CK 2998-61, Circa 1962 Serial: 18946192 Circa: 1962 Reference No.: CK 2998-61 CASE: 39mm, stainless steel, steel with grey ghost DO90 tachymeter",DB1983,False
Omega Speedmaster*** CK 2998-3 FAP*** 1961,Omega,33000,https://www.db1983.com/the-collection/collection-for-sale/omega-speedmaster-ck-2998-3-fap-1961,https://image9.photobiz.com/8584/28_20241221084627_7192804_xlarge.jpg,"OMEGA Speedmaster CK2998-3 FAP (Fuerza Aérea del Perú), Lollipop Hand, Circa 1961
Serial: 17762370
Circa: 1961
Reference No.: CK2998-3",DB1983,False
Omega Speedmaster*** CK 2998-5*** 1961,Omega,21500,https://www.db1983.com/the-collection/collection-for-sale/omega-speedmaster-ck-2998-5-1961,https://image10.photobiz.com/4941/28_20200611144652_5838003_xlarge.jpg,"OMEGA Speedmaster CK 2998-5, Circa 1961Serial: 18645424Circa: 1961Reference No.: CK 2998-5CASE: 39mm, stainless steel, steel with black DO90 tachymeter",DB1983,False
Omega Speedmaster 105.002-62 FAP Blue Bezel 1963,Omega,30000,https://www.db1983.com/the-collection/collection-for-sale/omega-speedmaster-105002-62-fap-1963,https://image8.photobiz.com/8585/28_20260320132635_7427829_xlarge.jpg,"Omega Speedmaster 105.002-62, Peruvian Air Force (FAP), Blue Bezel
Serial: 19584300
Circa: 1963
Reference No.: 105.002-62",DB1983,False
Omega Speedmaster 105.003-65 Tropical Dial 1966,Omega,19500,https://www.db1983.com/the-collection/collection-for-sale/omega-speedmaster-105003-65-tropical-1966,https://image9.photobiz.com/8584/28_20250219151031_7220508_xlarge.jpg,Omega Speedmaster 105.003-65,DB1983,False
Omega Speedmaster 145.012-67 Archives 1968,Omega,7000,https://www.db1983.com/the-collection/collection-for-sale/omega-speedmaster-145012-67-archives-1968,https://image5.photobiz.com/8905/28_20260321122137_7428035_xlarge.jpg,"Omega Speedmaster 145.012-67 with Archives Extract
Serial: 26078730
Circa: 1968
Reference: 145.012-67",DB1983,False
Omega Speedmaster*** Racing 145.022-69 B&P*** 1970,Omega,78000,https://www.db1983.com/the-collection/collection-for-sale/omega-speedmaster-145022-69-racing-bp-1970,https://image11.photobiz.com/8586/28_20260110112825_7402221_xlarge.jpg,"OMEGA Speedmaster 145.022-69 Grey Racing Dial, Box, papers, hangtag, 1970
Serial: 29609483
Circa: 1970
Reference: 145.022-69",DB1983,False
