title,brand,price,url,img,description,source,sold
1991 Rolex 16700 Pumpkin Pepsi GMT,Rolex,13800,https://greyandpatina.com/product/1991-rolex-16700-pumpkin-pepsi-gmt/,https://storage.googleapis.com/greyandpatina.com/2026/04/P1932592-scaled.jpg,Description: The 16700 is sandwiched between the 16750 reference and the 16710. The 3175 movement includes a quickset for the date but forgoes the jumping hour hands the 16710 is known for. This pumpkin colored dial is pure aces. Case has been recently polished and is very thick and sharp. Dial is very glossy and free of any cracks or spidering. Dial: Pumpkin GMT Insert: Pepsi Case: Excellent condition case Bracelet: Oyster,Grey & Patina,False
1997 Rolex 16520 White Panda Dial Zenith Daytona,Rolex,26500,https://greyandpatina.com/product/1997-rolex-16520-white-panda-dial-zenith-daytona-2/,https://storage.googleapis.com/greyandpatina.com/2026/04/P1932591-scaled.jpg,Description: The 16520 can be considered the 993 generation Porsche of the Daytona line up. It has a robust Zenith chronograph movement and was the first 40mm Daytona to be introduced to the Rolex line up. The white panda variant dial gives off a nice contrast between the subdials. The case is in excellent shape and the lume on the dial is a light cream which is consistent with the tritinova (tritium marked dial / luminova lume) run of watches in 1997. The case is excellent and has sharp thick l,Grey & Patina,False
1967 Rolex 1016 “Day-Glow” Explorer I,Rolex,16500,https://greyandpatina.com/product/1967-rolex-1016-day-glow-explorer-i-3/,https://storage.googleapis.com/greyandpatina.com/2026/04/P1930966-scaled.jpg,"Description : Early matte Frog Foot dials, serial encasement 1’5-3’5mil and 4’4-5mil, were lumed with zinc sulfide and tritium whose potent combination allowed still for them to glow even in the sun. This 1016 is a unique Day-Glow example and surely wont last too long on the site. Case : 36mm Stainless Steel, Excellent Condition Dial : Frog Foot, Zinc Sulfide ‘Day Glow’ Bracelet : Year Correct Oyster Rivet",Grey & Patina,False
1980 Rolex 16808 Yellow Gold Faded Insert Submariner,Rolex,35960,https://greyandpatina.com/product/1980-rolex-16808-yellow-gold-faded-insert-submariner/,https://storage.googleapis.com/greyandpatina.com/2026/04/P1932446-scaled.jpg,Description: The 16808 is a stunner when seen on a blue nipple dial. These were only produced for a few years as Rolex eventually removed the nipple dials to match the gold surrounds of their steel sport dials. The nipple dials were at this point only unique to Gold and Two-Tone watches marking them as special pieces. This 16808 with its unique blue dial and faded insert has all the subtle tones of vintage while providing the heft of a neo-vintage piece. Case is excellent and thick. Bracelet is ,Grey & Patina,False
1978 Rolex 1675/8 Yellow Gold Tropical GMT,Rolex,48000,https://greyandpatina.com/product/1978-rolex-1675-8-yellow-gold-tropical-gmt/,https://storage.googleapis.com/greyandpatina.com/2026/04/P1932451-scaled.jpg,"Description: It’s hard to describe a watch as unique as this. These Gold rootbeer GMT’s standout from a crowd of gold watches. The oxblood Soleil dial has a bengal stripe pattern developing, unearthing the brassy lighter colored dial underneath. The tritium / gold nipple markers date this watch to a standalone period for Rolex during their nipple dial run. This is a unique dial and some will hate it and others will gravitate to a one of a kind dial. As we look closer we see that the case is unpo",Grey & Patina,False
1969 Rolex 1601 Grey Dial Datejust,Rolex,5700,https://greyandpatina.com/product/1969-rolex-1601-grey-dial-datejust/,https://storage.googleapis.com/greyandpatina.com/2026/04/P1932130-scaled.jpg,Description: An excellent 36 mm white gold surround date just. Dial is a slate grey. It has beautiful deep yellow loop plots that are full. Case is excellent as well and appears long and thick. Dial: Slate grey dial Insert: Black Insert Case: Excellent Case Bracelet: Rolex Jubilee Bracelet,Grey & Patina,False
2023 Rolex 116509 Blue Dial White Gold Daytona W/Box &amp; Paper,Rolex,45000,https://greyandpatina.com/product/2023-rolex-116509-blue-dial-white-gold-daytona-w-box-paper/,https://storage.googleapis.com/greyandpatina.com/2026/04/P1932132-scaled.jpg,Description: Excellent full set 116509 white gold Daytona with blue dial. Watch comes as a complete set and is an excellent condition appears unpolished. Dial: Blue Insert: White Gold Bezel Case: Excellent Case Bracelet: Rolex Oyster Bracelet,Grey & Patina,False
1979 Rolex 16750 Ghost GMT,Rolex,13800,https://greyandpatina.com/product/1979-rolex-16750-ghost-gmt/,https://storage.googleapis.com/greyandpatina.com/2026/04/P1932229-scaled.jpg,"Description: When we get asked what Rolex are the best investments without having to give up an arm and a leg, we point them to neo-vintage pieces. The 16750 GMT sits on the early side of the neo-vintage scale coming shortly after the 1675 classic plexiglass variant. This 16750 has a beautiful matte dial and deep yellow lume paired with a faded black insert that appears like a blue slate color. The case is in excellent shape and appears lightly polished. These matte dial 5-digit watches are tran",Grey & Patina,False
Grand Seiko Spring Drive SBGE275 GMT &#8211; Box and Papers,Other,6600,https://greyandpatina.com/product/grand-seiko-spring-drive-sbge275-gmt-box-and-papers/,https://storage.googleapis.com/greyandpatina.com/2026/04/P1931237-scaled.jpg,Description : The white dial variant of the SBGE275 with GMT function Case : 44mm Steel Dial : White Bezel : GMT Bracelet : Steel,Grey & Patina,False
1968 Rolex 1500 Tropical Oyster Perpetual -Date-,Rolex,7300,https://greyandpatina.com/product/1968-rolex-1500-tropical-oyster-perpetual-date-3/,https://storage.googleapis.com/greyandpatina.com/2026/04/P1932309-scaled.jpg,"Description : All of us at GP sport a 34mm daily watch and there are few better than the vintage Oyster Perpetual lineup. Don’t let the size fool you, its 34mm case is largely made up of the dial and really indistinguishable from its bigger 36mm brother the Datejust. This specific 1500 sports a tropical dial that once was blue. Over the years, UV, humidity, and heat has caused this dial to morph into something special. The white text is still all intact leaving us to believe this was not water-d",Grey & Patina,False
