title,brand,price,url,img,description,source,date,sold
"142.055, Zeitwerk Lumen, Honeygold",A. Lange,300000,https://hairspring.com/products/142-055-zeitwerk-lumen-honeygold,https://cdn.shopify.com/s/files/1/0617/0830/4465/files/142.055-Zeitwerk-Lumen-Honeygold-5.jpg?v=1789003519,"A ref. 142.055 Zeitwerk Honeygold Lumen, the Lumen offering for the technically improved second series of the Zeitwerk made in just 200 examples. The Lumen was created from the experience of Anthony de Haas, Director of Product, after trying and struggling to read the time on his own Zeitwerk at night. This led to an audacious smoked sapphire dial, which allowed the time discs to fully charge unde",Hairspring,2026-09-10,False
"414.028, 1815 Chronograph, White Gold",Other,63000,https://hairspring.com/products/414-028-1815-chronograph-white-gold-1,https://cdn.shopify.com/s/files/1/0617/0830/4465/files/Lange-1815-Chronograph-414.028-35-42.jpg?v=1788728930,"A ref. 414.028 1815 Chronograph, the first black dial white gold 1815 Chronograph and part of the third generation of the model. The 1815 Chronograph features a more svelte case than the Datograph (at 39.5mm and 11m thin), no date, and dramatic finishing of the L951.5. It sports German silver bridges, polished and beveled steel levers, a hand engraved balance cock, gold chatons, and blued screws a",Hairspring,2026-09-07,False
"180.026, Richard Lange Perpetual Calendar 'Terraluna', White Gold",Other,185000,https://hairspring.com/products/180-026-richard-lange-perpetual-calendar-terraluna-white-gold,https://cdn.shopify.com/s/files/1/0617/0830/4465/files/Richard-Lange-Perpetual-Calendar-Terraluna-White-Gold-3.jpg?v=1788559597,"A ref. 180.026 'Terraluna' in white gold, the singular calendar watch within the Richard Lange model range. The line honors the second son of founder Adolf Lange, who drove the brand's increased focus on complication during the late 19th century, by offering a modern interpretation of observation watches with emphasis on high precision. The Terraluna’s dial blends both historic and modern design, ",Hairspring,2026-09-05,False
"5270P, Perpetual Calendar Chronograph, Platinum",Patek Philippe,179000,https://hairspring.com/products/5270p-perpetual-calendar-chronograph-platinum,https://cdn.shopify.com/s/files/1/0617/0830/4465/files/5270P-1.jpg?v=1788815063,"A ref. 5270P, Patek Philippes first entirely in-house designed, manufactured, and finished Perpetual Calendar Chronograph. Since Patek Philippe invented the Perpetual Calendar Chronograph in 1941, just 5 references have taken the throne. This example represents the first standard production offering of a salmon dial, an aesthetic reserved for special order only within previous PCC references. The ",Hairspring,2026-08-31,False
"6265, Venezuelan 'Oyster Split', Daytona, Yellow Gold",Rolex,850000,https://hairspring.com/products/6265-oyster-split-yellow-gold,https://cdn.shopify.com/s/files/1/0617/0830/4465/files/Rolex-6265-Daytona-Yellow-Gold-Venezuelan-64.jpg?v=1787957537,"Amongst the earliest ref. 6265 examples made in yellow gold, this extremely rare ‘Oyster Split’ Daytona bears both a fascinating South American history and many aesthetic distinctions of early precious metal 6265 production (including millerighe pushers of the earliest seen examples). With 'C' import hallmark for South America, it comes on its original D’Agosto Jubilee bracelet creating a complete",Hairspring,2026-08-29,False
"3970ER, Second Series, Perpetual Calendar Chronograph, Pink Gold",Patek Philippe,400000,https://hairspring.com/products/3970ep-second-series-perpetual-calendar-chronograph-platinum,https://cdn.shopify.com/s/files/1/0617/0830/4465/files/Patek-Philippe-3970R-Second-Series-55.jpg?v=1787702862,"A ref. 3970 from the Second Series in pink gold. Just 60 Second Series examples are estimated to have been manufactured in pink gold, out of 650 across all metals. The 3970 succeeded the 2499 in 1986, the most significant contribution of Philippe Stern’s tenure over the brand. It features a 36mm Ateliers Réunis case, Lemania ébauche calibre CH 27-70 Q, feuille hands of early series, ‘American Type",Hairspring,2026-08-26,False
"405.034, Datograph Up/Down Lumen, Platinum",A. Lange,378000,https://hairspring.com/products/405-034-datograph-up-down-lumen-platinum-1,https://cdn.shopify.com/s/files/1/0617/0830/4465/files/Lange-Datograph-Lumen-7.jpg?v=1787511359,"A ref. 405.034 Datograph Up/Down Lumen, the fourth Lumen model and only pure chronograph expression of Lange's Lumen treatment. This Datograph features a smoked sapphire dial which limits light yet allows UV to charge elements beneath. At night, the tachymeter & minute scales, grande date, handset, and power reserve are all luminous in a muted glowing green. By day, drama is still present through ",Hairspring,2026-08-24,False
Nubuck Strap,Other,140,https://hairspring.com/products/nubuck-strap-1,https://cdn.shopify.com/s/files/1/0617/0830/4465/files/Atlas_Taupe_Live_b7eb3406-235c-41ff-9825-a1e2bb0d99ca.jpg?v=1786423443,"Crafted from full-grain hides sanded on the outer surface to create a soft, brushed nap, our nubuck strap shares suede's velvety texture while retaining the strength of the tougher, top-grain leather beneath it. Where suede is cut from the underside of the hide, nubuck keeps this more durable outer layer intact, giving it a slightly finer grain and added resistance to wear. The result is a strap t",Hairspring,2026-08-10,False
"Chronomètre Souverain, 38mm, Platinum",F.P. Journe,400000,https://hairspring.com/products/chronometre-souverain-38mm-platinum,https://cdn.shopify.com/s/files/1/0617/0830/4465/files/FP-Journe-38mm-Chronometre-Souverain-7.jpg?v=1785518643,"A Chronomètre Souverain with platinum 38mm case and silver guilloché dial, one of an estimated 200 produced. Launched in 2005 with a 40mm case, it won the Men's Watch category at the Grand Prix d'Horlogerie de Genève. 38mm was offered one year later by special order only for Journe's top clients. Its central time display was a deviation from the brand's offset display used previously. Its Calibre ",Hairspring,2026-08-01,False
Smooth Calf Strap,Other,140,https://hairspring.com/products/smooth-calf-strap,https://cdn.shopify.com/s/files/1/0617/0830/4465/files/Nazare_Navy_Thumbnail.jpg?v=1785555796,"Crafted from premium French calfskin sourced from some of Europe's most established tanneries, our Smooth Calf strap is finished to a soft, matte surface with a clean, understated texture. At 2.5mm, it's a thin, low-profile strap that sits close to the wrist. Softening over time with wear, our Smooth Calf strap is perfect for everyday wear, or a special occasion.",Hairspring,2026-07-31,False
