title,brand,price,url,img,description,source,sold
Audemars Piguet Royal Oak Blue Dial - Box and Papers (Ref. 15550ST),Audemars Piguet,52900,https://huntingtoncompany.com/products/audemars-piguet-royal-oak-blue-dial-box-and-papers-ref-15550st,https://cdn.shopify.com/s/files/1/0553/8391/6727/files/DSF6895.jpg?v=1778012646,"Worth A Read History and Significance The Royal Oak has remained one of the most recognizable watch designs since its introduction in 1972, defined by Gérald Genta’s integrated case and bracelet architecture. While the original 39mm “Jumbo” often receives the most attention, the modern lineup has expanded to include more wearable proportions, with the 15550ST representing the current 37mm offering. Released as part of the updated Royal Oak range, the 15550ST replaced the previous 15450, bringing subtle but meaningful refinements. The case profile is slightly reworked, the bracelet integration feels more cohesive, and the movement was upgraded to the in-house caliber 5900, offering improved performance and finishing. It maintains the same design language that defines the Royal Oak, but executed with modern tolerances and finishing standards. The blue dial remains one of the most sought-after configurations. The signature “Grande Tapisserie” pattern adds depth and texture, shifting in tone depending on light, while the applied markers and polished hands provide contrast against the grid. Combined with the brushed steel case and bracelet, it creates a balance between sport and refinement that few designs have matched. Writer’s Thoughts This is one of the easiest Royal Oaks to actually wear. The 37mm size sits well on most wrists, especially for someone who finds the 41mm too big. It keeps the presence of a Royal Oak without feeling oversized. The blue dial does most of the work here. It changes constantly depending on lighting, going from deep navy to brighter tones, which keeps it interesting day to day. As a complete set with minimal wear, it checks all the boxes for someone looking for a modern Royal Oak that can be worn regularly without thinking twice. Our Promise Every watch is thoroughly vetted, carefully described with complete transparency, and guaranteed to be authentic. This Watch is presented in original condition, representing both timeless style and enduring quality. Specifications Brand: Audemars Piguet Model: Royal Oak Selfwinding (Ref. 15550ST.OO.1356ST.06) Year: 2023 Case Material: Stainless steel Case Size: 37mm Bezel: Stainless steel octagonal bezel Dial: Blue “Grande Tapisserie” dial with applied markers Movement: Automatic Audemars Piguet caliber 5900 Strap/Bracelet: Integrated stainless steel bracelet Buckle/Clasp: Audemars Piguet folding clasp Contents: Full set with box and papers Condition Case: Minimal signs of wear with light surface marks consistent with careful use; edges remain well defined. Dial: Clean with no imperfections. Hands: Excellent condition with no wear. Crystal: Clean with no scratches. Strap/Bracelet: Light surface wear visible on bracelet; overall very well preserved.",Huntington Company,False
2024 Girard-Perregaux Laureato Absolute Sapphire Case - Box and Papers (Ref. 81071-43-2022-1CX ),Girard-Perregaux,49900,https://huntingtoncompany.com/products/girard-perregaux-laureato-absolute-sapphire-case-box-and-papers-ref-81071-43-2022-1cx,https://cdn.shopify.com/s/files/1/0553/8391/6727/files/DSF1837.jpg?v=1766603404,"Worth A Read History and Significance The Laureato has long been Girard-Perregaux’s answer to the modern luxury sports watch, combining sharp geometry with genuine in-house watchmaking. The Absolute line takes that foundation and pushes it further, focusing on contemporary materials and a more technical presence. The “Light and Shade” variant is one of the most distinctive executions of the series, using a fully transparent sapphire case paired with titanium structural elements to create a watch that feels architectural rather than ornamental. This reference highlights Girard-Perregaux’s willingness to experiment while staying grounded in serious horology. The skeletonized movement is fully visible from both sides, emphasizing depth, symmetry, and mechanical layout. Despite its bold appearance, the watch remains very wearable thanks to its integrated rubber strap and balanced proportions. It is a modern statement piece that still fits naturally within the Laureato lineage. Writer’s Thoughts This is a striking watch in person. The transparent sapphire case gives it a light, almost floating feel on the wrist, while the titanium elements add contrast and definition. It wears large on paper, but the short lug structure and integrated strap keep it comfortable. For someone looking for a contemporary, technically interesting Laureato that stands apart from traditional steel models, this is one of the most compelling options in the lineup. Our Promise Every watch we offer is carefully inspected and evaluated for authenticity and originality. We stand behind each piece we sell and disclose all known details and condition observations as accurately as possible. Specifications Brand: Girard-Perregaux Model: Laureato Absolute Light and Shade Reference: ref. 81071-43-2022-1CX Year: 2024 Case Material: Sapphire and titanium Case Size: 44mm Bezel: Integrated sapphire bezel Dial: Skeletonized openworked dial Crystal: Sapphire Movement: Automatic Strap: Integrated black rubber strap Buckle/Clasp: Girard-Perregaux titanium clasp Contents: Original box, papers, booklet, warranty card, and accessories Condition Case: Brand new and unworn. The sapphire and titanium case shows no signs of wear. Bezel: Clean with no chips, cracks, or marks. Crystal: Sapphire crystal is flawless with no visible imperfections. Dial: Skeletonized dial is clean with no marks or defects. Hands: Original hands in perfect condition. Strap: Unworn rubber strap. Buckle/Clasp: Titanium clasp is unmarked and functions properly.",Huntington Company,False
1970s Cartier Tank Paris Dial Reverso (Ref. 2582),Cartier,34900,https://huntingtoncompany.com/products/1970s-cartier-tank-paris-dial-reverso-ref-2582,https://cdn.shopify.com/s/files/1/0553/8391/6727/files/DSF3272.jpg?v=1770512524,"Worth A Read History and Significance The Tank Reverso is one of the more intriguing and lesser-seen evolutions within Cartier’s Tank lineage. Produced in limited numbers during the 1970s, this reference blends the classic Tank proportions with a reversible case construction, offering both practical protection and a subtle mechanical curiosity. While the Reverso concept is most closely associated with Jaeger-LeCoultre, Cartier’s interpretation stands apart through its unmistakable Paris-era design language and refined execution. This example features a Paris-signed dial, placing it firmly in a period collectors continue to prize for its design purity and smaller production runs. The 24 by 32 mm case wears elegantly, maintaining the Tank’s traditional rectangular balance while offering a slightly more substantial presence than earlier mid-century references. These watches were never mass-market pieces, and surviving examples in honest, well-preserved condition are increasingly difficult to find, particularly when the original deployants are intact. Writer’s Thoughts The proportions are excellent, the dial is crisp and perfectly balanced, and the reversible case adds just enough intrigue without turning the watch into a novelty. On the wrist, it feels thoughtful and intentional, like something chosen carefully rather than impulsively. The fact that it comes with the original deployant clasp only reinforces that sense of completeness. Our Promise Every watch is thoroughly vetted, carefully described with complete transparency, and guaranteed authentic. This watch is offered in honest condition. Specifications Brand: Cartier Model: Tank Reverso (Ref. 2582) Year: 1970s Case Material: Gold case with integrated reversible construction Case Size: 24 x 32 mm Dial: White Paris-signed dial with black Roman numerals Crystal: Mineral crystal Movement: Manual wind Strap/Bracelet: New leather strap Buckle/Clasp: Generic buckle and original Cartier deployant clasp Contents: Watch and original deployant clasp Condition Case: Gold case shows light, honest wear with well-defined lines and appears to retain its original geometry. Crystal: Crystal is clean with no dents or scratches observed. Dial: Paris-signed dial is crisp and well preserved with clean printing and no visible damage other than the 1 o'clock numeral. Hands: Original blued hands are in excellent condition with even coloration. Strap/Bracelet: The new leather strap is unworn. Buckle/Clasp: Original Cartier deployant shows light surface wear consistent with age and functions properly.",Huntington Company,False
2025 Czapek Antarctique Passage de Drake Sahara Night,Czapek,33300,https://huntingtoncompany.com/products/czapek-antarctique-passage-de-drake-sahara-night,https://cdn.shopify.com/s/files/1/0553/8391/6727/files/DSF1350.jpg?v=1766117091,"Worth A Read History & Significance Czapek’s Antarctique line is where the brand leaned fully into the modern, integrated-bracelet sports watch category, but with a very Czapek approach: strong finishing, a dial with real depth, and an in-house micro-rotor calibre that keeps the case slim. The Passage de Drake is the time-only core of that family, and it is the one that best shows off the dial work and the profile of the case. The Sahara Night edition is part of a pair of limited releases inspired by desert landscapes, with this version taking the “night sky” direction in deep blue. It keeps Czapek’s registered “Stairway to Eternity” trapezoidal motif, which gives the dial a three-dimensional stamped texture that shifts in the light. For the first time in this configuration, Czapek adds applied Eastern-Arabic numerals at 12, 3, and 9, and carries that theme onto the date disc at 6. Under the hood is the calibre SXH5, Czapek’s in-house automatic with a platinum micro-rotor. It is designed to be both visually impressive through the display back and practical for daily wear, pairing a 60-hour power reserve with a slim case and a 120-meter water resistance rating. This Sahara Night is limited to 25 pieces. Writer’s Thoughts This is a strong modern alternative if you like the integrated-bracelet category but want something less common than the usual names. The dial texture does most of the talking in person, and the Eastern-Arabic numerals give it a clear identity without feeling like a novelty. In a brand new, complete set configuration, it checks the boxes for both collecting and wearing. Our Promise Every watch we offer is fully vetted, described with complete transparency, and guaranteed authentic. This Czapek is carefully inspected and presented with originality intact, a true representation of our commitment to quality and trust. Specifications Brand: Czapek Model: Antarctique Passage de Drake Sahara Night Year: 2025 Case Material: Stainless steel Case Size: 40.5 mm Dial: Deep blue with “Stairway to Eternity” pattern and Eastern-Arabic numerals Crystal: Sapphire Movement: Automatic micro-rotor Strap: Integrated stainless steel bracelet Buckle/Clasp: Stainless steel clasp Contents: Complete set Condition Case: Brand new stainless steel case with factory brushing and polishing intact. Bezel: Polished bezel in brand-new condition. Crystal: Sapphire crystal is clean and free of marks. Dial: Deep blue textured dial in flawless condition with applied numerals. Hands: Original hands in perfect condition. Strap: Integrated stainless steel bracelet in brand new condition. Buckle/Clasp: Clasp is clean and unused.",Huntington Company,False
2021 Patek Philippe Calatrava Pilot Travel Time - Box and papers (Ref. 7234G-001),Patek Philippe,32600,https://huntingtoncompany.com/products/2021-patek-philippe-calatrava-pilot-travel-time-box-and-papers-ref-7234g-001,https://cdn.shopify.com/s/files/1/0553/8391/6727/files/DSF6907.jpg?v=1778012610,"Worth A Read History and Significance The Calatrava Pilot Travel Time line traces its roots back to a little-known Patek Philippe pilot’s watch from the 1930s, a period when aviation demanded highly legible, purpose-built instruments. While the modern interpretation was only introduced in the last decade, it draws heavily on those early design principles, with bold Arabic numerals, luminous hands, and a highly functional dual time display. The 7234G represents the mid-size execution of this concept, offered in a 37.5mm white gold case. It carries the same Travel Time complication found in its larger counterparts, allowing for independent local hour adjustment via the pushers on the left side of the case, while maintaining a home time indication. The symmetry of the dial is preserved through subtle details, including the day/night apertures and the neatly integrated date subdial. What sets this reference apart is its balance. It retains the casual, almost utilitarian feel of a pilot’s watch, yet is executed entirely in precious metal with Patek Philippe’s level of finishing. The blue dial paired with white gold gives it a restrained look, while still offering enough contrast for everyday wear. Writer’s Thoughts The size is what makes it. At 37.5mm, it wears comfortably without losing the presence you want from a pilot-style watch. It feels practical, not oversized. The Travel Time function is also genuinely useful. It is simple to operate and does not clutter the dial, which is not always the case with dual time watches. It is also really cool to have such a sporty watch cased in white gold, something you'll probably forget about while wearing it. Our Promise Every watch is thoroughly vetted, carefully described with complete transparency, and guaranteed to be authentic. This Watch is presented in original condition, representing both timeless style and enduring quality. Specifications Brand: Patek Philippe Model: Calatrava Pilot Travel Time (Ref. 7234G-001) Year: 2021 Case Material: White gold Case Size: 37.5mm Bezel: Smooth white gold bezel Dial: Blue dial with applied luminous Arabic numerals Movement: Automatic Strap/Bracelet: Blue leather strap Buckle/Clasp: Patek Philippe white gold buckle Contents: Full set with box and papers Condition Case: Light surface wear visible consistent with careful use; overall strong condition with no notable dings. Dial: Clean with no imperfections. Hands: Excellent condition with strong lume and no wear. Crystal: Clean with no scratches. Strap/Bracelet: Original strap has very light wear.",Huntington Company,False
2021 Rolex Daytona Panda White Dial - Box and Papers (Ref. 116500LN),Rolex,30900,https://huntingtoncompany.com/products/2021-rolex-daytona-panda-white-dial-box-and-papers-ref-116500ln,https://cdn.shopify.com/s/files/1/0553/8391/6727/files/DSF5498_d45a40a3-baf6-4cf3-99d6-4a76f55cf272.jpg?v=1775686111,"Worth A Read History and Significance The Rolex Daytona traces its origins back to 1963, originally designed as a tool watch for professional racing drivers. Over time, it evolved from a relatively niche chronograph into one of the most recognized and collected modern sports watches. The introduction of the ceramic bezel in the reference 116500LN marked a turning point, combining the durability of Cerachrom with a cleaner, more contemporary aesthetic. The white dial variant, often referred to as the “Panda,” quickly became the most sought-after configuration in the lineup. The contrast between the white dial and black sub-dials improves legibility while giving the watch a more graphic, modern presence. Powered by Rolex’s in-house caliber 4130, the Daytona offers a simplified and robust chronograph architecture with a strong reputation for reliability. Writer’s Thoughts This is one of those watches where the reputation is deserved. You put it on, and it feels exactly like you expect it to. The white dial is the reason people chase this one. It’s sharper, more legible, and just more interesting than the black dial version. It ends up being the Daytona you reach for when you actually want to wear one, not just keep it in the box. Our Promise Every watch is thoroughly vetted, carefully described with complete transparency, and guaranteed authentic. Each piece is offered in honest condition, ensuring collectors receive a timepiece that reflects both originality and integrity. Specifications Brand: Rolex Model: Daytona (Ref. 116500LN) Year: 2021 Case Material: Stainless steel Case Size: 40mm Dial: White dial with black sub-dials Movement: Automatic Rolex caliber 4130 Strap/Bracelet: Stainless steel Oyster bracelet Buckle/Clasp: Rolex folding clasp Contents: Complete set with box and papers Condition Case: Case is in excellent condition with light signs of wear and strong overall edges. Dial: Dial is clean and free of imperfections. Hands: Hands are clean with no visible wear. Crystal: Sapphire crystal is clean with no visible scratches. Strap/Bracelet: Bracelet shows normal signs of wear with light surface marks but remains tight overall.",Huntington Company,False
1960s Vacheron Constantin Royal Chronometer 'Batman' (Ref. 6694),Vacheron Constantin,24900,https://huntingtoncompany.com/products/vacheron-constantin-royal-chronometer-batman-ref-6694,https://cdn.shopify.com/s/files/1/0553/8391/6727/files/DSF5904-2.jpg?v=1776798876,"Worth A Read History and Significance The Royal Chronometer line represents an important chapter in Vacheron Constantin’s mid-century output, where the brand focused on producing high-grade automatic movements with chronometer-level performance in refined, wearable cases. Reference 6694 sits within that era, pairing a clean, balanced dial layout with a robust automatic caliber, often based on the respected K1072 architecture used across high-end Swiss watchmaking at the time. What makes this example stand out is the configuration. The applied markers and handset give it the nickname “Batman” among collectors, with the more angular, stylized shapes offering a subtle departure from the more traditional baton or dauphine designs typically seen on these references. It feels slightly more modern without losing the restraint expected from Vacheron Constantin. Even more notable is the presence of the original 18k gold bracelet. These were produced in far smaller numbers than their leather strap counterparts, and surviving examples are increasingly uncommon. When found together with the watch, it significantly changes how the piece wears and how it is understood as a complete object from the period. Writer’s Thoughts On leather, it would read as a classic dress watch. On the original gold bracelet, it becomes something much more substantial, closer to a full design statement from the era. The dial details keep it interesting, especially the marker shapes, but it is really the overall presence on wrist that makes it stand out. Our Promise Every watch is thoroughly vetted, carefully described with complete transparency, and guaranteed authentic. Each piece is offered in honest condition, ensuring collectors receive a timepiece that reflects both originality and integrity. Specifications Brand: Vacheron Constantin Model: Royal Chronometer (Ref. 6694) Year: Circa 1960s Case Material: 18k Yellow Gold Case Size: 35mm Dial: Silver sunburst with applied gold indices and stylized markers Movement: Automatic chronometer-grade movement Strap/Bracelet: Original 18k yellow gold bracelet Buckle/Clasp: Integrated 18k clasp with Vacheron cross motif Contents: Watch only Condition Case: Strong overall with light surface wear consistent with age. Edges remain well defined, and the case looks unpolished. Light hairlines present throughout. Dial: Clean and original with a consistent silver tone. Light spotting visible under certain angles, typical for the period, but overall well preserved with intact printing and applied markers. Hands: Original and matching, showing light wear and aging consistent with the dial. Crystal: Light surface wear visible. Bracelet: Original 18k bracelet showing surface wear and light stretch consistent with age. Structure remains solid with good overall integrity and is still uncut. Clasp engravings remain visible.",Huntington Company,False
1979 Rolex Explorer II MK 4 Pumpkin Lume (Ref. 1655),Rolex,23900,https://huntingtoncompany.com/products/1979-rolex-explorer-ii-mk-4-pumpkin-lume-ref-1655,https://cdn.shopify.com/s/files/1/0553/8391/6727/files/DSF2293.jpg?v=1767995739,"Worth A Read History and Significance The Rolex Explorer II reference 1655 occupies a unique place in Rolex history. Introduced in the early 1970s, it was designed as a practical instrument for spelunkers, cave explorers, and professionals working in environments where distinguishing day from night was essential. Unlike later Explorer II references, the 1655 relies on its fixed 24-hour bezel and oversized orange GMT hand rather than an independently adjustable hour hand, reinforcing its pure tool-watch intent. This example dates to 1979 and features the Mark IV dial, identifiable by its specific text layout and tritium characteristics consistent with late-production 1655s. The matte black dial paired with aged tritium plots and the iconic orange hand gives the watch its unmistakable character. Often nicknamed the “Freccione” or “Steve McQueen,” the 1655 was never actually worn by McQueen, but the association stuck and helped cement the model’s cult status. Unpolished examples with original components are increasingly difficult to find. With its original bracelet dated to 1977 and strong overall integrity, this piece represents the Explorer II in one of its most honest and collectible forms. Writer’s Thoughts The 1655 wears with a presence that feels purpose-built rather than flashy. The unpolished case retains its original geometry, and the patina across the dial and hands gives the watch real depth. It is a watch for collectors who value originality and history over perfection, and one that feels equally at home as a daily wearer or as a cornerstone vintage Rolex. Our Promise Every watch is thoroughly vetted, carefully described with complete transparency, and guaranteed authentic. This watch is offered in honest condition. Specifications Brand: Rolex Model: Explorer II Reference: ref. 1655 Year: 1979 Case Material: Stainless steel Case Size: 40mm Bezel: Fixed stainless steel 24-hour bezel Dial: Black Mark IV dial with tritium luminous markers Crystal: Acrylic Movement: Automatic Rolex caliber 1575 GMT Strap: Stainless steel Oyster bracelet Buckle/Clasp: Rolex folding clasp Contents: Watch only Condition Case: Unpolished stainless steel case shows surface wear consistent with age and use. The case remains well proportioned with strong lugs and original lines. Bezel: Fixed steel bezel shows wear with clearly legible engravings. Crystal: Acrylic crystal shows surface marks consistent with use, with no cracks. Dial: Mark IV black dial shows even aging with well-balanced tritium patina and intact printing. Hands: Original hands present with matching tritium and the correct orange 24-hour hand. Strap: Original Rolex Oyster bracelet dated 1977 shows light stretch consistent with age. Buckle/Clasp: Rolex clasp shows light handling marks and functions properly.",Huntington Company,False
1995 Rolex Daytona Zenith Two Tone White Dial (Ref. 16523),Rolex,17900,https://huntingtoncompany.com/products/1995-rolex-daytona-zenith-two-tone-white-dial-ref-16523,https://cdn.shopify.com/s/files/1/0553/8391/6727/files/DSF5896_a7d8fd29-250b-49f2-8170-d1e35d94f576.jpg?v=1776799950,"Worth A Read History and Significance The reference 16523 marks a pivotal chapter in the Daytona lineage as part of the first automatic generation introduced in 1988. Moving away from the earlier manual wind models, Rolex adopted a heavily modified Zenith El Primero caliber, bringing the Daytona into a new era of usability and reliability while maintaining its identity as a motorsport chronograph. This two-tone configuration, combining stainless steel with yellow gold, reflects the design language of the 1990s where sport and luxury began to merge more openly. The white dial with applied gold markers and matching sub-registers is one of the most recognizable executions from the period. It offers strong legibility while maintaining a balanced, refined look that feels distinctly different from later, more modern Daytona references. The 16523 sits in an interesting position today. It retains the proportions and charm of earlier Daytonas but introduces the practicality of an automatic movement. As a result, it has become a reference that appeals both to collectors who appreciate transitional pieces and to those who want a Daytona that can be worn regularly without compromise. Writer’s Thoughts Wearing a two-tone Zenith Daytona is really special. It is the same as a classic steel example, but it does not feel overly sporty. The white dial keeps it clean, while the gold elements add just enough warmth. It feels like a watch that works just as well with casual clothing as with a more structured setting. Our Promise Every watch is thoroughly vetted, carefully described with complete transparency, and guaranteed authentic. Each piece is offered in honest condition, ensuring collectors receive a timepiece that reflects both originality and integrity. Specifications Brand: Rolex Model: Daytona (Ref. 16523) Year: 1995 Case Material: Stainless steel and yellow gold Case Size: 40mm Bezel: Fixed yellow gold tachymeter bezel Dial: White dial with applied gold indices and gold sub-dials Movement: Automatic Strap/Bracelet: Rolex Oyster two-tone bracelet Buckle/Clasp: Rolex Oyster clasp Contents: Watch only Condition Case: Shows signs of a previous polish with softened edges in areas; overall remains clean with light surface wear consistent with age. Bezel: Light surface wear visible, particularly around the tachymeter scale; no major dents. Dial: In excellent condition with no visible wear; printing remains crisp and clean. Hands: Excellent condition with strong matching tone; no visible degradation. Crystal: Clean with no signs of wear. Bracelet: Minimal stretch for its age; light surface wear present across links. Clasp: Clean with light wear consistent with normal use.",Huntington Company,False
1977 Rolex Submariner Maxi MK1 Dial Pre-Comex (Ref. 5513),Rolex,15300,https://huntingtoncompany.com/products/1977-rolex-submariner-maxi-mk1-dial-pre-comex-ref-5513,https://cdn.shopify.com/s/files/1/0553/8391/6727/files/DSF6873-2_25726adc-6a86-44fa-aafa-1a08a0c26b82.jpg?v=1778012859,"Worth A Read History and Significance The reference 5513 is one of the longest-running Submariner references, produced from the early 1960s through the late 1980s. Over that span, it saw a number of subtle dial and configuration changes, many of which have become highly collectible in their own right. Among them, the Maxi dial variants stand out as some of the most visually distinctive. The Mk. I Maxi dial represents the first of these larger lume configurations, characterized by noticeably bigger hour plots compared to earlier matte dials. This change improved legibility but also gave the watch a more balanced, bolder look. Paired with the simplicity of the two-line Submariner text, it creates a dial that feels both functional and well-proportioned. The fat font bezel insert complements the dial well, with its thicker numerals adding another layer of vintage character. Together, these details define the watch in a way that goes beyond the standard 5513, placing it firmly in a category that collectors actively seek out. Writer’s Thoughts The Mk. I Maxi dial is the highlight. The larger lume plots give the watch more presence without changing the overall proportions. It still feels like a classic Submariner, just slightly more expressive. The condition of the dial is what sets this example apart. It is rare to see one this clean, especially on a Maxi dial. The slight wear at the 1 o’clock marker is worth noting, but it does not take away from how strong the dial presents overall. The bezel insert has also started to fade evenly into grey. With the fat font insert and a well-preserved case, this is a very complete and honest example of a reference that continues to define vintage Rolex collecting. Our Promise Every watch is thoroughly vetted, carefully described with complete transparency, and guaranteed to be authentic. This Watch is presented in original condition, representing both timeless style and enduring quality. Specifications Brand: Rolex Model: Submariner (Ref. 5513) Year: 1977 Case Material: Stainless steel Case Size: 40mm Bezel: Fade black bezel with fat font insert Dial: Mk. I Maxi matte black dial with tritium lume Movement: Automatic Strap/Bracelet: Stainless steel Oyster bracelet Buckle/Clasp: Rolex folding clasp Contents: Watch only Condition Case: Strong overall case with defined edges; shows normal wear consistent with age and minimal evidence of previous polishing present. Dial: Mk. I Maxi dial in exceptional original condition; minimal aging with slight wear to the 1 o’clock minute marker. Hands: Matching lume with dial; consistent aging throughout. Crystal: Light wear visible consistent with use. Strap/Bracelet: Bracelet shows some stretch and surface wear consistent with age.",Huntington Company,False
