title,brand,price,url,img,description,source,sold
"38mm F.P. Journe Octa Calendrier ref. Q “Platinum, Gray Dial, Gold Movement”",F.P. Journe,350000,https://lunaroyster.com/product/38mm-f-p-journe-octa-calendrier-ref-q-platinum-gray-dial-gold-movement/,https://media.lunaroyster.com/2026/05/14fa6be9-2i1a3548-scaled.jpg,"Up for grabs is an F.P. Journe Octa Calendrier Ref. “Q.” This example features the sought-after 38mm platinum case paired with the classic grey dial and rose gold movement. The warranty card is dated 2007. Produced between 2004 and 2015, the Octa Calendrier offers an annual calendar with retrograde date display. The 38mm case was discontinued in 2015, making these earlier proportions increasingly desirable. This watch is powered by the transitional Calibre 1300.2, a short-lived configuration wit",Luna Royster,False
Audemars Piguet Openworked Tourbillon Ref. 25718OR,Audemars Piguet,125000,https://lunaroyster.com/product/audemars-piguet-openworked-tourbillon-ref-25718or/,https://media.lunaroyster.com/2026/04/67e9d8a9-2i1a3491-scaled.jpg,"Up for grabs is an Audemars Piguet Openworked Tourbillon Ref. 25718OR in 18k rose gold. An exceptional opportunity to acquire consecutively numbered examples, pieces 08 and 09, sourced from different parts of the world within a short period of time. Produced in the 1990s, this reference features an automatic tourbillon with power reserve and date, housed in a 39mm case with teardrop lugs. The winding crown is positioned on the caseback, allowing for a cleaner profile on the wrist. Both watches a",Luna Royster,False
Patek Philippe Ref. 5078G Minute Repeater “Arabesque” Enamel,Patek Philippe,430000,https://lunaroyster.com/product/patek-philippe-ref-5078g-minute-repeater-arabesque-enamel/,https://media.lunaroyster.com/2026/04/321d7fa2-2i1a3477-scaled.jpg,"Up for grabs is a Patek Philippe Minute Repeater Ref. 5078G-010 in 18k white gold. A 38mm case housing one of Patek Philippe’s most refined minute repeaters, paired with a striking black enamel dial. The dial features a two-tone execution with matte scroll and arabesque decoration set against a glossy black enamel base. Applied white gold hour markers and leaf-shaped hands complete the design. Purchased new in 2022, this example is presented in excellent condition with no dings, dents, or deep s",Luna Royster,False
"1979 Patek Philippe Gondolo ref. 3733/1 “Yellow Gold, Lapis Dial, Bracelet”",Patek Philippe,55000,https://lunaroyster.com/product/1979-patek-philippe-gondolo-ref-3733-1-yellow-gold-lapis-dial-bracelet/,https://media.lunaroyster.com/2026/04/21846102-2i1a3460-scaled.jpg,"Up for grabs is a vintage Patek Philippe Gondolo Ref. 3733/1 in 18k yellow gold. A classic integrated design featuring a ribbed case and bracelet, measuring 29mm x 33mm. Produced in 1979 and powered by the manual-wind Patek Philippe Calibre 215. The highlight is the original lapis lazuli dial, confirmed by the Extract of Archives and presented without cracks. The case and bracelet show natural patina consistent with an unpolished example, fitting approximately a 7.25” wrist. The caseback retains",Luna Royster,False
Maitres du Temps ref. C3R.00.00.110 Chapter 3 Reveal Piece Unique,Other,85000,https://lunaroyster.com/product/maitres-du-temps-ref-c3r-00-00-110-chapter-3-reveal-piece-unique/,https://media.lunaroyster.com/2026/04/47f25842-2i1a3439-scaled.jpg,"Up for grabs is a Maîtres du Temps Chapter Three “Reveal” by Kari Voutilainen and Andreas Strehler — Ref. C3R.00.00.110. Maîtres du Temps, founded in 2005, was built on the idea of collaborative watchmaking, bringing together leading independents to create singular, concept-driven pieces. The Chapter Three, introduced in 2012, is the result of two of the most respected minds in modern horology: Kari Voutilainen and Andreas Strehler. At first glance, the watch presents a restrained dial with date",Luna Royster,False
38mm F.P. Journe Chronometre Souverain ref. “CS” in Gold,F.P. Journe,170000,https://lunaroyster.com/product/38mm-f-p-journe-chronometre-souverain-ref-cs-in-gold/,https://media.lunaroyster.com/2026/04/7ad57b25-2i1a3451-scaled.jpg,"Up for grabs is an F.P. Journe Chronomètre Souverain Ref. “CS.” This example features the sought-after 38mm red gold case paired with a whitened silver guilloché dial. The 38mm Chronomètre Souverain models are increasingly difficult to find and rarely come to market. Presented in excellent pre-owned condition with no notable dings, dents, or deep scratches. The dial is particularly striking, with its whitened guilloché silver surface and blued steel hands. The sapphire display back reveals the b",Luna Royster,False
F.P. Journe Automatique Lune ref. AL Embossed Dial,F.P. Journe,185000,https://lunaroyster.com/product/f-p-journe-automatique-lune-ref-al-embossed-dial/,https://media.lunaroyster.com/2026/04/d2eb43b9-2i1a3379-scaled.jpg,"Up for grabs is an F.P. Journe Octa Automatique Lune Ref. “AL.” This example features the 40mm rose gold case paired with a very rare solid gold embossed dial. In his pursuit of “full gold” watches, François-Paul Journe introduced solid gold dials in 2014. The earliest executions were embossed, rather than the later and current production with applied numerals. These embossed dials were short-lived due to their complex, multi-stage construction: a solid gold base is first sanded, then coated wit",Luna Royster,False
F.P. Journe Chronometre Bleu ref. CB Tantalum Box Papers,F.P. Journe,175000,https://lunaroyster.com/product/f-p-journe-chronometre-bleu-ref-cb-tantalum-box-papers-2/,https://media.lunaroyster.com/2026/03/58fd6157-2i1a2595-scaled.jpg,"Up for grabs is an F.P. Journe Chronomètre Bleu Ref. CB. Featuring the signature 39mm tantalum case, the Chronomètre Bleu is best known for its striking chrome blue dial, which shifts in tone depending on light and viewing angle. The dial is paired with ivory-colored hands, creating one of the most recognizable aesthetics in the Journe lineup. The watch is dated 2018 according to the warranty card and is presented in excellent condition, with only light signs of wear. It is fitted on its origina",Luna Royster,False
Audemars Piguet 150th Anniversary Tourbillon Ref. 25964PT,Audemars Piguet,60000,https://lunaroyster.com/product/audemars-piguet-150th-anniversary-tourbillon-ref-25964pt/,https://media.lunaroyster.com/2026/04/b14e5d55-2i1a3202-scaled.jpg,"Up for grabs is an Audemars Piguet Jules Audemars 150th Anniversary Tourbillon Ref. 25964PT.OO.D022CR.01. A 40mm platinum case housing an automatic tourbillon, introduced in 2001 to commemorate the 150th birth year of Jules-Louis Audemars. The dial features a petrol-blue tone with vertical brushing. The one-minute tourbillon is displayed at 6 o’clock, with a 52-hour power reserve at 9 and a date indication at 3. Time is shown in the upper portion of the dial with luminous Arabic numerals and han",Luna Royster,False
"Unworn Rolex Yacht-Master 40 Rose Gold ref. 126655 Oysterflex, Diamond Paved Dial",Rolex,50000,https://lunaroyster.com/product/unworn-rolex-yacht-master-40-rose-gold-ref-126655-oysterflex-diamond-paved-dial/,https://media.lunaroyster.com/2026/04/cd5bc1bc-2i1a3158-scaled.jpg,"Up for grabs is a Rolex Yacht-Master 40 Ref. 126655 in Everose gold. Featuring the 40mm Everose gold case on the factory Oysterflex strap with Everose folding clasp. This example is fitted with a factory diamond-pavé dial, confirmed by the reference on the white hang tag. Purchased on April 4, 2026, the watch remains unworn and effectively brand new. Offered as a complete set with Rolex boxes, manuals, warranty card, both hang tags, and bezel protector. Current MSRP is $54,600.",Luna Royster,False
