title,brand,price,url,img,description,source,sold
Tudor Montecarlo Ref. 7149/0,Tudor,15000,https://www.maunderwatches.co.uk/shop/preowned-watches/tudor/tudor-montecarlo-ref-7149-0/,https://i0.wp.com/www.maunderwatches.co.uk/wp-content/uploads/2026/04/3_4_26_Maunder_LONDON_RAW-075-Edit-scaled.jpg?fit=2560%2C1707&ssl=1,"Maunder Watch Co have for sale a Tudor Montecarlo Ref. 7149/0. The Tudor Montecarlo Ref. 7149/0 is a bold expression of 1970s chronograph design, instantly recognizable for its vibrant, roulette-inspired dial that earned it the “Montecarlo” nickname. Produced between approximately 1971 and 1977, it features a 40mm stainless steel case, a tachymeter bezel, and a manually wound Valjoux movement with a higher frequency for improved precision. Both technically advanced for its time and visually dist",Maunder Watches,False
Piaget Polo in Yellow gold,Piaget,20000,https://www.maunderwatches.co.uk/shop/preowned-watches/piaget/piaget-polo-in-yellow-gold/,https://i0.wp.com/www.maunderwatches.co.uk/wp-content/uploads/2026/04/17_4_26_Maunder_LONDON_RAW-003-Edit-Edit-scaled.jpg?fit=2560%2C1707&ssl=1,"Maunder Watch Co have for sale a Piaget Polo in 18k Yellow gold. The Piaget Polo Ref. 7131C701 is one of the defining designs of Piaget’s original Polo collection, embodying the brand’s bold approach to luxury sports watches in the late 1970s and 1980s. Distinguished by its elegant square case and seamlessly integrated gadrooned bracelet, the 7131 offers a more compact and architectural interpretation of the Polo aesthetic. Crafted predominantly in solid 18k gold, the watch exemplifies Piaget’s ",Maunder Watches,False
Piaget Polo &#8216;Jumbo&#8217; in Yellow Gold,Piaget,26000,https://www.maunderwatches.co.uk/shop/preowned-watches/piaget/piaget-polo-jumbo-in-yellow-gold/,https://i0.wp.com/www.maunderwatches.co.uk/wp-content/uploads/2026/04/17_4_26_Maunder_LONDON_RAW-005-Edit-Edit-scaled.jpg?fit=2560%2C1708&ssl=1,"Maunder Watch Co have for sale a Piaget Polo Jumbo in Yellow Gold. The Piaget Polo is an iconic expression of 1980s luxury, combining bold design with Piaget’s renowned ultra-thin watchmaking expertise. Crafted entirely in solid 18k gold, the 34mm “Jumbo” case represents the largest and most sought after round iteration of the original Polo line, seamlessly integrated with its signature gadrooned bracelet for a distinctive, sculptural look. Powered by the ultra-flat quartz calibre 7P, one of the",Maunder Watches,False
Vacheron Constantin 222 Ref. 4200H/222A-B934,Vacheron Constantin,42500,https://www.maunderwatches.co.uk/shop/preowned-watches/vacheron-constantin/vacheron-constantin-222-ref-4200h-222a-b934/,https://i0.wp.com/www.maunderwatches.co.uk/wp-content/uploads/2026/04/9_4_26_Maunder_LONDON_RAW-003-Edit-scaled.jpg?fit=2560%2C1707&ssl=1,"Maunder Watch Co are pleased to offer a Vacheron Constantin 222 Ref. 4200H/222A-B934. Designed by Jorg Hysek and released in 1977 (shortly after Audemars Piguets Royal Oak in 1972 and Patek Philippes Nautilus in 1976), it stood in stark contrast against the brands mainstay, which was then (and arguably still is now) thin dress watches rendered in precious metal. The 222 was part of the first generation of integrated bracelet sports watches, and this re-release follows the design very closely. It",Maunder Watches,False
Cartier Tonneau &#8216;Paris Dial&#8217;,Cartier,8000,https://www.maunderwatches.co.uk/shop/preowned-watches/cartier/tonneau/cartier-tonneau-paris-dial/,https://i0.wp.com/www.maunderwatches.co.uk/wp-content/uploads/2026/01/19_1_26_Maunder_LONDON_RAW-014_S-scaled.jpg?fit=2560%2C1708&ssl=1,"Maunder Watch Co have for sale a Cartier Tonneau Paris Dial. A beautifully elegant vintage Cartier Tonneau wristwatch, crafted in 18ct yellow gold, showcasing the maison’s timeless design heritage. The watch features a refined white “Paris” dial, a detail highly prized by collectors as it signifies early Cartier production and authenticity. Its distinctive tonneau-shaped case (approx. 21–22mm) offers a soft, elongated silhouette that sits gracefully on the wrist, embodying classic French sophist",Maunder Watches,False
Cartier Baignoire Allongee Ref. 4155,Cartier,32500,https://www.maunderwatches.co.uk/shop/preowned-watches/cartier/baignoire/cartier-baignoire-allongee-ref-4155/,https://i0.wp.com/www.maunderwatches.co.uk/wp-content/uploads/2026/04/3_4_26_Maunder_LONDON_RAW-082-Edit-scaled.jpg?fit=2560%2C1707&ssl=1,"Maunder Watch Co have for sale a Cartier Baignoire Allongee Ref. 4155. The Cartier Baignoire Allongée is a distinctive and elegant timepiece, defined by its elongated oval case and clean, balanced design. This example is crafted in 18ct rose gold and features a distinctive studded case design, adding subtle texture and a more contemporary edge to the classic Baignoire form. The silvered dial features classic Roman numerals, shaped to follow the contours of the case, along with blued steel hands ",Maunder Watches,False
Patek Philippe Nautilus in Yellow Gold Ref. 4700,Patek Philippe,35000,https://www.maunderwatches.co.uk/shop/preowned-watches/patek-philippe/nautilus/patek-philippe-nautilus-in-yellow-gold-ref-4700/,https://i0.wp.com/www.maunderwatches.co.uk/wp-content/uploads/2026/04/3_4_26_Maunder_LONDON_RAW-081-Edit-scaled.jpg?fit=2560%2C1707&ssl=1,"Maunder Watch Co have for sale a Patek Philippe Nautilus in Yellow Gold Ref. 4700. The Patek Philippe Nautilus 4700 in 18ct yellow gold is a refined expression of sporty elegance, blending the iconic porthole-inspired design with the warmth of precious metal. Its compact case, clean with a white dial create a balanced, understated look suited for both casual and formal wear. Timeless and versatile, it captures the essence of Patek Philippe’s craftsmanship in a smaller, sophisticated form. Presen",Maunder Watches,False
Audemars Piguet Royal Oak Ref. 14790,Audemars Piguet,42000,https://www.maunderwatches.co.uk/shop/preowned-watches/audemars-piguet/audemars-piguet-royal-oak-ref-14790-in-yellow-gold/,https://i0.wp.com/www.maunderwatches.co.uk/wp-content/uploads/2026/04/3_4_26_Maunder_LONDON_RAW-004-Edit-scaled.jpg?fit=2560%2C1708&ssl=1,"Maunder Watch Co have for sale a Audemars Piguet Royal Oak Ref. 14790 in Yellow Gold. The Audemars Piguet 14790 in yellow gold pares the Royal Oak back to its essentials, clean lines, compact proportions in a 36mm case and that unmistakable octagonal bezel. It’s quietly distinctive, with the warmth of gold giving it presence without ever feeling overstated. Presented in excellent condition, this watch comes with its original box and paperwork dated from 2006. All our watches have undergone a tho",Maunder Watches,False
Patek Philippe Calatrava Ref. 570,Patek Philippe,28500,https://www.maunderwatches.co.uk/shop/preowned-watches/patek-philippe/calatrava/patek-philippe-calatrava-ref-570/,https://i0.wp.com/www.maunderwatches.co.uk/wp-content/uploads/2026/02/28_1_26_Maunder_LONDON_RAW-137-scaled.jpg?fit=2560%2C1708&ssl=1,"Maunder Watch Co have for sale a Patek Philippe Calatrava Ref. 570. The Patek Philippe Calatrava Reference 570 is a quintessential example of the brand’s timeless design philosophy and exceptional craftsmanship. Introduced in the late 1930s, the Ref. 570 quickly became one of the most celebrated vintage Calatrava models, admired for its elegant proportions and understated sophistication. At 35mm in diameter considered oversized for its era the case offers a commanding yet refined wrist presence,",Maunder Watches,False
Audemars Piguet Royal Oak Ref. 6007BA,Audemars Piguet,27500,https://www.maunderwatches.co.uk/shop/preowned-watches/audemars-piguet/audemars-piguet-royal-oak-ref-6007ba/,https://i0.wp.com/www.maunderwatches.co.uk/wp-content/uploads/2026/03/13_2_26_Maunder_LONDON_RAW-019-Edit-scaled.jpg?fit=2560%2C1708&ssl=1,"Maunder Watch Co have for sale a Audemars Piguet Royal Oak Ref. 6007BA. The Audemars Piguet Royal Oak Ref. 6007BA is a vintage ladies’ model produced in the 1980s, crafted entirely in solid 18k yellow gold. It features the signature Royal Oak design, including the iconic octagonal bezel with exposed screws and an integrated bracelet, all in a compact 26mm case. Powered by a reliable quartz movement, the 6007BA offers practical, low-maintenance timekeeping. The watch featires a sunburst Petite Ta",Maunder Watches,False
