title,brand,price,url,img,description,source,sold
69 Pre Moon Speedmaster with applied logo dial,Omega,3900,https://pushers.io/listings/69-pre-moon-speedmaster-with-applied-logo-dial,https://d1t0mcfhd039st.cloudfront.net/eyJidWNrZXQiOiJzY2htYWx0ei1kZXYiLCJrZXkiOiJkZjA2YzlkMi1iOTdjLTQ4MDQtYTMzYi03OTYwZmM1OTY4ZDIuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9fX0=,"If you’re looking for an affordable pre-moon Speedmaster with all the vintage feel and DNA, this is probably it.  Fitted with the correct “Seamonster” caseback, this ref. 145.022-69 features an earlier ’68 step dial with an applied logo—likely swapped during a service, as anything was possible during this transition period when the 321 gave way to the pre-moon 861 Speedmaster.  Very reasonably priced for this reason, here’s a very cool Speedy that can easily become your reliable daily wearer, wi",Moonphase,False
Tropical Polerouter Date,Universal Geneve,5850,https://pushers.io/listings/tropical-polerouter-date,https://d1t0mcfhd039st.cloudfront.net/eyJidWNrZXQiOiJzY2htYWx0ei1kZXYiLCJrZXkiOiI0ZTNmOGFiMC0yYzRjLTQyOTUtOTRhOC0yOTM0NzRjODg0YTIuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9fX0=,"Nice tropical Polerouters are hard to find as the white wolf.   Here’s a ref. 204607-1, fully overhauled and featuring an evenly tropicalized dial. A true wabi-sabi Polerouter, where tiny imperfections add depth, charm, and character.  The dial color is simply stunning under the NOS signed plexi. A charismatic Polerouter, a perfect summer watch and the thrill of a genuine tropical Polerouter—without breaking the bank.",Moonphase,False
Polerouter sub 869122 with blue bezel,Universal Geneve,7250,https://pushers.io/listings/polerouter-sub-869122-with-blue-bezel,https://d1t0mcfhd039st.cloudfront.net/eyJidWNrZXQiOiJzY2htYWx0ei1kZXYiLCJrZXkiOiIxODkzZjY4ZC03NTJmLTQ1MmQtYjE5YS04YjdiOTdlNWFjNDkuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9fX0=,"Probably the only diver powered by a micro-rotor, the asymmetric Polerouter Sub was produced with several bezel variations. Referenced by Universal Genève from 869120 to 869124, this example features the blue “Bakelite” bezel of ref. 869122.  The dial, hands, and bezel have aged in perfect harmony, while the case remains exceptionally sharp—remarkable for a 60-year-old tool watch. The vibrant blue bezel, paired with red dial accents and orange hour and seconds hands, gives the watch a funky edge",Moonphase,False
"Early 35,5mm Polerouter Date",Universal Geneve,6300,https://pushers.io/listings/early-35-5mm-polerouter-date,https://d1t0mcfhd039st.cloudfront.net/eyJidWNrZXQiOiJzY2htYWx0ei1kZXYiLCJrZXkiOiI1MDU5MmVjMC1mNmVhLTRjMjctOTAzNS1mYWIxNDhlNzhhZWEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9fX0=,"The recent reissue of the Polerouter by the reborn Universal Genève is setting clearer benchmarks in terms of value for the vintage models. It is also reinforcing the importance of authenticity and a deeper understanding of each reference. Rarity, condition, dial variations, parts and correct configurations… Each detail has it’s importance and what was once a niche field has become a more defined and informed space for collectors.  Here is a very nice 204503-2, one of the very first Polerouter d",Moonphase,False
Speedmaster 321 with rare B4 transitional dial,Omega,6500,https://pushers.io/listings/speedmaster-321-with-rare-b4-transitional-dial,https://d1t0mcfhd039st.cloudfront.net/eyJidWNrZXQiOiJzY2htYWx0ei1kZXYiLCJrZXkiOiI1OGI2ZTE2Ni1mZDRkLTRmYzMtYWQzMC01NDU5OGU3NTQ3YjguanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9fX0=,"Here we love transitional watches. When designs are slowly changing. This 145.012-67 has all the DNA of a classic Moonwatch,  starting with a real 321 caliber and a DON bezel. The originality comes from its rare B4 transitional dial. It still keeps the applied logo, but the markers are shorter than a classic 145.012. The drop second has already turned into a alpha second. The moment when a 321 is slowly mutating  to a 69 …   if you are a speedy geek looking for a rare reference, or just want to ",Moonphase,False
Omega Flightmaster Mk1 « No Dots » Ref.145.013,Omega,2900,https://pushers.io/listings/omega-flightmaster-mk1-no-dots-ref-145-013,https://d1t0mcfhd039st.cloudfront.net/eyJidWNrZXQiOiJzY2htYWx0ei1kZXYiLCJrZXkiOiJjZjk3MDY4ZC1mZDY1LTQ2NzgtYWNhNy1kYzljMWY2OGJmYjAuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9fX0=,"Primitive designs are always the best. Here is the first iteration of the Flightmaster made in 1969. Nick named the « No Dots » because of absence of the two dots at the 12 o’clock marker. Very specific to the very early model, the other main difference is the 24h night and day green sub dial at 9 o’clock.   This is a big watch from the 70s. A water mark period for sophisticated and funky design tool watches.  The dial and hands of this one have nicely faded to a very smooth color way.   A watch",Moonphase,False
Seamaster 300 Ref. ST 165.024 (1966 – Early Version),Omega,6400,https://pushers.io/listings/seamaster-300-ref-st-165-024-1966-early-version,https://d1t0mcfhd039st.cloudfront.net/eyJidWNrZXQiOiJzY2htYWx0ei1kZXYiLCJrZXkiOiIxZDI5ODBjYS0zN2I4LTQ3MTUtOWIzNS04NTNmMDg2NjBmM2UuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9fX0=,"A cornerstone of Omega’s legendary 1957 Trilogy, the Seamaster 300 is an icon of dive watch design — a model that evolved continuously throughout a decade. From the CK to the ST series, its rich history and countless variations make it one of the most fascinating and collectible watches of its era. The upcoming release of the Seamaster Only book will shine a renewed light on this historic model, restoring its well-deserved prestige and bringing it back to the forefront of collectors’ attention. ",Moonphase,False
1984 Speedmaster with rare Télémètre bezel,Omega,5850,https://pushers.io/listings/1984-speedmaster-with-rare-telemetre-bezel,https://d1t0mcfhd039st.cloudfront.net/eyJidWNrZXQiOiJzY2htYWx0ei1kZXYiLCJrZXkiOiIxYzI5YjcxZC1mOTc0LTQ0ZGUtYjcyYi1kODNkOWRhZmNjOTcuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9fX0=,"From the 1970s through the 1990s, the ref. 145.022 remained remarkably consistent, evolving only subtly over nearly two decades. Sitting right in the middle of this long production run, this 1984 Speedmaster is often regarded as one of the best-value vintage Speedmasters available today. More affordable than a new one, it offers a compelling blend of vintage charm and everyday reliability.  This particular example is in very good condition, featuring an unpolished case and retaining its original",Moonphase,False
Datejust 16013 2 tones gilt dial,Rolex,5800,https://pushers.io/listings/datejust-16013-2-tones-gilt-dial,https://d1t0mcfhd039st.cloudfront.net/eyJidWNrZXQiOiJzY2htYWx0ei1kZXYiLCJrZXkiOiIyMjIxNjlkNC01ODUwLTQ4ZGItYWI5Zi05ZmFkNmRkODA3OGYuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9fX0=,"Probably the most iconic Datejust seen in 80s Hong Kong gangster movies — the Rolex Datejust ref. 16013 in its unmistakable two-tone configuration, here fitted with a gilt glossy black dial.  The watch is, of course, in pristine condition, paired with its signature Jubilee bracelet. The glossy dial is immaculate, exactly as it should be.  It comes complete with its original papers, confirming its provenance from… Hong Kong — where else?",Moonphase,False
Uni-Compax ref. 884100/02 — aka “Big Eye”,Universal Geneve,16000,https://pushers.io/listings/uni-compax-ref-884100-02-aka-big-eye,https://d1t0mcfhd039st.cloudfront.net/eyJidWNrZXQiOiJzY2htYWx0ei1kZXYiLCJrZXkiOiJiYjQ5MTYwYS04YzVkLTRkYzctOWY0Ni00NWM5Njc2ZDJkNzQuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9fX0=,"The rarest of the Sport UG Compax family. Most serious research points to fewer than 300–400 pieces produced per dial color, with probably less than 30 examples known today across both configurations. The white dial 884100/02 stands as the rarer of the two, with only a handful of documented pieces in collector circles.  This example is one of those few survivors. Not mint — and that’s exactly the point. Everything has aged with gracefully with remarkable balance. The red crosshair has naturally ",Moonphase,False
