title,brand,price,url,img,description,source,date,sold
Cartier Cristallor Ref. 78096 - White Enamel 'Paris' Dial,Cartier,26350,https://oliverandclarke.com/products/cartier-cristallor-jumbo-ref-78096-white-enamel-paris-dial,https://cdn.shopify.com/s/files/1/0765/6138/3741/files/CARTIER_TANK_OCTO_STRAP_WEB_1.jpg?v=1788281608,"Cartier's catalog is full of pieces that don't bear ""Tank"" in front of the model name, and many remain overlooked or flat out unknown to the vast majority of consumers. Introduced in 1973 as a part of the Louis Cartier Collection, the Cristallor is a textbook example of one such model. Produced in a handful of variants over the years, in a number of different metals, sizes, and with different movements, this is another gorgeous execution of Cartiers ubiquitous design language. The piece that we have here is an early example from circa the early 1970s. The solid yellow gold case comes in at 28mm x 34mm and features a hexagonal 'stepped' design with 'hidden' lugs, a sapphire cabochon crown, and a manual-winding movement within. The dial inside is exactly what you'd expect to find from Cartier during this era, with a white enamel surface, printed black 'Roman' indices with an inner chemin de fer minute track. Of course, everything is tied together with a blued-steel 'sword' handset. If nothing from the Tank or Santos family speaks to you, this might just be a perfect alternative, and quite a bit more rare.",Oliver & Clarke,2026-09-10,False
Rolex Explorer II Ref. 16570 - Cream 'Rail' Dial R-Serial,Rolex,24750,https://oliverandclarke.com/products/rolex-explorer-ii-ref-16570-cream-rail-dial-r-serial,https://cdn.shopify.com/s/files/1/0765/6138/3741/files/ROLEX_EXPLORER2_CREAM_WEB_1_fdce8a8c-1693-4149-a7f0-4c1dc15dd58a.jpg?v=1788281664,"The Rolex Explorer’s core has always been in rugged expedition. While it was originally born out of the Everest celebratory Explorer I - the Explorer II was designed for cave diving. Officially known as spelunking ! While the initial run of Explorer II, the Reference 1655, or 'McQueen' ( spoiler: there is no evidence of a connection or that he ever wore one, but the nickname stuck! ) had black dials with orange accents, while later iterations like the Ref. 16570 added a white dial to the mix. These are commonly referred to as ‘Polar’ dials and they are among the most striking Rolex dials of the last 40 years or so, due to their monochromatic scheme with gloss white dials and blackened outer white gold indices. The watch that we have here, however, is something slightly different to your typical 'Polar.' Following the release of the first 'Polar,' the Ref. 16550, was the Ref. 16570. The earliest examples look virtually identical to their predecessor, while slightly later variants have a few small differences that present themselves, most notably in the form of the dial. B ecause of the way white dials in this era were produced, a small run of these early pieces have aged over the years to a variety of cream-tones and were ultimately 'fixed' and phased out. The example that we have here, is one of those early watches, dating to circa 1988. It is amongst the earliest of the Ref. 16570, featuring the revised steel 24-hr bezel and updated movement. The Oyster case retains prominent and correct finishing throughout and shows normal wear, with light wear present on the bezel and minimal loss of black paint. The Oyster bracelet also shows matching wear and remains unpolished with only faint 'stretch.' The real highlight here, however, is that dial. It has aged to a desirable cream tone and rather than the black-painted white gold indices, it carries over both the 'white gold surrounds' and handset, devoid of the black paint, and the 'rail' text on the lower half of the dial. This is a highly elusive variant of the Explorer II by any standards, likely only in production for 6-12 months before this dial was phased out in favor of the black painted white gold indices and handset. All things considered, this is an excellent and compelling example of a neo-vintage model with a cult following, and frankly, are surfacing less and less on the open market.",Oliver & Clarke,2026-09-10,False
Jaeger-LeCoultre Triple Calendar Ref. 2721 - 'Brushed' Salmon Dial Unpolished,Jaeger-LeCoultre,7650,https://oliverandclarke.com/products/jaeger-lecoultre-triple-calendar-ref-2721-brushed-salmon-dial-unpolished,https://cdn.shopify.com/s/files/1/0765/6138/3741/files/JAEGER_TEARDROP_STRAP_WEB_1.jpg?v=1788281693,"Jaeger-LeCoultre is one of the most well-rounded and storied brands in the history of watchmaking. They are not only known for models, but also, at least in the world vintage watches, equally known for their movements — a surprisingly unique accolade that is perhaps unmatched by any other brand. Be there no doubt, the most popular and well-known model from the brand is the properly iconic Reverso, but the brand offers so much more with model families like the Memovox, the Deep-Sea, and a wide range of complicated calendar timepieces. The piece that we have here is one of the latter, a 'triple calendar' dating to circa the late 1940s. The stainless steel case is wonderfully sized at 36mm in diameter with gorgeous 'banded' profiles, equally gorgeous 'teardrop' lugs, and a 'flat' crown and micro-pushers on the right profile. This is 1940s JLC at its best! Inside, the dial seems to further elevate the fantastic case. Salmon in color, it features a 'brushed' surface with applied rose gold-tone 'stud' and 'dart' indices, an oversized, 'concentric' running seconds register, and a contrasting white ring with printed red date numerals. The calendar apertures also work some red into the mix in the form of red printed day and month disc, and the rose gold-tone 'dauphine' handset with red-tipped calendar hand ties everything together beautifully. This piece is powered by JLC's manual-winding Calibre 464 and comes fitted to one of our 'granite' leather straps which, we think, allows that dial to pop properly. In many ways, this piece has a ton to offer. Outstanding overall condition, historically interesting, and uniquely styled... ...and for the price of a steel Datejust, hard to beat!",Oliver & Clarke,2026-09-10,False
Breitling Premier Ref. 777 'Jumbo' - 'Brushed' Pink Dial,Breitling,9850,https://oliverandclarke.com/products/breitling-premiere-ref-777-jumbo-brushed-pink-dial,https://cdn.shopify.com/s/files/1/0765/6138/3741/files/BREITLING_CHRONO_GLD_STRAP_WEB_1.jpg?v=1788281718,"Breitling has a long and rich history in chronographs — with an emphasis on aviation chronographs. And like so many other brands who have a watch model, or family that has become synonymous with the brand name itself, the Navitimer is just that for Breitling. As a result, the Navitimer casts a substantial shadow over all of its siblings.... even over firmly planted models like the SuperOcean, Top Time, and lesser-known pieces that pre-date model ranges all together. The example that we have here is one of the latter: A chronograph from the Premier family dating to circa 1945. Offered in phenomenal overall condition, this piece possesses many of the hallmark design characteristics found in both vintage Breitling chronographs as well as a handful of other stunning chronographs from this era. The case is crafted out of rose gold and measures in at 37mm in diameter, with attractive, downward curving lugs, 'pump' pushers, a screw-down caseback, and a 'stepped' bezel. It shows normal signs of wear with nice, defined finishing present throughout and a wild, purple oxidation on the right case profile around the crown and pushers. The dial is simply gorgeous. Wonderfully preserved, the 'salmon'-tone surface features a gently 'brushed' finishing along with excellent printed scales, 'concentric' subsidiary registers, and absolutely stunning rose gold 'foil' numerals at both 12 & 6 o'clock. Everything is tied together with a blued-steel handset, which exhibits an almost purple tarnishing that also matches that right case profile nicely. It is powered by a manual-winding Calibre 175 from Venus. Design details like the elegant and perfectly-sized case, the two-register dial layout with those 'foil' indices, and the pink-on-pink construction is an elusive and sought-after combination not often seen in any decade. Examples in condition like this simply do not surface on the open market all that often, and theres no saying if or when this configuration will again.",Oliver & Clarke,2026-09-10,False
Auricoste Spirotechnique Ref. 906.21.05 'M.N.' - Matte Black Tritium Dial W/ Decommission Papers,Other,5750,https://oliverandclarke.com/products/auricoste-spirotechnique-ref-906-21-05-m-n-matte-black-tritium-dial-w-decommission-papers,https://cdn.shopify.com/s/files/1/0765/6138/3741/files/AVRICOSTE_DIVE_BLK_STRAP_WEB_1.jpg?v=1788281745,"Auricoste was established in France as a manufacturer supplying timepieces to the French Military and Navy, with civilian models produced as a secondary line. As a result, the overwhelming majority of surviving Auricoste watches trace their origins to military contracts. La Spirotechnique, founded in 1947 by Jacques Cousteau and Emile Gagnan, began as the distributor for Cousteau's newly developed Aqua-Lung regulator, and the company built its reputation supplying professional-grade diving equipment to divers worldwide. Beyond civilian markets, Spirotechnique became a key supplier of diving gear, watches included, to the French Navy and Army. Its American operations were established under the name U.S. Divers Company, an entity later rebranded as Aqua Lung. The brand crossover doesn't stop there, however. The piece that we have here utilizes a case design originally utilized by Heuer in their Deep Dive model, but production for Auricoste was contracted out to Zodiac. So, what we've got here is one heck of a compilation of brand stories all rolled into one piece that just happens to have been issued to the French Navy; better known as the Marine Nationale. Dating to the early 1990s, the case is 41.5mm in diameter and is made from stainless steel, with both a screw-down caseback and crown. Thanks to the 4 o'clock position of the crown and being largely recessed within the case, combined with the downward sloping lug design, this piece wears much more like a typical 39-40mm timepiece. The bezel has a uni-directional rotating design and houses a black aluminum insert with individual minute markers. Inside, the dial features vibrant colored text and logos, along with Tritium plots and a high-contrast white-painted handset. Powering this piece is the robust workhorse Calibre 2824-2 by ETA. Last but not least, flip it over and you'll find the appropriate Military engravings denoting that it was property of the French Military. It is also accompanied by its decommission paper dating to 2003. This is a real piece of history — a phrase often repeated in the world of watches, though rarely as deservedly as in this case. And when compared to other military-issued pieces from other brands, particularly other dive watches issued to the Marine Nationale, this actually is fantastic value, and they do not grow on trees!",Oliver & Clarke,2026-09-10,False
Omega Disco Volante Ref. CK2245 'UFO' - Black 'Gilt' Dial,Omega,11750,https://oliverandclarke.com/products/omega-disco-volante-ref-ck2245-ufo-black-gilt-dial,https://cdn.shopify.com/s/files/1/0765/6138/3741/files/OMEGA_CALATRAVA_BLK_STRAP_WEB_1.jpg?v=1788281781,"Omega is undeniably one of the most historically important timepiece manufactures of all time. In fact, the Speedmaster is probably the most important wrist watch of all time. As a result, the Speedmaster casts a massive shadow over all of its siblings.... even over firmly planted models like the Seamaster and Constellation ranges. The resulting effect is double sided: many vintage Omegas, we feel are incredibly undervalued in the market as it exists today, with the other side of that being that hidden gems are shocking attainable. Take the piece that we haver here, a stainless steel 'Disco Volante' time-only watch loaded with beautiful details. Dating to circa 1944, this Ref. CK2445 is also known as a 'UFO' for its 'hidden' lug design, making for case design that is reminiscent of a flying saucer. The case itself is made from stainless steel and comes in at a massive 39mm in diameter with a recessed crown and one of Omega's manual-winding movements inside. Despite the somewhat unusual appearance of the round design with no lugs, it must be said that the black dial is the highlight of this piece. It features a glossy black surface with a 'concentric' subsidiary seconds register at the 6 o'clock position, gold-tone 'Arabic' indices, an outer minute track, and a gold-tone 'syringe' handset typing it all together. This piece, with its sizing, condition, and design cues really embodies everything that makes vintage great. What more can you ask for?",Oliver & Clarke,2026-09-10,False
Rolex Datejust Ref. 1603 - Sunburst Grey 'Sigma' Dial,Rolex,5850,https://oliverandclarke.com/products/rolex-datejust-ref-1603-sunburst-grey-sigma-dial-2,https://cdn.shopify.com/s/files/1/0765/6138/3741/files/ROLEX_DATEJUST_GREY_WEB_1_ecd062d2-fbe8-4cd4-b60c-ebc2a5ef4e7d.jpg?v=1788281809,"Hard to believe - but the Datejust has been around since 1945. It is far older than its bigger and attention-hogging Submariner brethren. The Datejust was Rolex’s idea of the perfect everyday watch. The robustness of the Oyster case, combined with the elegance of an Oyster Perpetual. The ‘4 digit’ series of Datejust are particularly attractive for their pie-pan dials which offer a layer of three-dimensionality to the dials that went away with the advent of quickset date and 5-digit Datejusts. These early Datejusts were available as the 1601, with a fluted white gold bezel, or the 1603, with an engine-turned steel bezel. The 4-Digit Datejusts were also the first series to become available with a myriad of dial colors and case and bracelet materials. This particular piece is a Reference 1603 from circa 1972 and it comes to us in strong overall condition, with a gently previously polished case, an 'engine-turned' steel bezel, and a matching Jubilee bracelet — all showing uniform normal wear. Inside, the sunburst grey 'Sigma' dial is beautifully preserved, retaining a crisp and vibrant sunburst finishing seemingly devoid of the usual degradation found on colored dials from this era. The Tritium plots remain fully-intact and show an attractive and even patina throughout with a handset that has ages a bit darker. All things considered, this is tough to beat, be it for your one vintage watch, or as an additional to a growing collection.",Oliver & Clarke,2026-09-10,False
Tudor Submariner Ref. 7016/0 - Black 'Snowflake',Tudor,13250,https://oliverandclarke.com/products/tudor-submariner-ref-7016-0-black-snowflake,https://cdn.shopify.com/s/files/1/0765/6138/3741/files/TUDOR_SUB_BLK_SNOWFLAKE_WEB_1_51ded25c-984b-418b-a289-ecda0188b7be.jpg?v=1788281843,"The Submariner, namely those produced by Rolex, has long been considered the cream of the crop when it comes to watch collecting as a whole. Possibly the most iconic watch ever produced, the Submariner has long standing utilitarian roots that span decades, and everyone who’s anyone has been spotted wearing one. However, if you look deeper into the Submariner line, you may find a less known but just as incredible model manufactured by Tudor. These pieces are not only more unique and uncommon than the traditional Submariner, but offer a more fun, playful design — particularly with the blue-dialed variants like the example that we have here. This example, a Ref. 7016/0, dates to circa 1973 and is known as a 'Snowflake' for it's distinctive hands and indices. In recent years, these have developed a cult following with collectors and have become one of the more sought after and collectible vintage Tudor Submariner References. This particular example comes to us in strong overall condition, with a professionally refurbished Oyster case touting prominent chamfers and nice thick lugs. The bezel retains excellent factory definition and houses a black bezel insert that shows normal wear with a matching pip. Inside, the black dial presents very nicely, with the characteristic square Tritium plots show a light and uniform patina throughout, with the equally characteristic 'snowflake' handset matching the dial perfectly. It comes fitted with a correct, albeit slightly later Oyster bracelet with a signed fliplock clasp. These days, Tudors most popular line, the Black Bay, drawn largely from pieces like the one that we have here, and for good reason. As the expression goes, you can’t know where you’re going until you know where you’re from. This is a compelling example of a vintage diver that has seen steady grown in popularity, with no signs of stopping....",Oliver & Clarke,2026-09-10,False
Jaeger-LeCoultre Polaris Memovox Ref. E859 - Single Family Owned,Jaeger-LeCoultre,15650,https://oliverandclarke.com/products/jaeger-lecoultre-polaris-memovox-ref-e859-single-family-owned-1,https://cdn.shopify.com/s/files/1/0765/6138/3741/files/JAEGER_MEMOVOX_BLK_STRAP_WEB_1.jpg?v=1788210045,"The Jaeger LeCoultre Polaris is the most complicated way to solve a problem - and that is why we love it! What is that problem? How do I know when I am going to run out of oxygen underwater! Decades before the Polaris, Jaeger LeCoultre has been producing its highly novel and unique alarm watch known as ‘The Memovox’. That model utilized and automatic winding in—house movement with a mechanical alarm function. At some point, this complication and design was thought to be married to a highly technical and robust diving watch that would be for the most serious of professionals. That watch, was the Polaris and its brother the Deep Sea Alarm. Both of those watches are icons today, but The Polaris is the most interesting of the two as it married the Alarm Memovox, with the Technical SuperCompressor case and internal rotating dive bezel to create a truly innovating and unique watch sporting three crowns. The top crown controlled your inner bezel, the middle time, and the bottom the alarm. All housed under a massive plexi dome crystal. The idea being that you could use the alarm to physically (as the watch does vibrate) and visibly (as it would emit bubbles underwater) alert you when you would be running out of air on a dive. Think about the technical prowess to build a waterproof dive watch with multiple inner rotating discs, operated by THREE crowns, and has a resonator case back… FULL OF HOLES! It's large size (by the standards of the time) lends for a perfect modern wearing experience and has become an icon of the JLC historical canon. The example that we have here comes to us from the family of the original owner, whom was in fact, a diver! The case, crystal, and dial shows signs of real use and wear, while remaining well preserved given the life it has lived. The case remains unpolished and shows honest wear, as does the crystal which is likely original to the watch. Even all three of the original and correct 'hashed' crowns remain. Inside, the dial is nicely preserved, with evenly patinated Tritium elements and some light surface patina. And then of course, there is the wildly cool and incredibly useful alarm function. The center section of the dial actually rotates counter-clockwise via the crown at the 2 o'clock position, and features an indicator in the form of Tritium triangle. Being a diver, it of course also features a rotating timing ring, but unlike a vast majority of dive watches with an externally-affixed rotating bezel, the Polaris utilizes a rotating inner ring in place of the chapter ring and is operated by the crown at 4 o'clock. These pieces are as beautiful as they are functional. A brilliant example of mid-century design through and through. And, the ultimate cooking watch.",Oliver & Clarke,2026-09-03,False
Eberhard and Co. Pre Extra-Fort - Satin Silver 'Snail' Dial c. 1940,Other,11650,https://oliverandclarke.com/products/eberhard-and-co-pre-extra-fort-satin-silver-snail-dial-c-1940,https://cdn.shopify.com/s/files/1/0765/6138/3741/files/EBERHARD_CHRONO_GLD_STRAP_WEB_1.jpg?v=1788210085,"We've handled, collected, sold, and personally owned a number of Eberhards over the years, and it has become clear that each brings a distinctly different character to wrist. There's a consistent sense of individuality across the brands offerings and no two models feel quite the same. From the highly sought-after Scafograf, to the earlier and more obscure 'snail dial' chronographs, Eberhard's designs remain consistently engaging, each with a personality that sets it apart from the their contemporaries. This is not a manufacturer defined by restraint or uniformity, but rather by a willingness to experiment and specialize. The piece that we have here is a very special chronograph dating to circa 1940. Along with a handful of other chronographs that pre-date the Extra-Fort model that debuted in 1942, this is colloquially known as a 'Pre Extra-Fort.' It features a massive for the era, 40mm case crafted out of solid yellow gold with a 'hinged' caseback affixed to the left profile, fixed 'wire' lugs, a crown at 3 o'clock, and what appears to be a pair of 'oval' pushers in the usual configuration. The top pusher functions as a monopusher for the chronograph while the lower pushers is a locking/stop mechanism in disguise. Even today, this very unique function is thanks to one of the highest-grade chronograph movements of the era: Eberhard's Cal. 16000. Based on the Valjoux Cal. 65, this massive 36mm movement was and is about as Eberhard as Eberhard gets, truly embodying the ethos of the brand. The condition of this piece is fantastic — wonderfully-preserved throughout for a watch of this age, let alone a precious metal chronograph. The case remains strong with correct finishing and shows normal wear, with no apparent damage or major wear. The silver dial inside is also excellent, with a gentle patina across the surface, nicely-preserved printed scales and indices, and a blued-steel 'syringe' handset tying it all together. Best of all, it is an Eberhard. A brand unknown to many, but with models such as the Scientigraf, Scafograf, and Contograf, tug hard at the hearts of so many collectors of vintage. And like many Eberhards, these were produced in small numbers and are seldom-seen on the open market. This sold gold example, quite simply, is something we have never seen and very well may never seen again.",Oliver & Clarke,2026-09-03,False
