title,brand,price,url,img,description,source,date,sold
Jaeger LeCoultre Futurmatic Or Rose 18k Circa 1960 Réf.E601 Cal.Jaeger-LeCoultre 497 -Circa 1960-,Other,9500,https://pascalkarpwatchesexpertise.com/products/jaeger-lecoultre-futurmatic-or-rose-18k-circa-1960-ref-e601-cal-jaeger-lecoultre-497-circa-1960,https://cdn.shopify.com/s/files/1/0521/0429/8688/files/2026_09_09_JAEGER_WEB-1copie.jpg?v=1789127093,"Élégante Jaeger-LeCoultre Futurematic des années 1960 en or rose 18 carats, référence E601. Ce modèle est équipé du calibre 497, un mouvement automatique à marteau (« bumper ») incluant un indicateur de réserve de marche à 9 heures, une petite seconde à 3 heures et une fonction stop-seconde. La couronne de remontage est située au dos du boîtier. La montre présente un cadran argenté d'origine avec des chiffres arabes appliqués et des aiguilles dauphines. Le boîtier en trois parties à fond vissé mesure 37 mm sur 44 mm (anses incluses) pour une épaisseur de 7 mm (verre compris). Le mouvement et le boîtier sont signés et numérotés. Article en parfait état de conservation et de fonctionnement, révisé dans notre atelier. 2 ans de garantie. Détails de la montre Type de montre Montre Sexe Homme/Unisexe Marque Jaeger LeCoultre Numéro de référence E601 Modèle Futurmatic Or Rose 18k Circa 1960 État Très bon Contenu livré Montre uniquement Mouvement Remontage automatique Boîtier Or rose Année de fabrication Circa 1960 Bracelet Couleur du bracelet Beige Type de fermoir Boucle ardillon Boîtier Étanche Non étanche Verre Plexiglas Chiffres du cadran Arabes Diamètre 37mm * 44mm Calibre Calibre/Rouages Jaeger-LeCoultre 497 Autres Petite seconde Oui Indication de la réserve de marche Oui État d'origine/Pièces originale Oui",Pascal Karp,2026-09-11,False
Audemars Piguet Millenary Automatique / Bracelet acier – 1999- Réf.15049ST.OO.1136ST.02  Cal.Automatique AP 2225 -1999-,Other,12500,https://pascalkarpwatchesexpertise.com/products/audemars-piguet-millenary-automatique-bracelet-acier-1999-ref-15049st-oo-1136st-02-cal-automatique-ap-2225-1999,https://cdn.shopify.com/s/files/1/0521/0429/8688/files/2026_09_07_AP_WEB-5772.jpg?v=1789048093,"Audemars Piguet Millenary en acier sur bracelet acier, référence 15049ST.OO.1136ST.02, équipée du calibre automatique AP 2225 avec fonctions seconde centrale et date rapide par guichet. Superbe cadran blanc à chiffres arabes émaillés bleus, aiguilles en acier bleui, boîtier ovale inversé en trois parties avec fond vissé et lunette lisse, verre saphir. Bracelet complet en acier inoxydable en excellent état. Dimensions : 38 mm (hors couronne) x 8,8 mm (verre inclus). Le mouvement et le boîtier sont signés et numérotés. Pièce dans un état de conservation et de fonctionnement parfait, révisée dans notre atelier et livrée avec ses certificats d'origine. Garantie de 2 ans. Détails de la montre Type de montre Montre Sexe Homme/Unisexe Marque Audemars Piguet Numéro de référence 15049ST.OO.1136ST.02 Modèle Millenary Automatique/Bracelet Acier -1999- État Très bon Contenu livré Montre avec papiers d'origine Mouvement Remontage automatique Boîtier Acier Année de fabrication 1999 Bracelet Couleur du bracelet Acier Type de fermoir Double plis Boîtier Étanche Étanche à l'origine Verre Verre saphir Chiffres du cadran Arabes Diamètre 38mm * 39mm Fonctions Date Oui Autres Seconde centrale Oui État d'origine/Pièces originale Oui",Pascal Karp,2026-09-10,False
Omega  Seamaster Planet Ocean 600M « Sochi 2014 » Édition Limitée -2016- Réf. 522.30.46.21.01.001 Cal.Co-Axial 8500 -2016-,Other,4200,https://pascalkarpwatchesexpertise.com/products/omega-seamaster-planet-ocean-600m-sochi-2014-edition-limitee-2016-ref-522-30-46-21-01-001-cal-co-axial-8500-2016,https://cdn.shopify.com/s/files/1/0521/0429/8688/files/2026_09_09_OMEGA_WEB-5968.jpg?v=1788963547,"Chronomètre Omega Seamaster Planet Ocean 600M « Sochi 2014 » édition limitée en acier inoxydable sur bracelet acier, référence 522.30.46.21.01.001, équipée du calibre Omega Co-Axial 8500, fonctions secondes au centre, date rapide en guichet à 3 h, mouvement à remontage automatique. Cadran noir mat, index et aiguillage luminescents, boîtier massif 3 pièces, fond et couronne vissés, lunette tournante unidirectionnelle en céramique noire mate, verre saphir, bracelet acier complet en parfait état. Étanchéité garantie jusqu'à 600 mètres. Dimensions : 45 mm (hors couronne), le mécanisme et la boîte sont signés et numérotés. Exemplaire livré avec ses certificats et son écrin d’origine, révisé dans notre atelier. 2 ans de garantie. Détails de la montre Type de montre Montre Sexe Homme/Unisexe Marque Omega Numéro de référence 522.30.46.21.01.001 Modèle Seamaster Planet Ocean 600M « Sochi 2014 » Édition Limitée -2016- État Très bon Contenu livré Montre avec coffret d'origine et papiers d'origine Mouvement Remontage automatique Boîtier Acier Année de fabrication 2016 Bracelet Couleur du bracelet Acier Type de fermoir Double plis Boîtier Étanche 60 ATM Verre Verre saphir Matériau de la lunette Acier Diamètre 45mm * 45mm Calibre Calibre/Rouages Omega Co-Axial 8500 Fonctions Date Oui Autres Seconde centrale Oui Chiffres lumineux Oui Aiguilles luminescentes Oui Chronomètre Oui Lunette tournante Oui Couronne vissée Oui État d'origine/Pièces originale Oui Index luminescents Oui",Pascal Karp,2026-09-09,False
Baume & Mercier Chronographe Triple Date Or rose Circa 1950 Réf.3902 Cal.Valjoux 72C -Circa 1950-,Other,6300,https://pascalkarpwatchesexpertise.com/products/baume-mercier-cxhronographe-triple-date-or-rose-circa-1950-ref-3902-cal-valjoux-72c-circa-1950,https://cdn.shopify.com/s/files/1/0521/0429/8688/files/2026_09_09_BAUME_MERCIER_WEB-5955_8762b862-2c5c-4693-a6a7-358ffdd09857.jpg?v=1788961563,"Élégant chronographe Baume & Mercier à calendrier complet en or rose 18 ct, réf. 3902, équipé du calibre Valjoux 72C : fonctions triple date, addition des heures et minutes (30 min), enclenchement du chrono par une roue à colonnes, mouvement à remontage manuel. Cadran original en excellent état, 2 registres, 3 compteurs, index appliqués et aiguilles glaive en or rose, indication de la date en chemin de fer, calendrier français. Boîtier et anses stylisées, lunette lisse rapportée, fond pressé, poussoirs carrés en or rose. Dimensions : 36 mm (hors couronne) x 43 mm (anses incluses) x 10 mm (verre compris). Le mécanisme et la boîte sont signés et numérotés. Article rare en excellent état de conservation et parfait état de fonctionnement. Révisé dans notre atelier, 2 ans de garantie. Détails de la montre Type de montre Montre Sexe Homme/Unisexe Marque Baume & Mercier Numéro de référence 3902 Modèle Chronographe Triple Date Or rose Circa 1950 État Très bon Contenu livré Montre uniquement Mouvement Remontage manuel Boîtier Or rose Année de fabrication Circa 1950 Bracelet Couleur du bracelet Beige Type de fermoir Boucle ardillon Boîtier Étanche Non étanche Verre Plexiglas Matériau de la lunette Or rose Diamètre 36mm * 10mm Calibre Calibre/Rouages Valjoux 72C Fonctions Chronographe Oui Affichage des jours Oui Affichage des mois Oui Date Oui Autres État d'origine/Pièces originale Oui",Pascal Karp,2026-09-09,False
Rolex Oyster Perpetual Explorer I -1980- Réf.1016 Cal.Rolex COSC 1570  -1980-,Other,21500,https://pascalkarpwatchesexpertise.com/products/rolex-oyster-perpetual-explorer-i-1980-ref-1016-cal-rolex-cosc-1570-1980,https://cdn.shopify.com/s/files/1/0521/0429/8688/files/2026_09_07_ROLEX_WEB-5794_copie.jpg?v=1788960929,"Rolex Oyster Perpetual Explorer I, référence 1016, chronomètre certifié en acier inoxydable monté sur bracelet acier. Elle est équipée du calibre Rolex 1570 à remontage automatique, fonctions trotteuse centrale et stop seconde. Le cadran « tritium » noir mat, chiffres arabes 3-6-9, aiguilles de type Mercedes. Boîtier et couronne vissés, verre bombé en acrylique, lunette lisse, bracelet Oyster complet (n° 78360) en excellent état. Dimensions : 36 mm (hors couronne). Le mécanisme et le boîtier sont signés et numérotés. Cette pièce est en parfait état de conservation et de fonctionnement, révisée en atelier. Garantie 2 ans. Livrée avec son écrin et ses certificats d'origine. Détails de la montre Type de montre Montre Sexe Homme/Unisexe Marque Rolex Numéro de référence 1016 Modèle Oyster Perpetual Explorer I -1980- État Très bon Contenu livré Montre avec coffret d'origine et papiers d'origine Mouvement Remontage automatique Boîtier Acier Année de fabrication 1980 Bracelet Couleur du bracelet Acier Type de fermoir Double plis Boîtier Verre Plexiglas Chiffres du cadran Arabes Matériau de la lunette Acier Diamètre 36mm * 36mm Calibre Calibre/Rouages 1570 Base Calibre Manufacture Rolex Autres Seconde centrale Oui Chiffres lumineux Oui Aiguilles luminescentes Oui Chronomètre Oui Couronne vissée Oui État d'origine/Pièces originale Oui",Pascal Karp,2026-09-09,False
IWC Big Pilot 43 Spitfire -2025- Réf.IW329701 Cal. IWC 82100 -2025-,Other,6800,https://pascalkarpwatchesexpertise.com/products/iwc-big-pilot-43-spitfire-2025-ref-iw329701-cal-iwc-82100-2025,https://cdn.shopify.com/s/files/1/0521/0429/8688/files/2026_09_07_IWC_2_WEB-5782.jpg?v=1788947345,"IWC Big Pilot 43 Spitfire, référence IW329701. Montre moderne de type aviateur en titane brossé, équipée du calibre de manufacture IWC 82100 à remontage automatique, fonctions seconde au centre et stop-seconde. Cadran noir mat avec chiffres arabes (format 24 h), aiguilles et index luminescents. Boîtier massif en deux parties avec fond vissé et gravé, couronne vissée surdimensionnée, verre saphir, étanche jusqu'à 100 mètres. Dimensions : 43 mm (hors couronne) x 14 mm (verre inclus). Mouvement et boîtier signés et numérotés. Article proche du neuf, livré avec son bracelet et sa boucle déployante d'origine, ainsi que sa carte de garantie. Détails de la montre Type de montre Montre Sexe Homme/Unisexe Marque IWC Numéro de référence IW329701 Modèle Big Pilot 43 Spitfire -2025- État Très bon Contenu livré Montre avec coffret d'origine et papiers d'origine Mouvement Remontage automatique Boîtier Titane Année de fabrication 2025 Bracelet Couleur du bracelet Brun Type de fermoir Double plis Boîtier Étanche 10 ATM Verre Verre saphir Chiffres du cadran Arabes Diamètre 43mm * 14mm Calibre Calibre/Rouages IWC 82100 Base Calibre Manufacture IWC Autres Seconde centrale Oui Aiguilles luminescentes Oui Chiffres lumineux Oui Couronne vissée Oui État d'origine/Pièces originale Oui Index luminescents Oui",Pascal Karp,2026-09-09,False
"Omega Military Royal Air Force ""Fat Arrow"" 37 mm -1953- Réf.2777-1 Cal.283  -1953-",Other,4600,https://pascalkarpwatchesexpertise.com/products/omega-military-royal-air-force-fat-arrow-37-mm-1953-ref-2777-1-cal-283-1953,https://cdn.shopify.com/s/files/1/0521/0429/8688/files/2025_12_23_OMEGA_WEB-2_1ee59500-c4aa-4785-a1af-f03c5a47b80d.jpg?v=1786531820,"Omega pilote Royal Air Force en acier inoxydable réf. CK 2777-1 SC équipée du calibre 283 grade chronomètre, fonction seconde au centre, mouvement à remontage manuel. Cadran tritium noir ""Fat Arrow"" chiffres arabes et aiguillage luminescents à l'origine. Boîtier massif non poli 2 pièces fond vissé, marquage militaire au dos. Dimensions : 37 mm (hors couronne) x 12.5 mm (verre compris), la boîte et le mécanisme sont signés et numérotés. 5900 exemplaires produits pour le ministère britannique de la Défense en 1953. Révisée et contrôlée dans notre atelier, 2 ans de garantie. Détails de la montre Type de montre Montre Sexe Homme/Unisexe Marque Omega Numéro de référence 2777-1 Modèle Military Royal Air Force ""Fat Arrow"" 37 mm -1953- État Bon Contenu livré Montre uniquement Mouvement Remontage manuel Boîtier Acier Année de fabrication 1953 Bracelet Couleur du bracelet Noir Type de fermoir Boucle ardillon Boîtier Étanche Non étanche Verre Plexiglas Chiffres du cadran Arabes Matériau de la lunette Acier Diamètre 37mm * 12mm Calibre Calibre/Rouages 283 Base Calibre Omega Autres Seconde centrale Oui État d'origine/Pièces originale Oui",Pascal Karp,2026-09-08,False
Omega Chronographe Seamaster -1967- Réf.145.006-66 Cal.321 -1967-,Other,5800,https://pascalkarpwatchesexpertise.com/products/omega-chronographe-seamaster-1967-ref-145-006-66-cal-321-1967,https://cdn.shopify.com/s/files/1/0521/0429/8688/files/2026_09_07_OMEGA_WEB-5809.jpg?v=1788870639,"Chronographe 3 compteurs Omega Seamaster en acier inoxydable, réf. 145.016-68, équipé du calibre 321, fonctions addition des heures et minutes (30 min), enclenchement du chronographe par une roue à colonnes, mouvement à remontage manuel. Cadran noir mat en excellent état, échelle tachymétrique sur le rehaut. Boîtier coussin 2 pièces, fond vissé, poussoirs ronds, dimensions : 39 mm (hors couronne) x 43 mm (anses incluses). Le mécanisme et la boîte sont signés et numérotés. Article en très bon état de conservation et de fonctionnement, révisé dans notre atelier. Garantie de 2 ans. Détails de la montre Type de montre Montre Sexe Homme/Unisexe Marque Omega Numéro de référence 145.006-66 Modèle Chronographe Seamaster -1967- État Excellent Contenu livré Montre uniquement Mouvement Remontage manuel Boîtier Acier Année de fabrication 1967 Bracelet Couleur du bracelet Noir Type de fermoir Boucle ardillon Boîtier Étanche Non étanche Verre Plexiglas Diamètre 39mm * 43mm Calibre Calibre/Rouages 321 Fonctions Chronographe Oui Tachymètre Oui Autres État d'origine/Pièces originale Oui",Pascal Karp,2026-09-08,False
Angelus Chronographe Acier Circa 1940 Réf.Na Cal.215 -Circa 1940-,Other,3400,https://pascalkarpwatchesexpertise.com/products/angelus-chronographe-acier-circa-1940-ref-na-cal-215-circa-1940,https://cdn.shopify.com/s/files/1/0521/0429/8688/files/2026_08_31_ANGELUS_WEB-5518.jpg?v=1788357097,"Rare chronographe Angelus à deux compteurs en acier inoxydable. Calibre à remontage manuel Angelus 215, doté d'une roue à colonnes, d'un compteur 45 minutes et d'un totalisateur d'heures. Cadran noir avec inscriptions dorées, chiffres arabes et échelle tachymétrique. Boîtier en trois parties, fond pressé et lunette lisse. Dimensions : 35 mm (39,5 mm avec couronne et poussoirs) x 40 mm (anses incluses). Mouvement et boîte signés et numérotés. La montre est en bon état de conservation et en parfait état de fonctionnement. Révisée en atelier, elle est vendue avec une garantie de 2 ans. Détails de la montre Type de montre Montre Sexe Homme/Unisexe Marque Angelus Numéro de référence Na Modèle Chronographe Acier Circa 1940 État Bon Contenu livré Montre uniquement Mouvement Remontage manuel Boîtier Acier Année de fabrication Circa 1940 Bracelet Couleur du bracelet Beige Type de fermoir Boucle ardillon Boîtier Étanche Non étanche Verre Plexiglas Chiffres du cadran Arabes Diamètre 35mm * 40mm Calibre Calibre/Rouages 215 Base Calibre Angelus Fonctions Chronographe Oui Autres État d'origine/Pièces originale Oui",Pascal Karp,2026-09-02,False
"Patek Philippe Calatrava Automatique ""Backwinder"" Or Blanc 18K Circa 1975  Réf.3563 Cal.353T -Circa 1975-",Other,15300,https://pascalkarpwatchesexpertise.com/products/patek-philippe-calatrava-automatique-backwinder-or-blanc-18k-circa-1975-ref-3563-cal-353t-circa-1975,https://cdn.shopify.com/s/files/1/0521/0429/8688/files/2026_09_01_PATEK_WEB-5623copie_724e0123-fd28-4936-ba5f-4ea534489f55.jpg?v=1788275908,"Élégante Patek Philippe type Calatrava en or blanc 18 ct, référence 3563. Elle est équipée du calibre automatique à rotor périphérique 353T, fonction seconde centrale ; la couronne de remontoir est intégrée à plat sur le fond de la boîte « backwinder ». Cadran « Sigma » ardoise, index diamants et aiguillage en or blanc, boîtier trois parties avec fond vissé et verre minéral, lunette décorée « Clous de Paris ». Dimensions : 35 mm (hors couronne) x 8 mm (verre inclus). Mécanisme et boîtier signés et numérotés, boucle ardillon d'origine en or blanc 18 ct. État excellent, révisée et contrôlée. Garantie de 2 ans. Détails de la montre Type de montre Montre Sexe Homme/Unisexe Marque Patek Philippe Numéro de référence 3563 Modèle Calatrava Automatique ""Backwinder"" Or Blanc 18K Circa 1975 État Très bon Contenu livré Montre uniquement Mouvement Remontage automatique Boîtier Or blanc Année de fabrication Circa 1975 Bracelet Couleur du bracelet Noir Type de fermoir Boucle ardillon Boîtier Étanche Non étanche Verre Verre minéral Diamètre 35mm * 40mm Calibre Calibre/Rouages 353 Base Calibre Patek Philippe Autres Seconde centrale Oui Bandes de Genève Oui État d'origine/Pièces originale Oui",Pascal Karp,2026-09-01,False
