title,brand,price,url,img,description,source,date,sold
ROLEX DATEJUST 36 REF. 126234 BLUE MOTIF DIAL STAINLESS STEEL FULL SET,Other,13900,https://romainrea.com/en-int/products/rolex-datejust-36-ref-126234-blue-motif-dial-stainless-steel-full-set,https://cdn.shopify.com/s/files/1/0923/2685/4982/files/DSC_0389_007f3572-c21e-450e-bb42-62b3b08d9aae.jpg?v=1789228547,Très jolie montre bracelet Rolex Datejust en acier sur bracelet Jubilé en acier avec boucle déployante en acier signée. Boîtier rond. Couronne et fond vissés. Lunette cannelée en or blanc. Cadran bleu avec dateur à 3 heures. Aiguilles bâtons. Trotteuse centrale. Mouvement automatique certifié chronomètre calibre 3235. Diamètre: 36 mm. Vendue avec son écrin et ses papiers d'origine.,Romain Réa,2026-09-12,False
PATEK PHILIPPE WOLRD TIME CHRONOGRAPH FLYBACK REF. 5935A-001 STAINLESS STEEL,Other,49800,https://romainrea.com/en-int/products/patek-philippe-wolrd-time-chronograph-flyback-ref-5935a-001-stainless-steel,https://cdn.shopify.com/s/files/1/0923/2685/4982/files/6AED9B67-CF6D-4B88-9CCD-5ABA97C0A40C.jpg?v=1760629690,"Magnifique chronographe bracelet Patek Philippe World Time en acier sur bracelet cuir avec boucle déployante en acier signée. Boîtier rond, fond saphir. Poussoirs rectangle. Très beau cadran Opalin doré or rose avec indication des villes du monde. Index et aiguilles luminescents. Totalisateur 30mn à 6 heures. Mouvement automatique avec fonction Flyback calibre CH 28-520 HU, poinçon PP. Diametre: 41 mm. Avec son écrin et ses papiers d’origine.",Romain Réa,2026-09-11,False
ROLEX DATEJUST II WIMBLEDON REF. 116333 STAINLESS STEEL AND GOLD FULL SET,Other,13500,https://romainrea.com/en-int/products/rolex-datejust-ii-wimbledon-ref-116333-stainless-steel-and-gold-full-set,https://cdn.shopify.com/s/files/1/0923/2685/4982/files/DSC_0356_fb77739e-715a-4a30-902d-10ad2c7d18f7.jpg?v=1789126577,"Très belle montre bracelet Rolex Datejust II en or et acier sur bracelet Oyster en or et acier avec boucle déployante signée. Boîtier rond. Couronne et fond vissés. Lunette en or jaune cannelée. Cadran gris souris avec chiffres romains appliqués. Dateur par guichet à 3 heures. Aiguilles or. Trotteuse centrale. Mouvement automatique certifié chronométre calibre 3136. Diamètre: 41 mm. Vendue avec son écrin et ses papiers d'origine. Parfait état, provenant du 1er propriétaire.",Romain Réa,2026-09-11,False
A. LANGE & SÖHNE SAXONIA AUTOMATIK REF. 315.033 PINK GOLD FULL SET,Other,22800,https://romainrea.com/en-int/products/a-lange-sohne-saxonia-automatik-ref-315-033-pink-gold-full-set,https://cdn.shopify.com/s/files/1/0923/2685/4982/files/DSC_0274_eb50e517-10f8-43be-a340-8113ec0e307d.jpg?v=1788970089,"Superbe et rare montre bracelet A. Lange & Söhne Saxonia en or rose sur bracelet croco avec boucle ardillon en or rose signée. Boîtier rond, fond saphir. Poussoir à 10h pour le réglage de la date. Très beau cadran gris anthracite avec index bâton appliqués. Grande date par guichet à midi et petite trotteuse à 6 heures. Aiguilles or. Mouvement mécanique calibre L921.4. Diamètre: 37,5 mm. Vendue avec son écrin et ses papiers d'origine. Etat parfait, provenant du 1er propriétaire.",Romain Réa,2026-09-09,False
JAEGER LECOULTRE ULTRA THIN REF. 145.8.79S STAINLESS STEEL FULL SET,Other,4800,https://romainrea.com/en-int/products/jaeger-lecoultre-ultra-thin-ref-145-8-79s-stainless-steel-full-set,https://cdn.shopify.com/s/files/1/0923/2685/4982/files/DSC_0225_d43055c0-7082-4bc2-a722-9854994c83dd.jpg?v=1788967948,Très élégante montre bracelet Jaeger Lecoultre Ultra Thin en acier sur bracelet croco avec boucle ardillon en acier signée. Boîtier rond. Fond saphir. Cadran argent avec index épis et chiffres arabes appliqués. Aiguilles Dauphine. Mouvement mécanique calibre 849. Diamètre: 34 mm. Vendue avec son écrin et ses papiers d'origine. Parfait état. Un seul propriétaire.,Romain Réa,2026-09-09,False
JAEGER LECOULTRE MASTER COMPRESSOR GEOGRAPHIC REF.  146.8.83/1 STAINLESS STEEL FULL SET,Other,7900,https://romainrea.com/en-int/products/jaeger-lecoultre-master-compressor-geographic-ref-146-8-83-1-stainless-steel-full-set,https://cdn.shopify.com/s/files/1/0923/2685/4982/files/DSC_0316_d5977d96-af4d-45f0-87b4-300f96adfb21.jpg?v=1788963830,"Très belle montre bracelet Jaeger Lecoultre Master Compressor Geographic en acier sur bracelet croco avec boucle déployante en acier signée. Boîtier rond, fond vissé. Cadran noir avec dateur par aiguille. Gmt entre 6 et 8h et indication des villes du monde par guichet à 6h. Mouvement automatique calibre 923. Diamètre: 41, 5 mm. Vendue avec son écrin et ses papiers d'origine. Un seul propriétaire.",Romain Réa,2026-09-09,False
A. LANGE & SÖHNE LANGE 1 REF. 101.032 PINK GOLD FULL SET,Other,28900,https://romainrea.com/en-int/products/a-lange-sohne-lange-1-ref-101-032-pink-gold-full-set,https://cdn.shopify.com/s/files/1/0923/2685/4982/files/DSC_0240_e4e2168f-3a5f-4083-8e89-dfd1730a3427.jpg?v=1788949888,"Magnifique montre bracelet A. Lange & Söhne Lang 1 en or rose sur bracelet croco avec boucle ardillon en or rose signée. Boîtier rond, fond saphir. Poussoir de réglage de la date à 11h. Cadran argent avec lecture des heures et minutes décentrée. Grande date par guichet à 13h. Indication de la réserve de marche de 72h par aiguille. Petite trotteuse à 5h. Mouvement mécanique calibre L901.0. Diamètre: 38,5 mm. Vendue avec son écrin et ses papiers d'origine. Un seul propriétaire.",Romain Réa,2026-09-09,False
BREITLING NAVITIMER REF. A2332212 STAINLESS STEEL FULL SET,Other,4990,https://romainrea.com/en-int/products/breitling-navitimer-ref-a2332212-stainless-steel-full-set,https://cdn.shopify.com/s/files/1/0923/2685/4982/files/DSC_0341_22ec85c2-5d12-404c-a240-7251b2e82e58.jpg?v=1788874938,"Très beau chronographe bracelet de pilote Breitling Navitimer en acier sur son magnifique bracelet Pilot en acier avec boucle déployante en acier signée. Boîtier rond. Fond vissé. Poussoirs rond. Lunette tournante bidirectionnelle avec règle à calcul. Cadran noir avec 3 compteurs argent. Totalisateur 30 mn à 3h, des heures à 6h et petite trotteuse à 9h. Dateur par guichet entre 4 et 5 heures. Mouvement automatique calibre ETA 7753. Diamètre: 42 mm. Vendue avec son écrin et ses papiers d'origine. Un seul propriétaire.",Romain Réa,2026-09-08,False
ZENITH CHRONOMASTER OPEN REF. 03.0240.4021 STAINLESS STEEL WITH BOX AND PAPERS,Other,4890,https://romainrea.com/en-int/products/zenith-chronomaster-open-ref-03-0240-4021-stainless-steel-with-box,https://cdn.shopify.com/s/files/1/0923/2685/4982/files/DSC_0262_7f1729c3-cc3f-44c9-9683-418aede58e73.jpg?v=1788867640,"Super chronographe bracelet Zenith Chronomaster Open en acier sur bracelet croco avec boucle déployante en acier signée. Boîtier rond, fond saphir. Lunette en acier à double godrons. Très beau cadran argent guilloché avec un compteur. Totalisateur 30mn à 3 heures. Indication de la réserve de marche par aiguille entre 5 et 7h. Ouverture du cadran laissant apercevoir le mouvement à 9 et10h. Mouvement automatique calibre El Primero. Diamètre: 40 mm. Vendue avec son écrin, son booklet et sa carte de garantie. Montre état neuf provenant du 1er propriétaire.",Romain Réa,2026-09-08,False
PANERAI LUMINOR POWER RESERVE REF. PAM00241 STAINLESS STEEL FULL SET,Other,4800,https://romainrea.com/en-int/products/panerai-luminor-power-reserve-ref-pam00241-stainless-steel-full-set,https://cdn.shopify.com/s/files/1/0923/2685/4982/files/DSC_0301_52ef28ab-18b8-48c8-aca5-6e96b6292c00.jpg?v=1788863764,"Très jolie montre bracelet de plongée Panerai Luminor en acier sur bracelet croco avec boucle déployante en acier signée. Boîtier coussin. Fond vissé. Très beau cadran noir guilloché avec dateur par guichet à 3 heures, indication de la réserve de marche de 40h à 5h et petite trotteuse à 9h. Index, chiffres arabes et aiguilles luminescents. Mouvement automatique. Diamètre: 40 mm. Ecrin, papiers et outils d'origine. Montre état neuf provenant du 1er propriétaire. * Série limitée à 800 exemplaires.",Romain Réa,2026-09-08,False
ZENITH GRANDE PORT ROYAL OPEN REF. 03.0550.4021 STAINLESS STEEL FULL SET,Other,3990,https://romainrea.com/en-int/products/zenith-grande-port-royal-open-ref-03-0550-4021-stainless-steel-full-set,https://cdn.shopify.com/s/files/1/0923/2685/4982/files/DSC_0286_ffc331d8-6843-461c-a50a-0abbff2d3377.jpg?v=1788862044,Très beau et grand chronographe bracelet Zenith Port Royal Open en acier sur bracelet croco avec boucle déployante en acier signée. Boîtier rectangle curvex. Fond saphir. Poussoirs rectangle. Cadran guilloché avec un compteur. Totalisateur 30 mn à 3h et ouverture entre 9 et 10h laissant apercevoir le mouvement. Chiffres arabes appliqués. Mouvement automatique calibre El Primero. Dimensions: 36 x 51 mm. Vendue avec son écrin et ses papiers d'origine. Montre état neuf provenant du 1er propriétaire.,Romain Réa,2026-09-08,False
