title,brand,price,url,img,description,source,sold,priceOnRequest
Heuer Camaro Exotic Vintage Chronograph 7220S,Heuer,7500,https://www.shucktheoyster.com/portfolio/heuer-camaro-exotic-vintage-chronograph-7220s/,https://shucktheoyster.b-cdn.net/wp-content/uploads/2026/05/38_003-1.jpg,"DIAL: Silver sunburst tritium dial, steel tritium hands · CASE: Stainless steel watch case with screwdown caseback, serial: 192014 · DIAMETER: 37mm · MOVEMENT: High grade, manual wind movement, cal. Valjoux 72 · STRAP: New, Italian handmade, calf leather racing strap · CONDITION: Overall, the watch is in excellent condition. Dial and hands are in excellent condition, both showing original tritium luminous that has aged to a homogenous orange colour. The watch case appears to be unpolished. The watch was just serviced by our watchmaker, thus in excellent running condition. (300°; +2s/d). The watch was acquired from the family of the first owner, in Germany.",Shuck the Oyster,False,False
Blancpain 50 Fathoms Rotomatic Vintage Diver,Blancpain,29500,https://www.shucktheoyster.com/portfolio/blancpain-50-fathoms-rotomatic-vintage-diver-2/,https://shucktheoyster.b-cdn.net/wp-content/uploads/2026/05/28_008-1-1.jpg,"DIAL: Black radium dial, white radium hands · CASE: Stainless steel watch case with screw down caseback, serial: 889 · DIAMETER: 40mm · MOVEMENT: High grade, automatic calibre AS1361N · STRAP: New, handmade Italian, calf leather strap · CONDITION: Overall, the watch is in very good condition. Dial and hands are in very good condition, both showing original radium luminous, that has aged to a beautiful colour. The watch case appears to be in very good condition, still very sharp and unpolished. The bidirectional bakelite bezel is in very good condition. The watch was just serviced again by our watchmaker, thus in excellent running condition. (290°; +2s/d). The watch comes from a collector in Italy.",Shuck the Oyster,False,False
Breitling Chrono-Matic Vintage Chronograph 2110,Breitling,2950,https://www.shucktheoyster.com/portfolio/breitling-chrono-matic-vintage-chronograph-2110-11/,https://shucktheoyster.b-cdn.net/wp-content/uploads/2026/05/8_007-1.jpg,"DIAL: Original, black exotic dial with white subdials, orange tritium hands · CASE: Stainless steel watch case with screwdown caseback, bi-directional hours/minutes bezel, serial: 1332884 · DIAMETER: 39mm · MOVEMENT: Automatic movement, calibre 11, 17 jewels · STRAP: New, handmade Italian, black pigskin leather strap · CONDITION: Overall the watch is in excellent condition. Dial and hands are in excellent condition, with matching, original tritium luminous. The case appears to be unpolished in very good condition. The chronograph is in full working order, starting, stopping and resetting to ‘0’. The watch was just serviced by our watchmaker, thus in excellent running condition, keeping accurate time. (+280; +4s/d). The watch was acquired from the son of the first owner in Bavaria.",Shuck the Oyster,False,False
Bulova Accutron Spaceview Vintage Watch,Bulova,1650,https://www.shucktheoyster.com/portfolio/bulova-accutron-spaceview-vintage-watch-6/,https://shucktheoyster.b-cdn.net/wp-content/uploads/2026/05/10_007-1.jpg,"DIAL: See through dial, white tritium hands · CASE: Stainless steel case with screwdown caseback, serial: 3-227292 N1 · DIAMETER: 35mm · MOVEMENT: Bulova Accutron calibre · STRAP: Rare original Bulova strap with Accutron buckle. · CONDITION: Overall, the watch is in near mint condition. The case remains in unpolished condition. Original crystal. The battery was just exchanged. The watch is running and keeps accurate time. The watch comes from the family of the first owner in Rome, Italy.",Shuck the Oyster,False,False
Eterna Clamshell Vintage Watch,Other,1900,https://www.shucktheoyster.com/portfolio/eterna-clamshell-vintage-watch/,https://shucktheoyster.b-cdn.net/wp-content/uploads/2026/05/4_005-1.jpg,"DIAL: Black gilt dial, gold feuille hands · CASE: Stainless steel watch case with screw-in caseback · DIAMETER: 22,5x39mm · MOVEMENT: High grade, manual wind Eterna calibre · BRACELET: Vintage stainless steel Bonklip bracelet · CONDITION: Overall, the watch is in excellent condition. Dial and hands are in excellent condition. The watch case appears to be unpolished, in overall excellent, superharp condition. The watch is quite large and has a great presence on the wrist. It is serviced, running strong, showing a high amplitude, keeping accurate time. (295°; +2s/d). The watch comes from a collector in Cologne, Germany. A real gem!",Shuck the Oyster,False,False
Heuer Carrera Dato 45 Vintage Chronograph 3147N 1st Execution,Heuer,9850,https://www.shucktheoyster.com/portfolio/heuer-carrera-dato-45-vintage-chronograph-3147n-1st-execution-2/,https://shucktheoyster.b-cdn.net/wp-content/uploads/2026/05/30_008-1.jpg,"DIAL: Matte black tritium dial, steel hands · CASE: Stainless steel watch case with screwdown caseback, serial: 71828 · DIAMETER: 35,5mm · MOVEMENT: Manual wind, Landeron 189 calibre · STRAP: New, Italian handmade, calf leather racing strap · CONDITION: Overall, the watch is in excellent condition. The dial appears to be flawless. The tritium luminous on dial and hands is fully original and all in place. The watch case is in very good condition. The watch was just serviced, thus in very good running condition, keeping accurate time. (300°; +2s/d). The watch was acquired from a collector in Frankfurt, Germany. A very rare watch in investment grade quality.",Shuck the Oyster,False,False
Heuer Carrera Vintage Chronograph 2447D 'GALLI',Heuer,10500,https://www.shucktheoyster.com/portfolio/heuer-carrera-vintage-chronograph-2447d-galli/,https://shucktheoyster.b-cdn.net/wp-content/uploads/2026/05/31_005.jpg,"DIAL: White tritium dial, steel tritium hands · CASE: Stainless steel watch case with screwdown caseback, serial: 77485 · DIAMETER: 36mm · MOVEMENT: Manual wind, high grade, Valjoux 72calibre · STRAP: Original GF bracelet, stamped 1/66 · CONDITION: Overall, the watch is in excellent condition. The original dial is in very good condition. It shows a homogenous patina. Dial and hands show original radium. The watch case appears to be in excellent condition, still very sharp. The watch was just serviced by our watchmaker, thus in excellent running condition, keeping accurate time (305°; +6s/d). The chronograph is working properly. This is an outstanding chronograph, original in all parts &#8211; a very rare configuration of decimal dial co signed GALLI. The watch comes from a collector in Italy.",Shuck the Oyster,False,False
IWC Pocket Watch 3201 BETA 21,IWC,5900,https://www.shucktheoyster.com/portfolio/iwc-pocket-watch-3201-beta-21/,https://shucktheoyster.b-cdn.net/wp-content/uploads/2026/05/20_012-1.jpg,"DIAL: Silver, two tone dial, steel hands · CASE: Stainless steel watch case with screw-in caseback, serial: 1982550 · DIAMETER: 49mm · MOVEMENT: High grade, quartz calibre 3168 &#8211; BETA 21 · STRAP: Overall, the watch is in excellent condition. Dial and hands are in excellent condition. The watch case appears to be unpolished, in excellent condition, too. The watch comes from a collector in Italy. This is without any doubt an investment grade collectors piece, special, because of its sheer rarity.",Shuck the Oyster,False,False
Heuer Pocket Chronograph,Heuer,2500,https://www.shucktheoyster.com/portfolio/heuer-pocket-chronograph-2/,https://shucktheoyster.b-cdn.net/wp-content/uploads/2026/05/19_002-1.jpg,"DIAL: Original silvered two tone dial, blued feuille hands · CASE: Stainless steel case with snap-in caseback, serial: 147900 · DIAMETER: 49mm · MOVEMENT: Manual wind calibre, serial: 503819 · STRAP: Overall the watch is in excellent condition. The original dial is in excellent condition. The case remains in unpolished condition. The watch was just serviced by our watchmaker, thus in very good running condition, keeping very accurate time. (270°, +4s/d). The watch was acquired from the family of the first owner in Germany. An outstanding, rare and beautiful pocket watch.",Shuck the Oyster,False,False
Omega 2398-1 Vintage Watch,Omega,1500,https://www.shucktheoyster.com/portfolio/omega-2398-1-vintage-watch/,https://shucktheoyster.b-cdn.net/wp-content/uploads/2026/05/21_003-1.jpg,"DIAL: Silvered radium dial, steel dauphine hands · CASE: Stainless steel watch case with snap-in caseback · DIAMETER: 35mm · MOVEMENT: Automatic movement, cal. 30.10 RA, serial: 10626167 · STRAP: New, Italian handmade, black pigskin leather strap · CONDITION: Overall the watch is in very good condition. Dial and hands are in very good condition. The unpolished watch case is in very good condition, showing a deep hallmark. The movement is in excellent condition. The watch was just serviced by our watchmaker, runs with an amplitude over 275°, thus is in very good running condition, keeping very accurate time (+4s/d). The watch comes from a private estate in Hungary, fresh to the market. Truly beautiful timepiece in excellent condition.",Shuck the Oyster,False,False
