title,brand,price,url,img,description,source,date,sold
Stainless steel OMEGA Constellation automatic chronometer wristwatch,Omega,4500,https://somlo.com/products/stainless-steel-omega-constellation-automatic-chronometer-wristwatch,https://cdn.shopify.com/s/files/1/0161/6687/9332/files/O.3478_1.jpg?v=1778665271,"The OMEGA Constellation was launched in 1952, after the release of their first limited addition chronometer, for their 100th anniversary. Due to it's popularity, OMEGA unveiled the 'Constellation', featuring a medallion of the Geneva Observatory surrounded by eight stars, representing the brand’s achievements over the past 20 years. The first Omega Constellation models were manufactured with bumper automatic movements, pie-pan shaped dials, diamond shaped hour markers and Dauphine shaped hands, which were used until the 1960's. By the late 1960's, the pie-pan dial slowly gave away to more simple & flat dials, including cases in different shapes and sizes. Brand: OMEGA Made: - Model: Constellation Reference: - Calibre: 551 Movement: Automatic Material: Stainless steel Features/complications: Officially Certified Chronometer Dial: Brushed dial with printed outer minute track featuring baton hour indices with black inserts with dauphine hands and centre seconds Case dimensions: 34 mm Bracelet/strap: Leather strap Accessories: - SKU: 03478",Somlo,2026-05-13,False
Stainless steel OMEGA Seamaster automatic wristwatch. Made 1962,Omega,2800,https://somlo.com/products/stainless-steel-omega-seamaster-automatic-wristwatch-made-1964,https://cdn.shopify.com/s/files/1/0161/6687/9332/files/O.3469_1.jpg?v=1778602438,"The Seamaster is the longest running product line still produced by OMEGA today. It was introduced in 1948, and was loosely based upon designs made for the British Royal Navy towards the end of World War II. Brand: OMEGA Made: 1962 Model: Seamaster Reference: - Calibre: 503 Movement: Automatic Material: Stainless Steel Features/complications: - Dial: Silvered dial featuring applied mirror polished baton hour indices and Dauphine hands with centre seconds Case dimensions: 34mm Bracelet/strap: Integrated steel bracelet Accessories: - SKU: 03469",Somlo,2026-05-13,False
Stainless steel OMEGA Seamaster automatic wristwatch with date. Made 1973,Omega,2800,https://somlo.com/products/stainless-steel-omega-seamaster-automatic-wristwatch-with-date-made-1973,https://cdn.shopify.com/s/files/1/0161/6687/9332/files/O.3467_1_40ecb608-05f9-47e8-831a-e02f761b3e5b.jpg?v=1778601317,"The Seamaster is the longest running product line still produced by OMEGA today. It was introduced in 1948, and was loosely based upon designs made for the British Royal Navy towards the end of World War II. Brand: OMEGA Made: 1973 Model: Seamaster Reference: - Calibre: 1012 Movement: Automatic Material: Stainless Steel Features/complications: Date aperture at 3 o'clock Dial: Silvered dial featuring applied mirror polished baton hour indices and Dauphine hands with d ate aperture at 3 o'clock Case dimensions: 34 mm Bracelet/strap: Integrated steel bracelet Accessories: - SKU: 03467",Somlo,2026-05-13,False
Stainless steel OMEGA British Military wristwatch. Made 1953,Omega,9500,https://somlo.com/products/stainless-steel-omega-british-military-wristwatch-made-1954,https://cdn.shopify.com/s/files/1/0161/6687/9332/files/O.3463_1.jpg?v=1778494063,"During World War II, waterproof Omega wristwatches played an important role in the British military. These watches were specially designed to withstand the harsh conditions of war, and were worn by soldiers, pilots, and sailors alike. They were also highly accurate and reliable and were equipped with precision movements that kept time accurately even in the most extreme conditions. They were able to withstand shock and vibration without losing their accuracy. Today, these watches are highly sought after by collectors and military history enthusiasts, and are considered to be among the most iconic and historically significant military watches ever produced. The ‘dirty dozen’ watches were manufactured by 12 Swiss watch companies, including Buren, Cyma, Eterna, Grana, Jaeger-LeCoultre, Lemania, Longines, IWC, Omega, Record, Timor, and Vertex. The dial features a thin 'Broad-arrow' , a symbol most notably used in the UK to mark government property, later on becoming broadly associated with the department of war and the M.O.D. These watches had to meet strict requirements set out by the MoD. Brand: OMEGA Made: 1953 Model: Military Reference: CK 2777 Calibre: 283 Movement: Manual Material: Stainless steel Features/complications: - Dial: Black dial with white outer minute track featuring Arabic luminous numerals with center seconds and sword hands. Case Dimensions: 36mm Bracelet/Strap: NATO Strap Accessories: - SKU: 03463",Somlo,2026-05-13,False
Stainless steel OMEGA Chronograph wristwatch. Made 1965,Omega,6600,https://somlo.com/products/stainless-steel-omega-chronograph-wristwatch-made-1965,https://cdn.shopify.com/s/files/1/0161/6687/9332/files/O.3428_1_3f299df5-61bf-42ea-8b42-708e94f76556.jpg?v=1778494013,"The Calibre 320, a column wheel chronograph movement developed by Lemania, stands as one of the most technically robust and mechanically refined chronographs of the 20th century. Often overshadowed by its more famous counterpart, the Calibre 321, the 320 was produced during a period when mechanical precision and build quality were paramount. Extensively utilized by Omega throughout the 1960s, it remains a benchmark for reliability and movement architecture, featuring a compact layout and durable chronograph mechanism that exemplify high horological standards of its era. Brand: OMEGA Made: 1965 Model: Chronograph Reference: 102.009 Calibre: 320 Movement: Manual Material : Stainless steel Features/complications: Chronograph Dial: D ial with outer minute track and Tachymetre scale featuring subsidiary dials for the constant seconds , 12 hour and 30 minute registers featuring applied yellow gold arrow hour markers and hands Case dimensions: 33mm Bracelet/strap: Leather strap Accessories: - SKU: 03428",Somlo,2026-05-13,False
18ct yellow gold OMEGA Constellation automatic chronometer wristwatch. Made 1957,Omega,8500,https://somlo.com/products/18ct-yellow-gold-omega-constellation-automatic-chronometer-wristwatch-made-1966,https://cdn.shopify.com/s/files/1/0161/6687/9332/files/O3473_1.jpg?v=1778080072,"The OMEGA Constellation was launched in 1952, after the release of their first limited addition chronometer, for their 100th anniversary. Due to it's popularity, OMEGA unveiled the 'Constellation', featuring a medallion of the Geneva Observatory surrounded by eight stars, representing the brand’s achievements over the past 20 years. The first Omega Constellation models were manufactured with bumper automatic movements, pie-pan shaped dials, diamond shaped hour markers and Dauphine shaped hands, which were used until the 1960's. By the late 1960's, the pie-pan dial slowly gave away to more simple & flat dials, including cases in different shapes and sizes. Brand: OMEGA Made: 1957 Model: Constellation Reference: - Calibre: 505 Movement: Automatic Material: 18ct yellow gold Features/complications: Officially Certified Chronometer Dial: 18ct yellow gold pie-pan dial with printed inner minute track featuring mirror polished arrow hour indices with dauphine hands and centre seconds Case dimensions: 34 mm Bracelet/strap: Leather strap Accessories: - SKU: 03473",Somlo,2026-05-06,False
Steel & 14ct gold capped OMEGA Constellation,Omega,3500,https://somlo.com/products/steel-14ct-gold-capped-omega-constellation,https://cdn.shopify.com/s/files/1/0161/6687/9332/files/O.3461_1.jpg?v=1778079300,"The OMEGA Constellation was launched in 1952, after the release of their first limited addition chronometer, for their 100th anniversary. Due to it's popularity, OMEGA unveiled the 'Constellation', featuring a medallion of the Geneva Observatory surrounded by eight stars, representing the brand’s achievements over the past 20 years. The first Omega Constellation models were manufactured with bumper automatic movements, pie-pan shaped dials, diamond shaped hour markers and Dauphine shaped hands, which were used until the 1960's. By the late 1960's, the pie-pan dial slowly gave away to more simple & flat dials, including cases in different shapes and sizes. Brand: OMEGA Made: 1967 Model: Constellation Reference: - Calibre: 564 Movement: Automatic Material: Steel & 14ct gold capped Features/complications: Officially Certified Chronometer Dial: Silvered dial with printed outer minute track featuring mirror polished baton hour indices and baton hands and date window at 3 o'clock Case dimensions: 35 mm Bracelet/strap: Steel & 14ct capped bracelet Accessories: - SKU: 03461",Somlo,2026-05-06,False
18ct white gold Piaget bracelet watch ref. 98175 with turquoise/pavé diamond set dial and diamond set bezel. Made 1970,Piaget,20000,https://somlo.com/products/18ct-white-gold-piaget-bracelet-watch-ref-98175-with-turquoise-pave-diamond-set-dial-and-diamond-set-bezel-made-1970,https://cdn.shopify.com/s/files/1/0161/6687/9332/files/G3525_1.jpg?v=1778068258,"Although best known for their haute joaillerie timepieces, the history of the House of Piaget lies in fine watchmaking with an emphasis on ultra-thin mechanical movements, the most famous being the Calibre 9P. Released in 1957, the 9P was only 2mm thick and allowed Piaget to create watches where the size of the movement was negligible and the focus could be solely on design. This was most famously the demonstrated in the 21st Century collection from 1969 which included a host of integrated bracelet watches, elaborate precious metal cuff watches and pieces with wafer thin stone dials. These stone dials became a signature of Piaget and were of unparalleled beauty and quality. Brand: Piaget Made: 1970 Model: Bracelet Reference: 98175 Calibre: 9P2 Movement: Manual Material: 18ct white gold Features/complications: Diamond set bezel Dial: Turquoise and pavé diamond dial with white gold dauphine hands Case dimensions: 24 x 27mm Bracelet/strap: Woven 18ct white gold bracelet approx. 178mm in length Accessories: N/A SKU: 3525",Somlo,2026-05-06,False
18ct white gold Patek Philippe bracelet watch with 'tapestry' dial and diamond set bezel. Made 1968,Patek Philippe,23000,https://somlo.com/products/18ct-white-gold-patek-philippe-bracelet-watch-with-tapestry-dial-and-diamond-bezel-set-with-26-pear-shaped-diamonds,https://cdn.shopify.com/s/files/1/0161/6687/9332/files/G3524_1.jpg?v=1778067466,"Today, vintage Patek Philippe is a titan in the vintage luxury watch community. Their obsessive attention to detail combined with ground-breaking feats such as the first serially produced, perpetual calendar wristwatches as well as the first split-second chronograph wristwatch, have made Patek Philippe wristwatches and pocket watches some of the most sought after in the world. Brand: Patek Philippe Made: 1968 Model: Bracelet watch Reference: 3391/1 Calibre: 13.5 Movement: Manual Material: 18ct white gold Features/complications: Bezel set with 26 pear cut diamonds, 6 diamonds approx. 0.40cts, 20 diamonds approx. 2cts Dial: Tapestry patterned silvered dial with applied black Roman & baton hour markers and baton hands Case dimensions: 24 x 27mm Bracelet/strap: Integrated 18ct white gold bracelet approx. 160mm in length Accessories: Extract from the Archives SKU: 3524",Somlo,2026-05-06,False
18ct yellow gold OMEGA automatic 'bumper' wristwatch. Made 1952,Omega,6600,https://somlo.com/products/18ct-yellow-gold-omega-automatic-bumper-wristwatch-made-1952,https://cdn.shopify.com/s/files/1/0161/6687/9332/files/O.3479_1.jpg?v=1777475200,"A ""bumper"" is an early type of automatic movement. Unlike modern automatic movements, where the rotor completes a full 360-degree rotation, the rotor in a bumper moves back and forth in an arc of about 180 degrees, bouncing off springs positioned on opposite sides. Brand: OMEGA Made: 1952 Model: Bumper Reference: - Calibre: 342 Movement: Automatic Material: 18ct yellow gold Features/complications: Bumper automatic movement Dial: White honeycomb dial featuring gold applied baton hour markers, dauphine hands with sub seconds dial at 6 o'clock Case dimensions: 35mm Bracelet/strap: Leather strap Accessories: - SKU: 03479",Somlo,2026-04-29,False
