title,brand,price,url,img,description,source,date,sold
"Rolex Cellini, Ref. 5042/8, Yellow Gold",Rolex,125000,https://swisshours.com/products/rolex-cellini-ref-5042-8-yellow-gold,https://cdn.shopify.com/s/files/1/0669/3486/6176/files/DSC04078_4b1fc470-dcc2-491a-a93a-b1e920a01f0c.jpg?v=1788444902,".description p { margin-bottom: 18px; } Rolex Cellini Ref. 5042/8 crafted in 18k yellow gold, featuring a champagne dial with applied Roman numerals. Its 32mm case is complemented by the beautiful original integrated bracelet, and houses the manual wind movement Calibre 1602. In excellent overall condition, with a total length of 19cm, and accompanied by original Guarantee dated 2004. Brand Rolex ",Swiss Hours,2026-09-03,False
"Audemars Piguet Cobra, Blue Dial with Diamond Index, White Gold",Audemars Piguet,150000,https://swisshours.com/products/audemars-piguet-cobra-blue-dial-with-diamond-index-white-gold,https://cdn.shopify.com/s/files/1/0669/3486/6176/files/DSC01314.jpg?v=1787840064,".description p { margin-bottom: 18px; } Audemars Piguet Cobra in 18k white gold, featuring a dark blue dial with diamond hour markers and diamond-set hands. The 26.5mm case integrates with the thick woven “serpentine” bracelet, crafted by Roland‑Gilbert Gaschen and signed “GRG” at the clasp. Weighing 134.5 grams, its presence is unmistakable. Manual wind. Circa 1979. Total length: approx. 17cm Bra",Swiss Hours,2026-08-27,False
"Patek Philippe Calatrava, Ivory-white dial with diamond markers, Ref. 3893, Platinum",Patek Philippe,293000,https://swisshours.com/products/patek-philippe-calatrava-ivory-white-dial-diamond-markers-ref-3893-platinum,https://cdn.shopify.com/s/files/1/0669/3486/6176/files/DSC00273_820d285a-b444-4e3b-96ee-66b36f3ebd97.jpg?v=1787581133,".description p { margin-bottom: 18px; } Rare platinum Patek Philippe Calatrava, Ref. 3893, distinguished by its diamond hour markers set upon the ivory‑white dial, and its platinum construction - a configuration seldom encountered for this reference, marking this example as one of extraordinary distinction. The case measures 33mm across and houses the manual wind calibre 215 PS. Presented on a Pat",Swiss Hours,2026-08-24,False
"Harry Winston Premier Excenter Timezone, Ref. PRNATZ41, Rose Gold",Harry Winston,129000,https://swisshours.com/products/harry-winston-premier-excenter-timezone-ref-prnatz41-rose-gold,https://cdn.shopify.com/s/files/1/0669/3486/6176/files/DSC08182.jpg?v=1787405351,"Harry Winston Premier Excenter Timezone, Ref. PRNATZ41 - a charming travel companion crafted in 18k rose gold. Its black dial features an off‑centre time display, 24‑hour retrograde second time zone, large date aperture, and a day/night indicator. Sized at 41mm, the case houses automatic calibre HW1013 with 32 jewels. This example remains in excellent condition, accompanied by its original HW 18k ",Swiss Hours,2026-08-22,False
"Patek Philippe Calatrava, Ivory dial, Diamond markers, Ref. 3998P, Platinum",Patek Philippe,239000,https://swisshours.com/products/patek-philippe-calatrava-ivory-dial-diamond-markers-ref-3998p-platinum,https://cdn.shopify.com/s/files/1/0669/3486/6176/files/DSC08661_d2d1b3c3-ac4e-494d-ba41-f67929058f43.jpg?v=1787062541,".description p { margin-bottom: 18px; } Platinum Patek Philippe Calatrava, Ref. 3998P. Featuring an ivory dial set with round diamond hour markers and baguette diamonds at 12, 6, and 9 o’clock. All original. Its 34mm platinum case, with a smooth bezel and screwback, houses the automatic Calibre 315. Condition is excellent with deep, crisp hallmarks. Presented on a Patek Philippe strap with 950 pla",Swiss Hours,2026-08-18,False
"Patek Philippe ""Nautellipse"", Ref. 3770/1JA, Stainless steel and Yellow Gold",Patek Philippe,360000,https://swisshours.com/products/patek-philippe-nautellipse-ref-3770-1ja-stainless-steel-yellow-gold,https://cdn.shopify.com/s/files/1/0669/3486/6176/files/DSC07933_b07130a3-913b-443e-b9a7-52dc104f3c5d.jpg?v=1786980265,".description p { margin-bottom: 18px; } Patek Philippe “Nautellipse” Ref. 3770/1JA. A rare reference, seldom seen. This one, made in two-tone steel and 18k yellow gold, features a warm champagne dial. Its case is 35mm wide and houses the ultra‑thin quartz calibre E27. Circa 1980s. Serviced by Patek Philippe in December 2025. Total length: approx. 16.5cm Brand Patek Philippe Reference 3770/1JA Func",Swiss Hours,2026-08-17,False
"Vacheron Constantin Ostendere Kalla, Baguette Diamonds, White Gold",Vacheron Constantin,460000,https://swisshours.com/products/vacheron-constantin-ostendere-kalla-baguette-diamonds-white-gold,https://cdn.shopify.com/s/files/1/0669/3486/6176/files/DSC09166_ec9d1938-2320-45f8-8d35-080c48a00a88.jpg?v=1786865171,".description p { margin-bottom: 18px; } Vacheron Constantin Ostendere Kalla. Rare and magnificent, sculpted in 18K white gold and lavishly set with baguette diamonds — a creation of pure extravagance. Its twelve‑sided case, faceted dial, and jewelled lugs shimmer with brilliance at every angle, transforming the watch into a jewel of light. Case dia. 33mm. Manual wind. The brilliance continues in i",Swiss Hours,2026-08-16,False
"Audemars Piguet Bamboo, Manual wind, AP Logo Diamond Index, White Gold",Audemars Piguet,350000,https://swisshours.com/products/audemars-piguet-bamboo-manual-wind-ap-logo-diamond-index-white-gold,https://cdn.shopify.com/s/files/1/0669/3486/6176/files/DSC03079_e33fadd0-182b-4b97-89b0-51e00ea76b10.jpg?v=1786633776,".description p { margin-bottom: 18px; } Audemars Piguet Bamboo in 18k white gold, manual winding. Silver dial with “AP” logo pattern and diamond indexes. Case dia. 27mm; total length approx.18cm. In excellent condition. Circa 1989. Brand Audemars Piguet Functions Hours, minutes Case material 18K White Gold Case diameter 27mm Movement Manual wind Bracelet Audemars Piguet 18K white gold bracelet Per",Swiss Hours,2026-08-13,False
"Seiko Credor Signo, Skeleton dial, Ref. GBBD998, Yellow Gold",Seiko Credor,49800,https://swisshours.com/products/seiko-credor-signo-skeleton-dial-ref-gbbd998-yellow-gold,https://cdn.shopify.com/s/files/1/0669/3486/6176/files/DSC09346_6953ef87-43b3-480a-a140-6bd9dc9b33c3.jpg?v=1786543676,".description p { margin-bottom: 18px; } Seiko Credor Signo Ref. GBBD998 crafted in 18k yellow gold. The dial opens at the center to reveal the skeletonised manual wind Calibre 6988, its golden mechanics beautifully engraved in fine detail. The 33mm case features a display back, granting another look at the movement. Some light patina rests upon the case and matching Credor 18k yellow gold tang buc",Swiss Hours,2026-08-12,False
"Cartier Must De Cartier Tank, Trinity dial, Vermeil",Cartier,25000,https://swisshours.com/products/cartier-must-de-cartier-tank-trinity-dial-vermeil,https://cdn.shopify.com/s/files/1/0669/3486/6176/files/DSC03510_bb508974-1744-4077-9fa1-b32da0a5f368.jpg?v=1785419659,".description p { margin-bottom: 18px; } Cartier Tank Must with a striking dial of tricolour gold - yellow, white, and rose - Cartier’s Trinity. Its vermeil case is 23.5mm wide, has a blue cabochon crown, and houses the manual winding movement. Comes with a gold plated Cartier tang buckle and accompanied by box and guarantee card. Circa 1980s, this example stands in very good original condition. Br",Swiss Hours,2026-07-30,False
