title,brand,price,url,img,description,source,sold
Blancpain Fifty Fathoms Aqua Lung 1000 Feet & Aqua Lung Depth Gauge w/Box,Blancpain,27500,https://thevintage.watch/products/blancpain-fifty-fathoms-aqua-lung-1000-feet-aqua-lung-depth-gauge-w-box,https://cdn.shopify.com/s/files/1/0562/2182/7206/files/IMG_2743copy.jpg?v=1762974975,"This is a wonderfully preserved and honest example of the Blancpain Fifty Fathoms Aqua Lung, dating from the early 1960s. The 41mm stainless steel case retains its crisp lines and appears unpolished, showing wear consistent with age. It features a screw-down back and the signature unidirectional bezel with its original Bakelite insert — beautifully intact, which is rare to see on these. The dial i",The Vintage Watch,False
"Blancpain Fifty Fathoms “BUND” Like NOS, with Box and Paper",Blancpain,29500,https://thevintage.watch/products/blancpain-fifty-fathoms-bund-like-nos-with-box-and-paper,https://cdn.shopify.com/s/files/1/0562/2182/7206/files/IMG_2719copy.jpg?v=1762973804,"For sale is an exceptionally rare piece of dive watch history: the Blancpain Fifty Fathoms “Bund,” made specifically for German Bundeswehr frogmen in the 1970s. These watches were strictly issued for military use and never sold to the public, making them highly sought-after by collectors. This model stands out for its distinctive minimalist bezel, designed for use with rebreathers. Unlike typical ",The Vintage Watch,False
Breitling 765 AVI Raquel Welch w/Archive Extract,Breitling,16250,https://thevintage.watch/products/breitling-765-avi-raquel-welch,https://cdn.shopify.com/s/files/1/0562/2182/7206/files/IMG_9828copy.jpg?v=1736534368,"Also known as the ""Raquel Welch” features a 41mm stainless steel case, a rotating 12-hour bezel with large Arabic numerals. Powered by the manual-wind Venus 178 movement, it was designed for professional aviation use.The nickname comes from its appearance on actress Raquel Welch's wrist in promotional material for the 1967 movie ""Fathom"". This example, dating to 1963, is in excellent vintage condi",The Vintage Watch,False
Breitling 765 CP (Co Pilot) Jean-Claude Killy w/Archive Extract,Breitling,18750,https://thevintage.watch/products/breitling-765-cp-co-pilot-jean-claude-killy,https://cdn.shopify.com/s/files/1/0562/2182/7206/files/IMG_1033copy.jpg?v=1707927657,Rare and desirable iconic 765 CP in superior condition. The case shows almost no signs of use and appears to be unpolished with very sharp chamfers. Dial and hands retain original tritium luminous mass. The sub registers are also in very good condition very clean. The bezel is in excellent condition as well. Model: 765 CP Size: 42 MM Material: Stainless Steel Bracelet/Strap: Castello Davarg Italia,The Vintage Watch,False
Breitling Chronograph 7660 w/Archive Extract,Breitling,15500,https://thevintage.watch/products/breitling-chronograph-7660,https://cdn.shopify.com/s/files/1/0562/2182/7206/files/IMG_2209copy.jpg?v=1711034245,"Breitling has always created tool watches with a specific purpose, mainly for aviators, featuring busy dials with bold colors and contrasting finishes. However, not all Breitling chronographs were designed for pilots. This rare 7660, for instance, was made for timing yachting regattas. With a colorful bezel design, clear sub-dials, and a steel case with subtle details like sculpted lugs, this watc",The Vintage Watch,False
Breitling SuperOcean 2005 w/Archive Extract,Breitling,17250,https://thevintage.watch/products/breitling-superocean-2005,https://cdn.shopify.com/s/files/1/0562/2182/7206/files/IMG_2149copy.jpg?v=1710960137,"Introducing the Breitling SuperOcean 2005: a standout dive watch born in 1967, amidst an era of groundbreaking watch designs. Its unique features include a single central minute hand, a small window at 6 o'clock for chronograph status, and a modified Valjoux 7731 caliber. In the early '70s, the second-generation model emerged with a vibrant multicolored yachting bezel, prominent tritium markers, a",The Vintage Watch,False
Chopard LUC Pro One Diver 8912,Chopard,5250,https://thevintage.watch/products/chopard-luc-pro-one-diver-8912,https://cdn.shopify.com/s/files/1/0562/2182/7206/files/IMG_2968copy_009ad936-1276-4dd8-930e-36d4875b84f3.jpg?v=1769839045,"A rare neo-vintage alternative to the “usual suspects”, this piece offers the best of both worlds: a high-grade, finely finished movement combined with genuinely limited production. The L.U.C. designation represents Chopard’s Haute Horlogerie division, and that pedigree is clearly evident in the execution of this watch. The watch is in excellent condition, showing only minor signs of wear consiste",The Vintage Watch,False
Cornavin P810 Diver with Decompression Indicator,Other,16500,https://thevintage.watch/products/cornavin-p810-diver-with-decompression-indicator-1,https://cdn.shopify.com/s/files/1/0562/2182/7206/files/IMG_2213copy.jpg?v=1711057671,"The original Cornavin P810 Diver holds a significant place in watch history as one of its pioneering dive watches. While exact historical records may vary, the Cornavin P810 Diver likely emerged during a period of growing interest in underwater exploration and recreational diving in the mid to late 1950’s. We offer a beautiful and extremely rare late 50’s/early 60’s example. The watch is in outsta",The Vintage Watch,False
Eterna Super KonTiki Tropical 1970’s IDF Issued,Other,5950,https://thevintage.watch/products/eterna-super-kontiki-tropical-1970-s-idf-issued,https://cdn.shopify.com/s/files/1/0562/2182/7206/files/IMG_3408copy_132d5c70-ef84-4d2c-8a83-10e1fc9837f2.jpg?v=1777586043,"The Eterna Super issued to the IDF follows the era’s dive-watch template: a 41mm cushion case and a wide, grippable bezel suitable for use with gloves. The screw-down case back is engraved with specifications, an issue number, and Hebrew markings denoting military contract ID and property number. It is fitted with a freshly serviced Eterna automatic movement. The dial shows tropical patina, and th",The Vintage Watch,False
Favre Leuba Sea Sky Chronograph ref. 33033,Other,5950,https://thevintage.watch/products/favre-leuba-sea-sky-chronograph-ref-33033,https://cdn.shopify.com/s/files/1/0562/2182/7206/files/IMG_2623_copy.jpg?v=1762973483,"The Favre Leuba Sea Sky Chronograph ref. 33033, circa early 1960’s, is a distinctive vintage tool watch that blends classic Swiss craftsmanship with a sporty, rugged look. The 39mm stainless steel case was quite large for its time and includes a rotating countdown bezel that adds to its sporty and contemporary feel. This Sea Sky features a black dial with crisp white markings and silver subdials t",The Vintage Watch,False
