title,brand,price,url,img,description,source,sold,priceOnRequest
1972 Rolex Datejust Ref. 1601 with Silver 'Pie-Pan' dial,Rolex,6750,https://www.vintagewatchcollective.com/product-page/1972-rolex-datejust-ref-1601-with-silver-pie-pan-dial,"https://static.wixstatic.com/media/53167e_0dbe4936e0ad4547a1a57494a1a1fbb8~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
1994 Tudor Oysterdate 'Big Block' Chronograph Ref. 79180 with 'Panda' dial,Tudor,7750,https://www.vintagewatchcollective.com/product-page/1994-tudor-big-block-chronograph-ref-79180-with-panda-dial,"https://static.wixstatic.com/media/53167e_a3c281a5eb084f40879ecbb83081c16a~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
1979 Rolex Submariner Ref. 1680 'Unpolished' with Papers,Rolex,18750,https://www.vintagewatchcollective.com/product-page/1979-rolex-submariner-ref-1680-unpolished-with-papers,"https://static.wixstatic.com/media/53167e_21b59e07e06244cb863cdbd4a63b5339~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
1972 Rolex GMT-Master Ref. 1675 with MK2 dial,Rolex,13750,https://www.vintagewatchcollective.com/product-page/1972-rolex-gmt-master-ref-1675-with-mk2-dial,"https://static.wixstatic.com/media/53167e_7c801cf31a544c1b900313d277afa2a6~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
1982 Rolex Submariner Date Ref. 16800 with 'WGS' dial,Rolex,9450,https://www.vintagewatchcollective.com/product-page/1982-rolex-submariner-date-ref-16800-with-wgs-dial,"https://static.wixstatic.com/media/53167e_dcb11eaaad1d4118a625b229710eb8db~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
"1986 Rolex GMT-Master Ref. 16753 'Root Beer' Nipple with Box, Papers and invoice",Rolex,14950,https://www.vintagewatchcollective.com/product-page/1986-rolex-gmt-master-ref-16753-root-beer-nipple-with-box-papers-and-invoice,"https://static.wixstatic.com/media/53167e_c025b75f17c34871a7ef210a82ff8514~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
1969 Rolex GMT-Master Ref. 1675 'Estella' MK2 'Nipple' dial 'Unpolished' 18K YG,Rolex,57500,https://www.vintagewatchcollective.com/product-page/1969-rolex-gmt-master-ref-1675-estella-mk2-nipple-dial-unpolished-18k-yg,"https://static.wixstatic.com/media/53167e_8e6cd27681cb47bc93b87f9b1d8d5bad~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,True,False
1965 Universal Genève Tri-Compax Ref. 88110101 'Eric Clapton' MK2 Panda dial,Other,21500,https://www.vintagewatchcollective.com/product-page/1965-universal-genève-tri-compax-ref-88110101-eric-clapton-mk2-panda-dial,"https://static.wixstatic.com/media/53167e_5d598b1c804f48e7815be0436775f7b4~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
1990 Rolex Explorer Ref. 14270 'Blackout' Unpolished Case Back Sticker w/ Papers,Rolex,18000,https://www.vintagewatchcollective.com/product-page/1990-rolex-explorer-ref-14270-blackout-unpolished-case-back-sticker-w-papers,"https://static.wixstatic.com/media/53167e_fc191bd44b0a4c67b39bfae5c9402b90~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
2002 Rolex GMT-Master II Ref. 16710 'Unpolished',Rolex,11500,https://www.vintagewatchcollective.com/product-page/2002-rolex-gmt-master-ii-ref-16710-unpolished,"https://static.wixstatic.com/media/53167e_f8e6d74378a4405fae19923feb62623d~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
1963 Universal Genève Aero-Compax Ref. 890100/01 'Unpolished',Other,11500,https://www.vintagewatchcollective.com/product-page/1963-universal-genève-aero-compax-ref-890100-01-unpolished,"https://static.wixstatic.com/media/53167e_63704a42411c4f269e6933c6d4bdf19e~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
2003 Rolex Daytona Ref. 116520 'Panna' dial 'Thin Hands' with Box and Papers,Rolex,30000,https://www.vintagewatchcollective.com/product-page/2003-rolex-daytona-ref-116520-panna-dial-thin-hands-with-box-and-papers,"https://static.wixstatic.com/media/53167e_4290c3c9946e4f8bb2dbb3956c1d9636~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
1973 Rolex GMT-Master Ref. 1675 'Root Beer' with MK2 matte brown 'Nipple' dial,Rolex,10000,https://www.vintagewatchcollective.com/product-page/1973-rolex-gmt-master-ref-1675-root-beer-with-mk2-matte-brown-nipple-dial,"https://static.wixstatic.com/media/53167e_48c48e59f46a4b3bbebf71f68b2a8729~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
1969 Rolex GMT-Master Ref. 1675 MK1 'Long E' with Rolex Service,Rolex,13850,https://www.vintagewatchcollective.com/product-page/1969-rolex-gmt-master-ref-1675-mk1-long-e-with-rolex-service,"https://static.wixstatic.com/media/53167e_40ebab9676bd4300ab2d10bf5c62d353~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
