title,brand,price,url,img,description,source,sold
1970s Breitling Chronomat Regatta 7651,Breitling,4500,https://watchesoflancashire.com/product/1970s-breitling-chronomat-regatta-7651/,https://watchesoflancashire.com/wp-content/uploads/2026/04/1970S-BREITLING-CHRONO-MATIC-REGATTA-7651-WATCHES-OF-LANCASHIRE1-scaled.jpg,"Produced during the 1970s, the Regatta variant of the Chronomat takes Breitling’s established chronograph formula and adapts it for a very particular environment: competitive sailing. The result is a watch that feels purposeful throughout, from its bold case design to the highly legible dial layout. The defining feature, of course, is the regatta countdown function—a complication tailored to the precise timing requirements before a yacht race begins. It’s a detail that immediately sets this piec",Watches of Lancashire,False
1963 Omega Seamaster 135.003-62-SC,Omega,2200,https://watchesoflancashire.com/product/1963-omega-seamaster-135-003-62-sc/,https://watchesoflancashire.com/wp-content/uploads/2026/04/1963-OMEGA-SEAMASTER-286-WATCHES-OF-LANCASHIRE-1-scaled.jpg,"Dating from 1963 this vintage Seamaster offers the kind of balanced design that rarely dates. The stainless steel case is modestly sized, with clean lines and a slim profile that make it an easy, everyday wear—comfortable, practical, and quietly elegant. The dial follows suit. Uncluttered and well-proportioned, it delivers exactly what’s needed without distraction. There’s a certain charm in that restraint; applied markers and a straightforward handset create a look that feels considered rather ",Watches of Lancashire,False
1970 Breitling Cosmonaute 0819,Breitling,4750,https://watchesoflancashire.com/product/1970-breitling-cosmonaute-0819/,https://watchesoflancashire.com/wp-content/uploads/2026/04/1970-BREITLING-COSMONAUTE-0819-WATCHES-OF-LANCASHIRE-1-scaled.jpg,"Produced circa 1970, the Cosmonaute is best known for its distinctive 24-hour dial, originally developed in collaboration with astronaut Scott Carpenter for use during spaceflight. The idea was simple but essential: in an environment where day and night lose their meaning, a standard 12-hour display just wouldn’t do. The dial is purposeful and direct—high contrast, clearly laid out, and designed to be read at a glance. Encased in stainless steel and powered by a hand-wound chronograph movement, ",Watches of Lancashire,False
1964 Omega Seamaster 135.005 Linen Dial,Omega,1800,https://watchesoflancashire.com/product/1964-omega-seamaster-135-005/,https://watchesoflancashire.com/wp-content/uploads/2026/04/1964-OMEGA-EAMASTER-LINEN-135.005-WATCHES-OF-LANCASHIRE-1-scaled.jpg,"This 1964 Omega Seamaster perfectly captures the point where understated design and everyday reliability came together beautifully. Housed in a classic stainless steel case, the watch wears with that effortless mid-century proportion—refined without ever feeling delicate. What truly elevates this piece, however, is the dial. Finished in a subtle linen texture, it offers a depth and character that only becomes more engaging the closer you look. Under changing light, the surface gently shifts, giv",Watches of Lancashire,False
1959 Omega Ranchero 2990 1,Omega,5000,https://watchesoflancashire.com/product/1959-omega-ranchero-2990-1-2/,https://watchesoflancashire.com/wp-content/uploads/2026/03/1969-OMEGA-RANCHERO-2990-1-WATCHES-OF-LANCASHIRE-1-1-scaled.jpg,"A true piece of Omega history, the 1959 Omega Ranchero is a rare and highly collectable model that captures the adventurous spirit of late-1950s tool watches. Produced for only a short period, the Ranchero has since become one of Omega’s most sought-after vintage references, admired for its distinctive design and connection to the brand’s legendary professional watch lineage. Powered by a reliable manual-wind Omega movement, the watch represents the craftsmanship and engineering excellence that ",Watches of Lancashire,False
1970 Omega Seamaster Anakin Skywalker 145.023,Omega,9750,https://watchesoflancashire.com/product/1970-omega-seamaster-anakin-skywalker-145-023-2/,https://watchesoflancashire.com/wp-content/uploads/2026/03/1970-Omega-Seamaster-Anakin-Skywalker-145.023-Watches-Of-Lancashire-9.jpg,"The 1970 Omega Seamaster often nicknamed the “Anakin Skywalker”, is one of the most distinctive and collectible vintage Seamasters produced during the 1970s. Known for its bold, futuristic design, the watch features Omega’s striking “Jedi” style case paired with the unique dial layout that has made this reference particularly sought after by collectors. Produced around 1970, the watch reflects the experimental design language of the era, when Omega began exploring more angular case shapes and mo",Watches of Lancashire,False
2015 Jaeger LeCoultre Reverso 277.8.62,Other,6500,https://watchesoflancashire.com/product/2015-jaeger-lecoultre-reverso-277-8-62/,https://watchesoflancashire.com/wp-content/uploads/2026/03/2015-JLC-REVERSO-277.8.62-WATCHES-OF-LANCASHIRE-1-scaled.jpg,"A true icon of Art Deco watchmaking, the Jaeger-LeCoultre Reverso is one of the most recognisable and historically significant watch designs ever created. First introduced in 1931 for British polo players in India, the Reverso’s ingenious reversible case was designed to protect the dial during sport, a feature that has since become a defining hallmark of the collection. This 2015 Jaeger-LeCoultre Reverso Ref. 277.8.62 showcases the timeless elegance that has made the model a staple among collect",Watches of Lancashire,False
1959 Omega Seachero 2990 1,Omega,2900,https://watchesoflancashire.com/product/1959-omega-seachero-2990-1/,https://watchesoflancashire.com/wp-content/uploads/2026/03/1959-OMEGA-SEACHERO-2990-1-WATCHES-OF-LANCASHIRE-1-scaled.jpg,"A rare and fascinating piece of Omega history this vintage Seamaster nicknamed the “Seachero”, dates to the late 1950s and represents a unique crossover between two iconic Omega models. Originally introduced in 1958, the Ref. 2990 case was most commonly associated with the short-lived Omega Ranchero line. However, a small number of examples were produced with Seamaster-signed dials, creating a distinctive hybrid that collectors now refer to as the “Seachero.” These watches share the same case, l",Watches of Lancashire,False
1964 Breitling Premier 788,Breitling,4500,https://watchesoflancashire.com/product/1964-breitling-premier-788/,https://watchesoflancashire.com/wp-content/uploads/2026/02/1960-BREITLING-PREMIER-788-WATCHES-OF-LANCASHIRE-1-scaled.jpg,"A standout example of mid-century chronograph design, the Premier 788 combines purposeful functionality with refined proportions. Its clean dial layout, prominent registers, and crisp case lines reflect Breitling’s commitment to precision and readability — hallmarks of the brand’s chronograph heritage. Powered by a robust manual movement and offered in well-preserved condition, this 1964 Premier 788 delivers both mechanical interest and timeless style. A compelling choice for enthusiasts of vint",Watches of Lancashire,False
1970s Jaeger LeCoultre 18ct Tank 6029.21,Other,3500,https://watchesoflancashire.com/product/1970s-jaeger-lecoultre-18ct-tank/,https://watchesoflancashire.com/wp-content/uploads/2026/02/1990S-JLC-18CT-TANK-6029.21-WATCHES-OF-LANCASHIRE-1-1-scaled.jpg,"A refined expression of vintage elegance, this Tank model combines the iconic rectangular silhouette with high-quality 18ct gold construction. Its clean lines and balanced proportions reflect the thoughtful design language of the era, while the understated dial and classic case deliver timeless appeal. Powered by a reliable mechanical movement and presented in strong overall condition, this Jaeger-LeCoultre Tank 6029.21 is a versatile piece that transitions effortlessly from day to evening wear.",Watches of Lancashire,False
