title,brand,price,url,img,description,source,date,sold
OMEGA Speedmaster 145.012-67,Omega,12900,https://www.watchfid.com/watch/omega-speedmaster-145-012-67-3/,https://www.watchfid.com/wp-content/uploads/2026/09/omega-speedmaster-145012P1073861W.webp,,Watchfid,2026-09-12,False
OMEGA Speedmaster 145.022-69 “Tropical”,Omega,12500,https://www.watchfid.com/watch/omega-speedmaster-145-022-69-tropical-3/,https://www.watchfid.com/wp-content/uploads/2026/01/145022-69-tropical.webp,,Watchfid,2026-09-12,False
OMEGA Speedmaster Mk II 145.014 “Decimal”,Omega,3900,https://www.watchfid.com/watch/omega-speedmaster-mk-ii145-014-decimal/,https://www.watchfid.com/wp-content/uploads/2026/09/omega-speedmaster-MKII-145014P1073885W.webp,,Watchfid,2026-09-12,False
PATEK PHILIPPE Perpetual Calendar 3940J “2nd Series”,Patek Philippe,87500,https://www.watchfid.com/watch/patek-philippe-perpetual-calendar3940j-2nd-series/,https://www.watchfid.com/wp-content/uploads/2026/08/patek-3740-perpetual-P1073820W.webp,,Watchfid,2026-09-12,False
OMEGA Railmaster 2914-2 “Flightmaster”,Omega,26000,https://www.watchfid.com/watch/omega-railmaster-2914-2-flightmaster/,https://www.watchfid.com/wp-content/uploads/2026/06/omega-railmaster-2914-P1073566W.webp,,Watchfid,2026-09-12,False
CARTIER Tank Basculante 2390,Cartier,8750,https://www.watchfid.com/watch/cartier-tank-basculante2390/,https://www.watchfid.com/wp-content/uploads/2026/06/cartier-basculante-DSCF0668W.webp,,Watchfid,2026-09-12,False
OMEGA Genève 166.121 “Stingray”,Omega,1750,https://www.watchfid.com/watch/omega-geneve166-121-stingray/,https://www.watchfid.com/wp-content/uploads/2026/06/omega-geneve-stingray-DSCF9584W.webp,,Watchfid,2026-09-12,False
OMEGA Seamaster 300M 2595.50.91 “Chronograph Apnea”,Omega,4000,https://www.watchfid.com/watch/omega-seamaster-300m2595-50-91-chronograph-apnea/,https://www.watchfid.com/wp-content/uploads/2026/06/omega-seamaster-chrono-apnea-2595.50.91-DSCF9418W.webp,,Watchfid,2026-09-12,False
OMEGA Seamaster Chronometer 2513.30.00 “NZL-32”,Omega,4200,https://www.watchfid.com/watch/omega-seamaster-chronometer2513-30-00-nzl-32/,https://www.watchfid.com/wp-content/uploads/2026/06/omega-seamaster-NZL32DSCF9490W.webp,,Watchfid,2026-09-12,False
OMEGA Seamaster Chrono-Quartz 396.0839 “Albatros”,Omega,2750,https://www.watchfid.com/watch/omega-seamaster-chrono-quartz396-0839-albatros/,https://www.watchfid.com/wp-content/uploads/2026/06/omega-seamaster-albatros-3960839-DSCF9805W.webp,,Watchfid,2026-09-12,False
OMEGA Speedmaster 145.022-69 “220 Bezel”,Omega,8250,https://www.watchfid.com/watch/omega-speedmaster145-022-69-220-bezel/,https://www.watchfid.com/wp-content/uploads/2026/06/omega-speedmaster-145022-moonwatch-DSCF9847W.webp,,Watchfid,2026-09-12,False
ROLEX Cosmograph Daytona 6263 “Full Gold”,Rolex,260000,https://www.watchfid.com/watch/rolex-cosmograph-daytona6263-full-gold/,https://www.watchfid.com/wp-content/uploads/2026/06/rolex-daytona-6263-P1073356W.webp,,Watchfid,2026-09-12,False
ROLEX Cosmograph Daytona 6263 “Big Red Full Set”,Rolex,102250,https://www.watchfid.com/watch/rolex-cosmograph-daytona6263-big-red-full-set/,https://www.watchfid.com/wp-content/uploads/2026/06/rolex-daytona-6263-P1073409W.webp,,Watchfid,2026-09-12,False
OMEGA Seamaster 300 165.014-63,Omega,8900,https://www.watchfid.com/watch/omega-seamaster-300165-014-63/,https://www.watchfid.com/wp-content/uploads/2026/05/omega-seamaster-165014-P1073207W.webp,,Watchfid,2026-09-12,False
PIAGET 10597-2 “Art Deco”,Piaget,3000,https://www.watchfid.com/watch/piaget10597-2-art-deco/,https://www.watchfid.com/wp-content/uploads/2026/05/P1072271W.webp,,Watchfid,2026-09-12,False
OMEGA Speedmaster 3572.50 “Rhodium Tritium”,Omega,7000,https://www.watchfid.com/watch/omega-speedmaster-3572-50-rhodium-tritium-5/,https://www.watchfid.com/wp-content/uploads/2026/04/omega-speedmaster-3450808-DSCF2091W.webp,,Watchfid,2026-09-12,False
OMEGA Speedmaster 145.022-69 “Pre-Moon”,Omega,9500,https://www.watchfid.com/watch/omega-speedmaster-145-022-69-pre-moon/,https://www.watchfid.com/wp-content/uploads/2026/04/P1072931.webp,,Watchfid,2026-09-12,False
OMEGA Dynamic 166.0310,Omega,1950,https://www.watchfid.com/watch/omega-dynamic-166-0310/,https://www.watchfid.com/wp-content/uploads/2026/04/Omega-Dynamic-DSCF5770W.webp,,Watchfid,2026-09-12,False
OMEGA Speedmaster Automatic 175.0044 “Yellow Gold”,Omega,6750,https://www.watchfid.com/watch/omega-speedmaster-automatic-175-0044-yellow-gold/,https://www.watchfid.com/wp-content/uploads/2026/03/omega-speedmaster-reducedgold-DSCF5807W.webp,,Watchfid,2026-09-12,False
PATEK PHILIPPE Nautilus 5712 “New”,Patek Philippe,139000,https://www.watchfid.com/watch/patek-philippe-nautilus-5712-new/,https://www.watchfid.com/wp-content/uploads/2026/03/patek-nautilus-5712-P1072321W.webp,,Watchfid,2026-09-12,False
PATEK PHILIPPE Nautilus 5711 “New”,Patek Philippe,139000,https://www.watchfid.com/watch/patek-philippe-nautilus-5711-new/,https://www.watchfid.com/wp-content/uploads/2026/03/patek-nautilus-5711-P1072428W.webp,,Watchfid,2026-09-12,False
OMEGA Speedmaster 145.022-69 “Straight Writing”,Omega,8900,https://www.watchfid.com/watch/omega-speedmaster-145-022-69-straight-writing-5/,https://www.watchfid.com/wp-content/uploads/2026/03/omega-speedmaster-straightwriting-DSCF5232W.webp,,Watchfid,2026-09-12,False
