title,brand,price,url,img,description,source,date,sold,priceOnRequest
"Berneron Mirage 34 ""Viridian"" Chrysoprase Dial Full Set Like New",Other,495000,https://www.windvintage.com/berneron-mirage-34-viridianchrysoprase-dial-full-set-like-new,https://images.squarespace-cdn.com/content/v1/5b213f95506fbec9b54e014c/1789165111471-AXTINI1HLWFZSA22DUCX/Image+13.jpeg,"The Berneron Mirage debuted in 2023. This asymetrical model made an incredible impression with collectors and is synonymous with the brand. The Mirage 34 is the is the smaller iteration of the Mirage series. Sylvain Berneron never publicly sold or marketed this watch. Instead, it was only privately offered to top clients, making it the most exclusive timepiece that Berneron has ever produced. These watches are powered by the in-house calibre 215 which is beautifully displayed through the exhibition case back. The movement’s mainplate and bridges are made of 18k gold. It is a manual-wind movement with a 72 hour power reserve. The Viridian features a stunning chrysoprase dial that is unlike anything in the industry. It features curved gold hands to complement the asymmetrical case. The case measures 34mm in diameter and is made of 18k white gold. This example has been worn one time and is like new. It was sold in 2025. For those who admire the independent watchmaking spirit, Berneron is certainly the most exciting manufacturer that has emerged in the 2020s. These watches have had tremendous results recently selling at $521,400 on LoupeThis and $497,000 at Phillips . We do not know the service history, but the watch is running well. It comes full set with a box or papers from the original owner.",Wind Vintage,2026-04-19,False,False
F.P.Journe Octa Calendrier Salmon Dial in Rose Gold  Full Set Unpolished,Other,390000,https://www.windvintage.com/fpjourne-octa-calendrier-salmon-dial-in-rose-gold-full-set-unpolished,https://images.squarespace-cdn.com/content/v1/5b213f95506fbec9b54e014c/1788893680507-03T59OC00OSBLDYO1QUZ/Image+29.jpeg,"The Octa Calendrier was first introduced in 2002-2003. The model remained in production until circa 2015. The F.P.Journe Octa Calendrier is one of the most sophisticated watches and a contemporary classic wristwatch. According to the F.P.Journe, this example dates to circa 2006 when it was registered by the last owner. The watch is powered by the automatic calibre 1300.2 in 18k rose gold. It features an annual calendar with power-reserve indicator and date with a retrograde format. This is very elegant timepiece. The case appears to be unpolished. It measures 40.5mm in diameter (approximately 48mm lug to lug). It features a gorgeous salmon dial which is one of the most attractive variants on the Octa Calendrier. The watch comes full set with box and papers. It is paired on a blue F.P.Journe leather strap with 18k rose gold buckle. It comes with an additional brown F.P.Journe leather strap. The watch was serviced in 2025 and is running well. For those looking for a grail-independent timepiece, this Octa Calendrier is a remarkable option.",Wind Vintage,2026-04-19,False,False
Joe DiMaggio's Patek Philippe Breguet Dial Reference 130 Chronograph in 18K YG w/ Extract,Patek Philippe,1200000,https://www.windvintage.com/joe-dimaggios-patek-philippe-breguet-dial-reference-130-chronograph-in-18k-yg-w/-extract,https://images.squarespace-cdn.com/content/v1/5b213f95506fbec9b54e014c/1787880799955-QOVTGXRRCCZ4IU4QB5AS/Image+20.jpeg,"This remains the longest consecutive-game hitting streak in MLB history to this day! Throughout the May 15 to July 16, 1941 streak, he batted .408 with 15 home runs and 55 RBIs. Joltin’ Joe’s career started alongside the “Iron Horse” Lou Gehrig and ended alongside Micky Mantle. He operated at the intersection of two legendary Yankees eras (with Gehrig who played alongside Babe Ruth and was part of the Murderers’ Row 1927 Yankees team) and then with Mantle who of course had the legendary home run duel with his teammate Roger Maris in 1961. From 1943–1945, DiMaggio served in the U.S. Army Air Forces during World War II (which many cite as his prime years). DiMaggio had a lifetime batting average of .325 and accumulated 361 home runs. In 1955, DiMaggio was elected into the National Baseball Hall of Fame. In 1969, Joe DiMaggio was voted the greatest living baseball player. He famously married Marilyn Monroe in 1954 and they had a short marriage, but they rekindled their relationship years later and were reportedly close to marrying again before Monroe passed in 1962. According to the Extract from the Archives, this timepiece was produced in 1947 and was sold on December 12, 1948. The dial features beautiful hand-cut Breguet numerals which are confirmed in the Extract notes. It features the tachymeter scale demarcated for miles on the perimeter of the dial. This example features the spade hand configuration which was popular in the American market during the late 1940s. The watch is powered by the prestigious calibre 13-130 which was featured in many of the most important chronographs from Patek Philippe in this period. The case measures 33mm in diameter, and wears large at 41mm lug-to-lug. The 18k yellow gold case was produced by Emile Vichet, the Geneva master casemaker and features the Poinçon de Maître number 9. (Stainless steel reference 130s were produced by Wenger, Crossier or Dubois.) Emile Vichet produced the gold cases for the legendary Patek Philippe reference",Wind Vintage,2026-04-19,False,False
Patek Philippe Breguet Dial Reference 5940J-001 in 18K YG Full Set Unpolished,Patek Philippe,59000,https://www.windvintage.com/patek-philippe-breguet-dial-reference-5940j-001-in-18k-yg-full-set-unpolished,https://images.squarespace-cdn.com/content/v1/5b213f95506fbec9b54e014c/1788465752883-CH93HU4VNM9KL8INV984/Image+12.jpeg,The Patek Philippe reference 5940 perpetual calendar is one of the most elegant complicated timepieces one can find from any manufacturer. The 5940 was introduced in 2012 and this example was sold in December 2012 -a first year production. This particular example is in yellow gold. The dial is English with beautiful applied Breguet numerals. The dial is gorgeous and one of the most attractive dials from the era. These are also a fraction of the price of early 3940s. These feature the cushion case design that has become increasingly popular in recent years. It measures 37mm and 45mm lug to lug. The case appears to be unpolished. It features an exhibition case back. The watch features the iconic ultra-thin self-winding calibre 240Q with microrotor. The watch comes with an Certificate of Origin. It comes on an original Patek Philippe buckle in 18k yellow gold and box.,Wind Vintage,2026-04-19,False,False
Patek Philippe Aquanaut Ref 5164A-001 Box &amp; Papers,Patek Philippe,93000,https://www.windvintage.com/patek-philippe-aquanaut-ref-5164a-001-box-papers,https://images.squarespace-cdn.com/content/v1/5b213f95506fbec9b54e014c/1788199213905-BLVIUCZC96JEBY9NY1NZ/Image+32.jpeg,This Patek Philippe Aquanaut reference 5164A is a spectacular complicated sports watch from the leading name in watchmaking. The travel-time complication is powered by the 234 S C FUS allowing the owner to simplify a second reference time while away from home. The case is made of stainless steel. It has been lightly polished but is attractive. It measures approximately 41mm in diameter. This watch comes “full set” with box and papers. It was sold in 2021. We do not know the service history but it is running well.,Wind Vintage,2026-04-19,True,False
Patek Philippe Reference 2508 in 18K YG w/ Certificate of Origin,Patek Philippe,65000,https://www.windvintage.com/patek-philippe-reference-2508-in-18k-yg-w/-certificate-of-origin,https://images.squarespace-cdn.com/content/v1/5b213f95506fbec9b54e014c/1788557639206-FL6PR39Q2OK3UWBPF79F/Image+24.jpeg,"The Patek Philippe reference 2508 is one of the most amazing time-only models. Many say it is the quintessential Calatrava reference. For those looking for an incredible mid-century Patek Philippe, this is a special watch. It is powered by the calibre 27 SC. This example was sold in the 1963. The 18K yellow gold case has been lightly polished in the past but is attractive. It is 35mm in diameter and produced by François Borgel (Taubert Frères). The non-luminous dial is very attractive. For those looking for an incredible mid-century Patek Philippe, this is a special watch. It comes from an important collector who Eric and Charlie admire. GREAT PROVENANCE. It is paired on a Patek Philippe leather strap and 18k yellow gold buckle. The watch comes with the Certificate of Origin. It does not come with a box. We do not know the service history, but it is running well.",Wind Vintage,2026-04-19,False,False
Audemars Piguet Royal Oak Concept Black Panther Flying Tourbillon Full Set,Audemars Piguet,185000,https://www.windvintage.com/audemars-piguet-royal-oak-concept-black-panther-flying-tourbillon-full-set,https://images.squarespace-cdn.com/content/v1/5b213f95506fbec9b54e014c/1788529739368-KDKZ7IO7I70W724SCMBI/Image+23.jpeg,"This Audemars Piguet Royal Oak Concept Black Panther is an amazing concept Audemars Piguet Flying Tourbillon. This model was released in 2021 through Audemars Piguet with their brand ambassadors Kevin Hart, Serena Williams, LeBron James, along with François-Henri Bennahmias. The initial watch was sold for charity on livestream for $5,200,000. This case is made of sandblasted titanium. It measures 42mm in diameter. It features a black ceramic bezel and crown, sapphire crystal and caseback. It is powered by the calibre 2965. It is a limited edition of 250 examples. The watch was sold in 2021. The watch comes full set with box and papers. We do not know the service history but it is running well.",Wind Vintage,2026-04-19,False,False
Spencer Tracy's Rolex Explorer Reference 6350 w/ Waffle Dial Unpolished,Rolex,350000,https://www.windvintage.com/spencer-tracys-rolex-explorer-reference-6350-w-waffle-dial-unpolished,https://images.squarespace-cdn.com/content/v1/5b213f95506fbec9b54e014c/1786717561617-W8CQCLWIK55AXO35MM3S/DSC05638.png,"This Rolex Explorer reference 6350 is an incredibly rare and important example from the early 1950s which belonged to American actor Spencer Tracy. This watch was worn in the 1956 movie ‘The Mountain’, an adventure film starring Spencer Tracy and Robert Wagner based on the French novel La neige en deuil. It is possibly one of the earliest product placements of a Rolex in a film. This example features an outstanding black “honeycomb” or “waffle” dial with very attractive lume. The textured Rolex dials of the 1950s are very uncommon and particularly important on Rolex sports models! It is paired on a Rolex Oyster Rivet bracelet with 64 end links dating to 1957 which we added and is period correct. The watch also comes with a Rolex strap and steel buckle which was worn on the Explorer for many years by Tracy. Linked here is a photo of Tracy wearing the watch. This example dates to circa 1953 with a 955,XXX serial It measures 36mm in diameter. The case appears to be unpolished. I’m often asked about which watches I would love to own if I could have anything. Watches like this waffle-dial Rolex Explorer 6350 is at the top of the list and the added provenance is an incredible bonus. This watch certainly belongs in the Rolex Museum collection - as it is the best of the best! To learn more about the history and evolution of the Rolex Explorer I, you can see my video and corresponding article Reference Points A Comprehensive Collector's Guide To The Rolex Explorer I . This watch does not come with box and papers. We do not know the service history but it is running well.",Wind Vintage,2026-04-19,False,False
Rolex FAP Peruvian Air Force Daytona Reference 6263,Rolex,125000,https://www.windvintage.com/rolex-fap-peruvian-air-force-daytona-reference-6263,https://images.squarespace-cdn.com/content/v1/5b213f95506fbec9b54e014c/1789233642878-985RKT19GI7Z0GMYB3O9/Image+14.jpeg,"This Rolex Daytona reference 6263 is an awesome watch issued to the Peruvian Air Force. The Peruvian Air Force (Fuerza Aerea del Perú) ordered a small number of Daytonas in the 1970s and they say “FUERZA AEREA DEL PERÚ” (or FAP for short) around the edge. These are extremely interesting watches as we don’t often associate Daytonas with military use. This example features a 3.99M serial dating to circa 1975. The dial is very attractive. It features a replaced bezel, but has period Mark 2 pushers we found and placed on the watch. The central seconds hand is a replacement with a longer triangular tip, but is attractive. It is paired on an 78350 Oyster solid link bracelet with incorrect 557 end links, but they work well. The case has been lightly polished. It is powered by the manual-wind movement Caliber 727 made by Valjoux and is 37mm in diameter. The watch does not come with box or papers. We do not know the service history, but it is running well. This is a rare FAP Daytona and we are excited to be offering it for sale!",Wind Vintage,2026-04-19,False,False
Rolex White Dial Daytona Reference 116500LN Unpolished Full Set,Rolex,34900,https://www.windvintage.com/rolex-white-dial-daytona-reference-116500ln-unpolished-full-set,https://images.squarespace-cdn.com/content/v1/5b213f95506fbec9b54e014c/1789164977414-OS1D598D6WF9R8NPF2O0/Image+10.jpeg,"The Rolex Daytona Cosmograph reference 116500LN with white dial is affectionately known as the “Panda” and is one of the most sought-after watches in the world. It is an excellent contemporary timepiece easily suitable for any collector to wear as an everyday watch. The watch features a white dial and black Cerachrom bezel, white dial, and black registers. It beautifully pays homage to the red arched “Daytona” font from the past. It was sold in 2016 and came from the original owner. The watch has some signs of wear. The case is unpolished. It comes “full set” with original box and papers.",Wind Vintage,2026-04-19,False,False
